#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
144.16;1;126.02;125.99;-Infinity;126.02;126.02
262.25;0;239.44;239.44;-Infinity;239.44;239.44
324.68;1;286.56;286.55;-Infinity;286.56;286.56
342.71;0;262.75;262.75;-Infinity;262.75;262.75
352.92;0;346.91;346.91;-Infinity;346.91;346.91
412.95;0;378.82;378.82;-Infinity;378.82;378.82
423.36;0;365.96;365.95;-Infinity;365.96;365.96
503.92;0;475.93;475.93;-Infinity;475.93;475.93
534.22;0;492.86;492.86;-Infinity;492.86;492.86
544.64;0;477.27;477.23;-Infinity;477.27;477.27
605.06;0;513.24;251.86;-Infinity;513.24;513.24
625.48;0;529.01;201.78;-Infinity;529.01;529.01
696.04;0;678.57;678.57;-Infinity;678.57;678.57
756.46;0;749.71;749.71;-Infinity;749.71;749.71
769.43;1;735.13;735.13;-Infinity;735.13;735.13
779.85;1;698.99;698.99;-Infinity;698.99;698.99
816.56;0;726.91;473.68;-Infinity;726.91;726.91
819.54;1;684.58;49.96;-Infinity;684.58;684.58
827.14;0;729.65;323.01;-Infinity;729.65;729.65
857.34;0;822.42;822.42;-Infinity;822.42;822.42
870.52;1;725.18;50.56;-Infinity;725.18;725.18
903.86;1;844.64;844.64;-Infinity;844.64;844.64
908.17;0;786.45;211.93;-Infinity;786.45;786.45
914.49;1;898.01;898.01;-Infinity;898.01;898.01
918.49;0;792.65;161.8;-Infinity;792.65;792.65
924.52;1;876.05;876.05;-Infinity;876.05;876.05
934.94;1;857.88;857.88;-Infinity;857.88;857.88
945.36;1;920.44;920.43;-Infinity;920.44;920.44
979.02;0;812.62;70.8;-Infinity;812.62;812.62
1006.06;1;813.85;70.82;-Infinity;813.85;813.85
1008.93;0;853.4;181.61;-Infinity;853.4;853.40
1039.28;0;827.15;30.16;-Infinity;827.15;827.15
1046.37;1;1040.17;1040.17;-Infinity;1040.17;1040.17
1056.71;1;1024.27;1024.27;-Infinity;1024.27;1024.27
1079.43;0;935.27;262.52;-Infinity;935.27;935.27
1089.96;0;897.03;110.9;-Infinity;897.03;897.03
1117.2;1;924.86;171.54;-Infinity;924.86;924.86
1137.6;1;976.41;266.75;-Infinity;976.41;976.41
1178.07;1;1000.78;263.53;-Infinity;1000.78;1000.78
1188.19;1;970.93;141.66;-Infinity;970.93;970.93
1191.81;0;970.67;101.81;-Infinity;970.67;970.67
1217.46;0;1108.08;591.64;-Infinity;1108.08;1108.08
1228.03;0;1187.26;1187.26;-Infinity;1187.26;1187.26
1258.39;0;1170.72;995.94;-Infinity;1170.72;1170.72
1268.66;0;1174.94;855.38;-Infinity;1174.94;1174.94
1278.66;1;1074.33;272.55;-Infinity;1074.33;1074.33
1289.08;0;1051.98;61.01;-Infinity;1051.98;1051.98
1289.08;1;1203.47;1144.61;-Infinity;1203.47;1203.47
1319.5;1;1154.65;415.37;-Infinity;1154.65;1154.65
1370.02;1;1142.13;181.46;-Infinity;1142.13;1142.13
1389.67;0;1146.09;120.88;-Infinity;1146.09;1146.09
1430.17;0;1197.65;212.56;-Infinity;1197.65;1197.65
1430.26;1;1165.97;110.63;-Infinity;1165.97;1165.97
1480;0;1262.14;400.43;-Infinity;1262.14;1262.14
1520.53;0;1260.8;231.32;-Infinity;1260.8;1260.80
1530.46;0;1301.08;338.39;-Infinity;1301.08;1301.08
1543.73;1;1407.61;763.82;-Infinity;1407.61;1407.61
1553.95;1;1464.94;1229.05;-Infinity;1464.94;1464.94
1561.08;0;1284.89;171.37;-Infinity;1284.89;1284.89
1564.15;1;1382.25;639.33;-Infinity;1382.25;1382.25
1614.52;1;1342.62;244.45;-Infinity;1342.62;1342.62
1624.41;1;1583.39;1583.39;-Infinity;1583.39;1583.39
1645.01;1;1427.18;588.07;-Infinity;1427.18;1427.18
1655.19;1;1433.43;537.83;-Infinity;1433.43;1433.43
1685.36;1;1462.38;547.57;-Infinity;1462.38;1462.38
1705.78;1;1478.55;527.57;-Infinity;1478.55;1478.55
1716.2;1;1461.07;437.41;-Infinity;1461.07;1461.07
1726.62;1;1464.37;437.41;-Infinity;1464.37;1464.37
1767.04;1;1479.55;336.55;-Infinity;1479.55;1479.55
1807.46;1;1483.78;253.27;-Infinity;1483.78;1483.78
1887.88;1;1525.03;181.76;-Infinity;1525.03;1525.03
1958.43;1;1598.39;313.23;-Infinity;1598.39;1598.39
1962.52;0;1675.06;532.31;-Infinity;1675.06;1675.06
1968.85;1;1607.63;313.57;-Infinity;1607.63;1607.63
1989.27;1;1627.2;303.57;-Infinity;1627.2;1627.20
1992.94;0;1676.77;512.68;-Infinity;1676.77;1676.77
2003.36;0;1686.97;482.68;-Infinity;1686.97;1686.97
2033.83;0;1929.25;1499.27;-Infinity;1929.25;1929.25
2044.11;0;1939.32;1499.13;-Infinity;1939.32;1939.32
2049.78;1;1727.54;506.01;-Infinity;1727.54;1727.54
2054.4;0;1948.81;1449.01;-Infinity;1948.81;1948.81
2080.02;1;1708.74;312.65;-Infinity;1708.74;1708.74
2094.87;0;1710.16;132.21;-Infinity;1710.16;1710.16
2110.6;1;1778.8;546.37;-Infinity;1778.8;1778.80
2131.12;1;1767.5;414.58;-Infinity;1767.5;1767.50
2150.92;1;1803.5;536.29;-Infinity;1803.5;1803.50
2158;0;1997.4;1300.25;-Infinity;1997.4;1997.40
2168.38;0;1951.9;1128.85;-Infinity;1951.9;1951.90
2178.39;0;1857.59;647.61;-Infinity;1857.59;1857.59
2184.82;1;1815.37;457.87;-Infinity;1815.37;1815.37
2188.51;0;1859.11;627.3;-Infinity;1859.11;1859.11
2195.03;1;1819.04;306.82;-Infinity;1819.04;1819.04
2198.3;0;1801.34;205.22;-Infinity;1801.34;1801.34
2204.98;1;1826.14;246.34;-Infinity;1826.14;1826.14
2208.81;0;2031.26;1290.18;-Infinity;2031.26;2031.26
2215.12;1;1829.8;246.06;-Infinity;1829.8;1829.80
2218.77;0;1979.91;960.26;-Infinity;1979.91;1979.91
2225.45;1;1877.1;600.67;-Infinity;1877.1;1877.10
2236.05;1;1861.51;428.25;-Infinity;1861.51;1861.51
2256.02;1;1866.05;266.55;-Infinity;1866.05;1866.05
