#TimeStamp;Bot;Pod;OutputStation
32.53;3;41;1
41.43;1;75;0
42.89;3;41;1
51.42;1;75;0
52.72;3;41;1
61.52;1;75;0
62.74;3;41;1
71.6;1;75;0
72.74;3;41;1
81.69;1;75;0
82.77;3;41;1
91.82;1;75;0
92.78;3;41;1
101.66;1;75;0
102.78;3;41;1
111.64;1;75;0
112.88;3;41;1
121.87;1;75;0
122.82;3;41;1
131.82;1;75;0
132.86;3;41;1
141.75;1;75;0
142.87;3;41;1
151.75;1;75;0
152.69;3;41;1
161.61;1;75;0
162.96;3;41;1
171.84;1;75;0
173.3;3;41;1
181.91;1;75;0
183.17;3;41;1
191.9;1;75;0
193.36;3;41;1
201.88;1;75;0
202.99;3;41;1
211.92;1;75;0
213.38;3;41;1
221.85;1;75;0
223.41;3;41;1
231.9;1;75;0
233.35;3;41;1
241.76;1;75;0
251.6;1;75;0
261.85;1;75;0
271.9;1;75;0
281.7;1;75;0
291.88;1;75;0
301.82;1;75;0
311.77;1;75;0
321.94;1;75;0
331.8;1;75;0
341.72;1;75;0
351.95;1;75;0
361.75;0;10;0
371.73;0;10;0
374.79;1;75;1
381.92;0;10;0
384.73;1;75;1
391.99;0;10;0
394.84;1;75;1
402.41;0;10;0
404.97;1;75;1
412.83;0;10;0
415.35;1;75;1
423.25;0;10;0
425.35;1;75;1
433.58;0;10;0
435.35;1;75;1
443.67;0;10;0
445.35;1;75;1
454;0;10;0
455.39;1;75;1
464;0;10;0
465.77;1;75;1
474.09;0;10;0
475.77;1;75;1
484.48;0;10;0
494.53;0;10;0
504.53;0;10;0
514.61;0;10;0
524.66;0;10;0
534.61;0;10;0
544.66;0;10;0
554.61;0;10;0
564.66;0;10;0
574.61;0;10;0
584.66;0;10;0
594.61;0;10;0
604.66;0;10;0
614.61;0;10;0
624.66;0;10;0
634.61;0;10;0
644.76;4;38;0
654.91;5;124;0
657.95;0;10;1
664.95;5;124;0
667.99;0;10;1
675.01;5;124;0
678.04;0;10;1
685.43;5;124;0
688.43;0;10;1
695.85;5;124;0
698.79;0;10;1
706.2;5;124;0
708.85;0;10;1
716.2;5;124;0
719.21;0;10;1
726.27;5;124;0
729.27;0;10;1
736.69;5;124;0
739.63;0;10;1
747.04;5;124;0
749.63;0;10;1
757.04;5;124;0
759.69;0;10;1
766.93;5;124;0
769.63;0;10;1
776.93;5;124;0
779.63;0;10;1
786.93;5;124;0
789.63;0;10;1
796.93;5;124;0
799.63;0;10;1
807.11;5;124;0
809.63;0;10;1
817.35;5;124;0
819.63;0;10;1
827.35;5;124;0
829.63;0;10;1
837.35;5;124;0
839.63;0;10;1
847.35;5;124;0
849.63;0;10;1
857.53;2;19;0
859.76;0;10;1
867.67;2;19;0
869.81;0;10;1
878.09;2;19;0
879.77;0;10;1
888.48;2;19;0
889.84;4;38;1
898.22;2;19;0
899.79;4;38;1
908.34;2;19;0
909.88;5;124;1
918.38;2;19;0
920;5;124;1
928.4;2;19;0
930.42;5;124;1
938.32;3;41;0
940.84;5;124;1
948.53;3;41;0
951.23;5;124;1
958.61;3;41;0
961.3;5;124;1
969.03;3;41;0
971.72;5;124;1
979.45;3;41;0
982.1;5;124;1
989.87;3;41;0
992.14;5;124;1
1000;3;41;0
1002.56;5;124;1
1010.13;3;41;0
1012.81;5;124;1
1020;3;41;0
1022.81;5;124;1
1030.13;3;41;0
1032.81;5;124;1
1040;3;41;0
1042.81;5;124;1
1050.13;3;41;0
1052.81;5;124;1
1060;3;41;0
1062.81;5;124;1
1070.13;3;41;0
1072.98;5;124;1
1080;3;41;0
1083.23;5;124;1
1090.02;3;41;0
1093.23;5;124;1
1100;1;75;0
1103.05;5;124;1
1110.29;1;75;0
1113.07;5;124;1
1120.42;1;75;0
1123.23;5;124;1
1130.44;1;75;0
1133.23;5;124;1
1140.42;1;75;0
1143.29;5;124;1
1150.52;0;10;0
1153.47;5;124;1
1160.71;0;10;0
1163.65;5;124;1
1170.86;0;10;0
1173.65;5;124;1
