#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;37.33;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.02,RP/0
59.91;38.49;0.28;PP/0.03,TA/0.08,IS/0,PS/0,RB/0,OB/0.03,RP/0
119.7;38.8;0.39;PP/0.06,TA/0.12,IS/0,PS/0,RB/0,OB/0.05,RP/0
179.77;39.27;0.52;PP/0.06,TA/0.22,IS/0,PS/0,RB/0,OB/0.08,RP/0
239.88;39.57;0.69;PP/0.08,TA/0.33,IS/0,PS/0,RB/0,OB/0.11,RP/0
299.68;39.82;0.8;PP/0.08,TA/0.39,IS/0,PS/0,RB/0,OB/0.16,RP/0
360;39.96;0.94;PP/0.08,TA/0.46,IS/0,PS/0,RB/0,OB/0.19,RP/0
419.9;40.11;1.16;PP/0.08,TA/0.64,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
479.95;40.11;1.36;PP/0.08,TA/0.84,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
539.99;40.11;1.45;PP/0.08,TA/0.93,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
599.99;40.09;1.55;PP/0.08,TA/1.03,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
659.98;40.1;1.66;PP/0.08,TA/1.14,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
719.74;40.34;1.84;PP/0.08,TA/1.32,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
779.63;40.34;2;PP/0.08,TA/1.47,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
839.63;40.34;2.19;PP/0.08,TA/1.65,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
899.79;40.34;2.38;PP/0.09,TA/1.83,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
959.87;40.43;2.55;PP/0.09,TA/1.98,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
1019.71;40.43;2.74;PP/0.09,TA/2.15,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
1079.6;40.43;2.92;PP/0.09,TA/2.31,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
1139.6;40.43;3.1;PP/0.09,TA/2.48,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
1199.6;40.5;3.28;PP/0.09,TA/2.67,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
1259.98;40.5;3.41;PP/0.09,TA/2.78,IS/0,PS/0,RB/0.02,OB/0.22,RP/0
1319.91;40.5;3.55;PP/0.09,TA/2.9,IS/0.02,PS/0,RB/0.02,OB/0.22,RP/0
1379.85;40.5;3.75;PP/0.09,TA/3.11,IS/0.02,PS/0,RB/0.02,OB/0.22,RP/0
1439.82;40.58;3.91;PP/0.09,TA/3.26,IS/0.02,PS/0,RB/0.02,OB/0.22,RP/0
1499.98;40.58;4.14;PP/0.09,TA/3.47,IS/0.02,PS/0,RB/0.02,OB/0.22,RP/0
1559.87;40.71;4.32;PP/0.09,TA/3.62,IS/0.02,PS/0,RB/0.02,OB/0.22,RP/0
1619.78;40.71;4.49;PP/0.09,TA/3.8,IS/0.02,PS/0,RB/0.02,OB/0.22,RP/0
1679.78;40.71;4.66;PP/0.09,TA/3.97,IS/0.02,PS/0,RB/0.02,OB/0.22,RP/0
