#TimeStamp;Runtime;Requests
0.88;0.03;6
3.55;0;3
5.01;0;1
33.65;0;2
34.95;0;1
36.12;0;2
37.21;0;1
38.74;0;2
40.87;0;1
42.03;0;5
43.03;0;1
44.03;0;1
45.12;0;1
46.16;0;1
49.49;0;1
52.16;0;1
54.63;0;1
57.09;0;1
59.56;0;1
61.91;0;1
63.17;0;2
64.38;0;1
66.04;0;1
67.05;0;1
68.2;0;1
69.51;0;1
71.96;0;1
73;0;1
74.58;0;1
75.63;0;2
76.67;0;2
78.83;0;1
80;0;2
81.22;0;2
82.23;0;1
83.27;0;1
84.27;0;1
85.32;0;1
87.41;0;1
90.39;0;1
91.48;0;2
95.9;0;1
100.84;0;1
103.65;0;1
105.04;0;1
107.82;0;2
112;0;1
113.09;0;1
114.16;0;1
117.25;0;1
118.51;0;1
119.61;0;2
120.74;0;1
122.32;0;1
123.5;0;1
125.82;0;1
127;0;1
128.09;0;1
129.18;0;1
130.68;0;1
133.81;0;1
134.85;0;2
136.05;0;1
137.84;0;1
138.97;0;1
140;0;1
141.64;0;1
143.09;0;1
144.52;0;1
145.59;0;2
147.63;0;1
148.64;0;1
149.73;0;1
150.8;0;3
153.68;0;1
154.93;0;1
156.02;0;1
157.18;0;1
158.43;0;1
159.64;0;2
160.64;0;1
161.72;0;2
165.19;0;1
166.19;0;3
168.86;0;1
170.36;0;1
171.64;0;1
172.98;0;1
174.36;0;1
175.69;0;1
176.73;0;1
177.78;0;1
179.06;0;1
180.19;0;1
181.24;0;1
182.6;0;2
183.69;0;1
185.23;0;1
187.19;0;1
188.52;0;2
190.69;0;1
191.78;0;1
194.73;0;1
198.69;0;1
199.78;0;1
203.28;0;1
206.91;0;1
208.62;0;2
211.2;0;1
213.17;0;1
217.05;0;1
222.53;0;1
223.78;0;1
225.36;0;1
227.94;0;1
229.92;0;1
232.11;0;1
237.11;0;1
272.92;0;1
274.42;0;1
275.57;0;1
276.65;0;1
278.36;0;1
279.87;0;1
280.88;0;1
281.92;0;1
283;0;1
284.09;0;1
285.42;0;1
286.51;0;1
288.17;0;1
289.42;0;1
290.43;0;1
291.49;0;1
292.52;0;1
293.61;0;2
295.39;0;1
296.48;0;1
297.86;0;2
299.05;0;1
300.69;0;1
301.78;0;1
303.14;0;3
305.36;0;1
306.66;0;1
307.98;0;1
308.98;0;2
311.24;0;1
312.48;0;1
313.98;0;1
315.37;0;2
317.42;0;2
318.82;0;1
319.91;0;1
321.05;0;2
322.37;0;1
323.5;0;1
324.75;0;1
325.84;0;1
327.22;0;1
328.35;0;2
329.61;0;2
331.66;0;1
332.9;0;1
334.01;0;1
335.24;0;1
336.63;0;1
338.21;0;1
339.4;0;1
340.41;0;1
341.5;0;1
343.91;0;1
345;0;1
346.04;0;1
347.04;0;1
349.09;0;1
350.18;0;2
351.23;0;2
352.23;0;1
353.23;0;1
354.28;0;2
355.59;0;1
357.63;0;1
358.68;0;1
359.69;0;2
360.73;0;1
361.77;0;2
363.05;0;1
364.05;0;1
365.19;0;1
366.61;0;1
367.8;0;1
368.89;0;1
370.67;0;1
373.73;0;1
375.78;0;1
377.31;0;1
380.61;0;1
381.87;0;1
386.91;0;1
