#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;18;0;0;0;0;0;0;0;0;0
599.64;0.7;18;0;0;0;0;0;0;0;0;0
1199.66;0.7;18;0;0;0;0;0;0;0;0;0
1799.66;0.7;18;0;0;0;0;0;0;0;0;0
2399.66;0.7;18;0;0;0;0;0;0;0;0;0
2999.66;0.7;18;0;0;0;0;0;0;0;0;0
3599.66;0.7;18;0;0;0;0;0;0;0;0;0
4199.66;0.7;18;0;0;0;0;0;0;0;0;0
4799.66;0.7;18;0;0;0;0;0;0;0;0;0
5399.66;0.7;18;0;0;0;0;0;0;0;0;0
5999.66;0.7;18;0;0;0;0;0;0;0;0;0
6599.66;0.7;18;0;0;0;0;0;0;0;0;0
7199.66;0.7;18;0;0;0;0;0;0;0;0;0
