#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.91;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.67;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
179.67;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.67;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.67;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.95;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.69;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
599.7;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
659.76;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.83;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.97;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.7;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.7;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.65;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1019.92;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1079.78;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1139.82;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1199.81;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1259.95;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1319.81;4;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
