#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.91;0;0;0;2;0/59.91;0/42.47,1/33.16;0/0;0/59.91,1/59.91;0/0;0/33,1/38;0/0;0/38,1/39;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/2,1/3
119.67;0;0;0;2;0/119.67;0/43.98,1/35.5;0/0;0/119.67,1/119.67;0/0;0/30,1/39;0/0;0/35,1/40;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/8,1/9
179.67;0;0;0;2;0/179.67;0/46.15,1/37.06;0/0;0/179.67,1/179.67;0/0;0/27,1/33;0/0;0/32,1/34;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/14,1/15
239.67;0;1;0;2;0/239.67;0/47.25,1/38.45;0/0;0/239.67,1/239.67;0/0;0/22,1/26;0/0;0/26,1/28;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/20,1/21
299.67;0;1;0;2;0/299.67;0/48.22,1/39.59;0/0;0/299.67,1/299.67;0/0;0/16,1/20;0/0;0/20,1/22;0/0;0/0,1/0;0/0;0/1,1/0;0/0;0/26,1/27
359.95;0;2;0;2;0/359.95;0/49.41,1/41.23;0/0;0/359.95,1/359.95;0/0;0/15,1/20;0/0;0/19,1/22;0/0;0/0,1/0;0/0;0/2,1/0;0/0;0/32,1/33
419.69;0;4;0;2;0/419.69;0/50.43,1/42.96;0/0;0/419.69,1/419.69;0/0;0/14,1/24;0/0;0/18,1/26;0/0;0/0,1/0;0/0;0/2,1/2;0/0;0/38,1/39
479.86;0;5;0;2;0/479.86;0/52.69,1/45.68;0/0;0/479.86,1/479.86;0/0;0/17,1/21;0/0;0/21,1/23;0/0;0/0,1/0;0/0;0/3,1/2;0/0;0/44,1/45
539.86;0;6;0;2;0/539.86;0/54.01,1/47.71;0/0;0/539.86,1/539.86;0/0;0/12,1/19;0/0;0/17,1/20;0/0;0/0,1/0;0/0;0/3,1/3;0/0;0/50,1/51
