#TimeStamp;TripTime;Type
28;8;O
37;20;O
44;28;O
50;33;O
57;28;O
62;28;O
221;15;O
322;15;O
373;16;O
395;17;O
433;15;O
516;17;O
573;15;O
587;17;O
728;13;O
775;14;O
837;13;O
917;14;O
971;17;O
986;28;O
1002;18;O
1038;15;O
1041;23;O
1063;18;O
1072;16;O
1077;25;O
1190;14;O
1222;17;O
1241;7;O
1267;16;O
1290;22;O
1299;18;O
1314;25;O
1346;19;O
1350;10;O
1372;10;O
1635;14;O
1685;14;O
1724;12;O
1739;24;O
1748;13;O
1757;15;O
1779;13;O
2020;14;O
2121;15;O
2131;14;O
2205;15;O
2242;14;O
2286;16;O
2299;18;O
2323;14;O
2353;14;O
2376;14;O
2404;15;O
2423;29;O
2425;16;O
2444;23;O
2446;23;O
2447;15;O
2456;18;O
2480;28;O
2506;31;O
2513;14;O
2517;12;O
2528;11;O
2568;14;O
2583;30;O
2590;16;O
2610;25;O
2690;14;O
2724;14;O
2831;15;O
2882;15;O
2996;15;O
3077;15;O
3185;15;O
3210;24;O
3259;14;O
3295;14;O
3337;15;O
3350;18;O
3359;14;O
3385;17;O
3393;11;O
3426;13;O
3591;14;O
3612;13;O
3713;15;O
3722;14;O
3748;16;O
3754;13;O
3773;14;O
3833;10;O
3839;19;O
3851;40;O
3859;16;O
3863;21;O
3889;13;O
3891;37;O
3900;22;O
3902;10;O
3977;15;O
3987;15;O
3997;15;O
4111;28;O
4220;15;O
4229;14;O
4249;14;O
4251;15;O
4302;16;O
4320;14;O
4351;15;O
4369;20;O
4422;14;O
4451;18;O
4462;15;O
4482;15;O
4501;17;O
4525;28;O
4543;15;O
4558;33;O
4567;19;O
4597;18;O
4606;26;O
4622;16;O
4684;14;O
4741;19;O
4755;15;O
4758;21;O
4808;27;O
4865;14;O
4956;14;O
4978;14;O
4988;16;O
5060;16;O
5080;14;O
5161;15;O
5194;28;O
5230;15;O
5272;16;O
5284;26;O
5284;16;O
5324;20;O
5340;14;O
5360;25;O
5361;14;O
5416;14;O
5431;20;O
5451;14;O
5455;18;O
5471;14;O
5503;15;O
5516;18;O
5521;13;O
5843;14;O
5964;15;O
5974;14;O
5989;15;O
6022;18;O
6035;14;O
6055;16;O
6065;15;O
6125;14;O
6133;17;O
6139;15;O
6155;14;O
6192;13;O
6202;30;O
6205;19;O
6209;25;O
6221;35;O
6227;18;O
6246;7;O
6275;24;O
6279;17;O
6393;15;O
6429;30;O
6468;14;O
6488;14;O
6570;15;O
6663;18;O
6719;13;O
6737;14;O
6798;15;O
6849;15;O
6869;15;O
6963;14;O
6984;15;O
7027;18;O
7051;14;O
7056;17;O
7097;18;O
7109;12;O
7132;15;O
7141;14;O
7167;17;O
7191;13;O
7212;12;O
7216;8;O
7240;20;O
7251;20;O
7266;16;O
7272;31;O
7278;25;O
7284;22;O
7295;18;O
7300;15;O
7311;16;O
7378;13;O
7477;14;O
7515;10;O
7569;15;O
7588;15;O
7602;15;O
7643;17;O
7656;18;O
7671;13;O
7679;14;O
7717;10;O
7760;15;O
7775;19;O
7785;16;O
7786;19;O
7796;39;O
7808;16;O
7825;27;O
7834;17;O
7838;14;O
7841;12;O
7861;25;O
7863;17;O
7869;15;O
7893;16;O
7894;21;O
7896;29;O
7905;24;O
7908;15;O
7928;16;O
7931;14;O
7966;12;O
7973;34;O
7986;18;O
7988;26;O
7991;15;O
8024;37;O
8025;26;O
8121;12;O
8160;29;O
8189;35;O
8215;18;O
8246;19;O
8272;22;O
8276;11;O
8328;17;O
8338;27;O
8350;22;O
8365;34;O
8377;25;O
8391;11;O
8429;7;O
8436;12;O
8460;9;O
8462;23;O
8479;23;O
8486;16;O
8488;14;O
8492;26;O
8504;16;O
8673;14;O
8717;16;O
8922;18;O
9118;14;O
9159;15;O
9175;48;O
9213;15;O
9230;16;O
9232;28;O
9258;32;O
9314;29;O
9332;17;O
9362;14;O
9417;15;O
9434;20;O
9441;13;O
9471;13;O
9493;16;O
9498;16;O
9578;14;O
9614;14;O
9663;13;O
9685;15;O
9719;15;O
9756;14;O
9787;15;O
9808;15;O
9899;15;O
9906;13;O
9919;15;O
9932;17;O
9934;15;O
9947;23;O
9985;18;O
9996;20;O
10019;16;O
10053;33;O
10059;21;O
10070;87;O
10085;16;O
10085;25;O
10098;28;O
10114;14;O
10116;26;O
10186;23;O
10221;16;O
10232;26;O
10264;21;O
10279;17;O
10287;14;O
10292;21;O
10294;25;O
10302;24;O
10314;26;O
10318;16;O
