#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.91;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.75;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
179.75;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
240;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.83;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.95;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.72;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.86;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
599.98;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
659.66;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
719.72;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.96;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.8;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.64;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.8;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1019.9;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1079.9;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1139.84;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1199.97;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1259.77;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1319.98;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
