#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.91;20;50;0;52.46;0;52.47;0;0.49
119.75;51;109;0;100.77;0;110.28;0;0.54
179.75;71;197;0;160.77;0;170.28;0;0.6
240;92;282;0;221.02;0;230.53;0;0.58
299.83;111;352;0;258.85;0;289.89;0;0.59
359.95;138;418;0;299.33;0;349.65;0;0.59
419.72;148;468;0;342.09;0;408.43;0;0.59
479.86;148;462;0;316.31;0;463.8;0;0.58
539.86;148;459;0;314.52;0;520.84;0;0.58
599.98;148;455;0;316.71;0;578.9;0;0.59
659.66;148;454;0;370.5;0;638.5;0;0.59
719.72;148;450;0;359.15;0;696.26;0;0.6
779.96;148;448;0;411.36;0;756.26;0;0.61
839.8;148;446;0;423.96;0;814.22;0;0.61
899.64;148;442;0;408.81;0;871.28;0;0.6
959.8;148;441;0;447.03;0;930.67;0;0.59
1019.9;148;437;0;454.55;0;989.3;0;0.59
1079.9;148;435;0;489.97;0;1048.34;0;0.59
1139.84;148;430;0;507.23;0;1105.82;0;0.61
1199.97;148;424;0;488.21;0;1161.68;0;0.6
1259.77;148;424;0;548.01;0;1221.48;0;0.6
1319.98;148;423;0;589.68;0;1280.8;0;0.6
1379.79;148;422;0;644.04;0;1340.54;0;0.59
1439.7;148;418;0;613.13;0;1396.26;0;0.59
1499.63;148;413;0;509.84;0;1448.81;0;0.6
1559.67;148;411;0;499.03;0;1505.88;0;0.61
1619.79;148;404;0;291.11;0;1555.14;0;0.61
1679.88;148;399;0;251.34;0;1610.08;0;0.57
1739.98;148;394;0;257.61;0;1666.79;0;0.56
1799.69;148;394;0;317.32;0;1726.49;0;0.56
1859.98;148;394;0;377.61;0;1786.79;0;0.56
1919.67;148;392;0;412.88;0;1845.54;0;0.57
1979.81;148;391;0;460.83;0;1905.51;0;0.56
2039.81;148;391;0;520.83;0;1965.51;0;0.56
2099.66;148;388;0;535.28;0;2024.37;0;0.57
2160;148;387;0;572.82;0;2083.88;0;0.58
2219.87;148;385;0;623.05;0;2143.6;0;0.6
2279.86;148;383;0;630.88;0;2202.35;0;0.59
2339.77;148;381;0;632.79;0;2260.82;0;0.58
2399.86;148;376;0;571.8;0;2316.79;0;0.58
2459.86;148;374;0;619.95;0;2376.08;0;0.58
2519.86;148;373;0;674.48;0;2435.96;0;0.57
2579.86;148;372;0;728.6;0;2495.77;0;0.56
2639.83;148;371;0;785.62;0;2555.64;0;0.57
2699.97;148;367;0;711.93;0;2611.86;0;0.52
2759.97;148;362;0;670.01;0;2668.38;0;0.5
2819.97;148;360;0;680.8;0;2726.15;0;0.51
2879.96;148;358;0;702.44;0;2784.38;0;0.53
2939.96;148;354;0;714.86;0;2841.82;0;0.54
2999.96;148;349;0;731.9;0;2899.36;0;0.54
3059.91;148;348;0;787.22;0;2958.97;0;0.56
3119.96;148;348;0;847.27;0;3019.02;0;0.56
3179.62;148;346;0;887.39;0;3077.95;0;0.55
3239.73;148;340;0;418.86;0;3117.88;0;0.61
3299.82;148;339;0;473.42;0;3177.81;0;0.62
3359.67;148;336;0;482.21;0;3235.94;0;0.62
3419.71;148;335;0;533.81;0;3295.71;0;0.6
3479.81;148;334;0;584.64;0;3355.56;0;0.6
3539.81;148;333;0;637.47;0;3415.4;0;0.61
3599.88;148;331;0;665.11;0;3474.68;0;0.59
3659.74;148;329;0;684.53;0;3533.84;0;0.57
3719.74;148;323;0;620.22;0;3591.56;0;0.55
3779.85;148;322;0;673.55;0;3651.56;0;0.53
3839.85;148;321;0;727.64;0;3711.48;0;0.53
3899.89;148;319;0;756.06;0;3770.97;0;0.53
3959.85;148;315;0;717.35;0;3828.96;0;0.51
4019.79;148;313;0;746.96;0;3888.33;0;0.5
4079.61;148;313;0;806.77;0;3948.15;0;0.5
4139.77;148;311;0;851.4;0;4007.87;0;0.51
4199.77;148;309;0;894.19;0;4067.49;0;0.54
4259.97;148;306;0;785.98;0;4122.87;0;0.55
4319.95;148;301;0;492;0;4172.8;0;0.58
4379.85;148;300;0;548.93;0;4232.59;0;0.58
4439.86;148;297;0;414.74;0;4287.24;0;0.58
4499.86;148;290;0;259.8;0;4341.45;0;0.56
4559.93;148;287;0;291.86;0;4400.21;0;0.57
4619.93;148;287;0;351.86;0;4460.21;0;0.57
4679.92;148;284;0;357.17;0;4518.03;0;0.58
4739.95;148;280;0;353.29;0;4575.37;0;0.56
4799.92;148;279;0;401.89;0;4634.99;0;0.57
4859.75;148;274;0;385.32;0;4691.92;0;0.55
4919.97;148;272;0;422.33;0;4751.31;0;0.55
4979.64;148;269;0;397.26;0;4808.45;0;0.55
5039.69;148;268;0;443.79;0;4868.17;0;0.55
5099.99;148;266;0;459.81;0;4926.86;0;0.54
5159.7;148;263;0;474.47;0;4984.6;0;0.53
5219.71;148;259;0;457.93;0;5042.03;0;0.52
5279.66;148;255;0;461.09;0;5099.88;0;0.51
5339.6;148;254;0;499.96;0;5159.12;0;0.52
5399.74;148;251;0;523.9;0;5217.88;0;0.55
5459.89;148;246;0;539.34;0;5276.04;0;0.59
5519.88;148;242;0;539.87;0;5333.47;0;0.61
5579.84;148;240;0;573.22;0;5392.3;0;0.59
5639.98;148;239;0;624.77;0;5452.12;0;0.61
5699.99;148;237;0;663.56;0;5511.56;0;0.58
5759.79;148;235;0;712.47;0;5571.28;0;0.58
5819.87;148;231;0;707.29;0;5629.65;0;0.56
5879.6;148;228;0;679.95;0;5686.52;0;0.55
5939.76;148;222;0;569.45;0;5741.3;0;0.61
5999.64;148;220;0;600.94;0;5800.32;0;0.61
6059.99;148;219;0;649.8;0;5860.31;0;0.63
6119.84;148;217;0;697.02;0;5920.11;0;0.64
6179.9;148;217;0;757.08;0;5980.17;0;0.64
6239.71;148;213;0;702.5;0;6037.36;0;0.62
6299.88;148;210;0;717.35;0;6096.51;0;0.6
6359.83;148;209;0;768.49;0;6156.24;0;0.6
6419.97;148;206;0;790.43;0;6215.41;0;0.63
6479.87;148;206;0;850.33;0;6275.31;0;0.63
6539.83;148;198;0;371.99;0;6319.47;0;0.63
6599.83;148;192;0;316.6;0;6374.95;0;0.66
6659.66;148;192;0;376.43;0;6434.78;0;0.66
6719.66;148;191;0;429.26;0;6494.49;0;0.67
6779.66;148;191;0;489.26;0;6554.49;0;0.67
6839.98;148;190;0;545.81;0;6614.79;0;0.68
6899.68;148;183;0;487.98;0;6669.72;0;0.68
6959.83;148;182;0;535.13;0;6729.59;0;0.68
7019.73;148;179;0;532.31;0;6787.48;0;0.69
7079.66;148;176;0;557.25;0;6846.55;0;0.67
7139.9;148;174;0;595.94;0;6906.19;0;0.67
7199.79;148;174;0;655.83;0;6966.08;0;0.67
7259.62;148;172;0;694.58;0;7025.38;0;0.69
7319.92;148;171;0;743.92;0;7085.35;0;0.7
7379.76;148;169;0;776.87;0;7144.49;0;0.7
7439.69;148;161;0;423.62;0;7191.18;0;0.64
7499.71;148;160;0;465.97;0;7250.57;0;0.64
7559.73;148;158;0;517.14;0;7310.43;0;0.64
