#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;0.7;18;0;0;0;0;0;0;0;0;0
599.98;0.69;18;0;0;0;0;0;0;0;0;0
1199.97;0.69;18;0;0;0;0;0;0;0;0;0
1799.69;0.68;18;0;0;0;0;0;0;0;0;0
2399.86;0.68;18;0;0;0;0;0;0;0;0;0
2999.96;0.67;18;0;0;0;0;0;0;0;0;0
3599.88;0.67;18;0;0;0;0;0;0;0;0;0
4199.77;0.66;18;0;0;0;0;0;0;0;0;0
4799.92;0.66;18;0;0;0;0;0;0;0;0;0
5399.74;0.65;18;0;0;0;0;0;0;0;0;0
5999.64;0.65;18;0;0;0;0;0;0;0;0;0
6599.83;0.64;18;0;0;0;0;0;0;0;0;0
7199.79;0.64;18;0;0;0;0;0;0;0;0;0
7799.87;0.63;18;0;0;0;0;0;0;0;0;0
8399.62;0.63;18;0;0;0;0;0;0;0;0;0
8999.81;0.62;18;0;0;0;0;0;0;0;0;0
9599.74;0.62;18;0;0;0;0;0;0;0;0;0
10199.93;0.61;18;0;0;0;0;0;0;0;0;0
10799.6;0.61;18;0;0;0;0;0;0;0;0;0
11399.99;0.6;18;0;0;0;0;0;0;0;0;0
11999.69;0.6;18;0;0;0;0;0;0;0;0;0
12599.66;0.6;18;0;0;0;0;0;0;0;0;0
13199.66;0.6;18;0;0;0;0;0;0;0;0;0
13799.66;0.6;18;0;0;0;0;0;0;0;0;0
14399.66;0.6;18;0;0;0;0;0;0;0;0;0
14999.66;0.6;18;0;0;0;0;0;0;0;0;0
15599.66;0.6;18;0;0;0;0;0;0;0;0;0
16199.66;0.6;18;0;0;0;0;0;0;0;0;0
16799.66;0.6;18;0;0;0;0;0;0;0;0;0
17399.66;0.6;18;0;0;0;0;0;0;0;0;0
17999.66;0.6;18;0;0;0;0;0;0;0;0;0
18599.66;0.6;18;0;0;0;0;0;0;0;0;0
19199.66;0.6;18;0;0;0;0;0;0;0;0;0
19799.66;0.6;18;0;0;0;0;0;0;0;0;0
20399.66;0.6;18;0;0;0;0;0;0;0;0;0
20999.66;0.6;18;0;0;0;0;0;0;0;0;0
21599.66;0.6;18;0;0;0;0;0;0;0;0;0
22199.66;0.6;18;0;0;0;0;0;0;0;0;0
22799.66;0.6;18;0;0;0;0;0;0;0;0;0
23399.66;0.6;18;0;0;0;0;0;0;0;0;0
23999.66;0.6;18;0;0;0;0;0;0;0;0;0
24599.66;0.6;18;0;0;0;0;0;0;0;0;0
25199.66;0.6;18;0;0;0;0;0;0;0;0;0
25799.66;0.6;18;0;0;0;0;0;0;0;0;0
26399.66;0.6;18;0;0;0;0;0;0;0;0;0
26999.66;0.6;18;0;0;0;0;0;0;0;0;0
27599.66;0.6;18;0;0;0;0;0;0;0;0;0
28199.66;0.6;18;0;0;0;0;0;0;0;0;0
28799.66;0.6;18;0;0;0;0;0;0;0;0;0
29399.66;0.6;18;0;0;0;0;0;0;0;0;0
29999.66;0.6;18;0;0;0;0;0;0;0;0;0
