#TimeStamp;Bot;Pod;OutputStation
27.23;0;83;0
32.78;3;41;1
37.49;0;83;0
42.89;3;41;1
47.45;0;83;0
52.95;3;41;1
57.4;0;83;0
62.74;3;41;1
67.37;0;83;0
72.99;3;41;1
77.29;0;83;0
82.77;3;41;1
87.47;0;83;0
92.66;3;41;1
97.54;0;83;0
103.06;3;41;1
107.6;0;83;0
113.19;3;41;1
117.43;0;83;0
123.06;3;41;1
127.55;0;83;0
132.89;3;41;1
137.61;0;83;0
142.87;3;41;1
147.64;0;83;0
153.15;3;41;1
157.38;0;83;0
163.15;3;41;1
167.75;0;83;0
173.17;3;41;1
177.55;0;83;0
183.02;3;41;1
187.75;0;83;0
192.94;3;41;1
197.43;0;83;0
202.83;3;41;1
207.57;0;83;0
213.22;3;41;1
217.73;0;83;0
222.99;3;41;1
227.77;0;83;0
233.16;3;41;1
237.52;0;83;0
243.24;3;41;1
247.44;0;83;0
253.14;3;41;1
257.84;0;83;0
263.11;3;41;1
268.22;0;83;0
273.16;3;41;1
277.9;0;83;0
283.28;3;41;1
288.19;0;83;0
292.94;3;41;1
298.26;0;83;0
303.25;3;41;1
308.64;0;83;0
313.32;3;41;1
318.64;0;83;0
323.68;3;41;1
328.67;0;83;0
333.56;3;41;1
338.76;0;83;0
343.73;3;41;1
348.77;0;83;0
358.66;0;83;0
368.81;0;83;0
378.83;0;83;0
388.79;1;75;0
398.76;4;151;0
401.34;0;83;1
408.88;4;151;0
411.46;0;83;1
419.02;4;151;0
421.67;0;83;1
429.3;4;151;0
431.82;0;83;1
439.72;4;151;0
441.68;0;83;1
449.86;4;151;0
452.09;0;83;1
460;4;151;0
462.1;0;83;1
470.42;4;151;0
472.1;0;83;1
480.42;4;151;0
482.51;0;83;1
490.7;4;151;0
492.93;0;83;1
500.42;4;151;0
502.94;0;83;1
510.7;4;151;0
512.94;0;83;1
520.84;4;151;0
522.98;0;83;1
530.7;4;151;0
533.35;0;83;1
540.84;4;151;0
543.77;0;83;1
550.81;4;151;0
553.82;0;83;1
560.67;5;162;0
563.64;0;83;1
570.89;5;162;0
573.69;0;83;1
581.28;5;162;0
583.84;0;83;1
591.32;5;162;0
593.89;0;83;1
601.7;5;162;0
604.27;0;83;1
611.66;5;162;0
614.27;0;83;1
621.7;5;162;0
624.27;0;83;1
631.66;5;162;0
634.31;0;83;1
641.66;5;162;0
644.69;0;83;1
651.66;5;162;0
654.69;0;83;1
661.66;5;162;0
664.69;0;83;1
671.54;2;32;0
674.54;1;75;1
681.75;2;32;0
684.77;1;75;1
691.89;2;32;0
695.11;1;75;1
702.17;2;32;0
705.11;1;75;1
712.59;2;32;0
715.11;1;75;1
723.03;2;32;0
725.02;4;151;1
733.25;2;32;0
734.86;4;151;1
743.3;2;32;0
745.09;5;162;1
753.25;2;32;0
754.82;5;162;1
763.15;2;32;0
765.13;5;162;1
773.45;2;32;0
783.78;2;32;0
793.85;2;32;0
803.78;2;32;0
813.73;3;41;0
823.82;3;41;0
826.9;2;32;1
833.92;3;41;0
836.94;2;32;1
844.35;3;41;0
854.77;3;41;0
865.16;3;41;0
872.57;2;32;1
875.21;3;41;0
885.36;3;41;0
895.52;3;41;0
905.24;3;41;0
915.29;3;41;0
925.46;0;83;0
935.63;1;75;0
938.34;3;41;1
945.69;1;75;0
948.31;3;41;1
955.69;1;75;0
958.53;0;83;1
965.69;4;151;0
975.88;4;151;0
979.09;1;75;1
985.75;4;151;0
994.88;3;52;1
995.63;5;162;0
1005;3;52;1
1006.04;5;162;0
1015.03;3;52;1
1016.44;5;162;0
1025.42;3;52;1
1026.68;5;162;0
1035.84;3;52;1
1036.68;5;162;0
1046.16;3;52;1
1046.79;2;32;0
1056.14;3;52;1
1056.5;2;32;0
1066.1;3;52;1
1066.68;2;32;0
1076.03;1;117;1
1076.55;0;83;0
1086.26;5;162;1
1086.86;4;151;0
1096.33;5;162;1
1097.03;4;151;0
1106.28;5;162;1
1107.21;4;151;0
1116.28;5;162;1
1117.21;4;151;0
1126.17;2;32;1
1127.17;4;151;0
1136.37;2;32;1
1137.32;3;52;0
1146.61;2;32;1
1147.21;3;52;0
1156.63;0;83;1
1157.47;3;52;0
1166.79;4;151;1
1167.59;3;52;0
1178.01;3;52;0
1188.09;3;52;0
1198.51;3;52;0
1206.48;4;41;1
1208.86;3;52;0
1218.86;3;52;0
1228.79;3;52;0
1238.72;3;52;0
1248.59;3;52;0
1258.59;3;52;0
1268.51;1;117;0
1278.93;1;117;0
1288.87;1;117;0
1298.79;1;117;0
1309.04;1;117;0
1318.81;1;117;0
1329.14;1;117;0
1339.23;1;117;0
1349.38;5;162;0
1359.47;5;162;0
1362.56;1;117;1
1369.37;2;32;0
1372.56;1;117;1
1379.37;0;83;0
1389.56;4;41;0
1399.95;4;41;0
1403.04;0;83;1
1409.95;4;41;0
1413.04;5;162;1
1419.84;3;166;0
1426.07;1;151;1
1430.04;3;166;0
1440.23;3;166;0
1449.15;0;68;1
1450.65;3;166;0
1459.24;0;68;1
1461.07;3;166;0
1469.52;0;68;1
1470.92;3;166;0
1479.58;0;68;1
1481.26;3;166;0
1489.26;0;68;1
1491.15;3;166;0
1499.32;0;68;1
1501.26;3;166;0
1509.32;0;68;1
1510.89;3;166;0
1519.32;0;68;1
1521.26;3;166;0
1529.63;1;151;1
1531.11;2;32;0
1541.33;2;32;0
1544.45;3;166;1
1551.25;2;32;0
1554.74;3;166;1
1561.25;2;32;0
1565.16;3;166;1
1571.3;4;41;0
1575.21;3;166;1
1581.07;5;162;0
1585.27;3;166;1
1591.41;5;162;0
1595.65;3;166;1
1601.55;0;68;0
1605.7;3;166;1
1611.83;0;68;0
1615.72;3;166;1
1622.25;0;68;0
1625.72;3;166;1
1632.67;0;68;0
1636.09;3;166;1
1643.11;0;68;0
1646.05;3;166;1
1653.53;0;68;0
1656.05;3;166;1
1663.91;0;68;0
1666.05;3;166;1
1673.95;0;68;0
1676.05;3;166;1
1684.37;0;68;0
1686.01;2;32;1
1694.79;0;68;0
1695.89;2;32;1
1704.96;0;68;0
1705.85;2;32;1
1715.01;0;68;0
1716.14;4;41;1
1725.06;0;68;0
1726.52;4;41;1
1735.34;0;68;0
1736.69;4;41;1
1745.34;0;68;0
1746.69;4;41;1
1755.34;0;68;0
1756.69;4;41;1
1765.24;0;68;0
1766.77;5;162;1
1775.01;0;68;0
1776.89;5;162;1
1785.3;0;68;0
1795.34;0;68;0
1805.07;0;68;0
1815.09;0;68;0
1825.08;0;68;0
1835.09;0;68;0
1845.08;0;68;0
1855.09;0;68;0
1865.43;1;151;0
1875.88;1;151;0
1886.04;1;151;0
1896.07;1;151;0
1906.21;1;151;0
1916.13;3;166;0
1926.3;3;166;0
1936.04;3;166;0
1945.99;3;166;0
1956.19;3;166;0
1966.34;3;166;0
1976.43;3;166;0
1986.43;3;166;0
1996.43;3;166;0
2006.43;3;166;0
2016.43;3;166;0
2026.43;3;166;0
2036.59;2;32;0
2046.76;4;41;0
2049.59;3;166;1
2056.88;4;41;0
2059.47;3;166;1
2066.82;4;41;0
2076.65;5;162;0
2087.01;0;68;0
2097.29;0;68;0
2107.7;0;68;0
2111.97;3;82;1
2117.49;0;68;0
2122.14;3;82;1
2127.43;0;68;0
2132.47;3;82;1
2137.65;0;68;0
2142.3;3;82;1
2147.74;1;52;0
2157.63;1;52;0
2163.54;0;68;1
2167.67;1;52;0
2177.75;2;151;0
2187.76;2;151;0
2197.8;4;41;0
2208.08;5;162;0
2218.22;3;82;0
2228.39;3;82;0
2238.34;3;82;0
2248.34;3;82;0
2258.19;3;82;0
2268.28;0;50;0
2278.44;0;50;0
2288.6;0;50;0
2298.56;0;50;0
2308.37;0;50;0
2318.39;1;69;0
2328.73;1;69;0
2331.33;0;50;1
2338.93;1;69;0
2341.6;0;50;1
2349.35;1;69;0
2352.02;0;50;1
2359.37;1;69;0
2362.1;0;50;1
2369.77;1;69;0
2380.19;1;69;0
2390.5;1;69;0
2400.42;1;69;0
2410.61;1;69;0
2420.84;1;69;0
2430.7;1;69;0
2441.03;1;69;0
2451.12;1;69;0
2461.26;1;69;0
2471.12;1;69;0
2481.26;1;69;0
2491.12;1;69;0
2501.26;1;69;0
2511.45;1;69;0
2521.68;1;69;0
2531.54;1;69;0
2541.68;1;69;0
2551.87;1;69;0
2562.1;1;69;0
2571.96;1;69;0
2582.29;1;69;0
2592.38;1;69;0
2602.52;1;69;0
2612.38;1;69;0
2622.52;1;69;0
2632.38;1;69;0
2642.54;4;138;0
2652.71;4;138;0
2655.48;1;69;1
2662.68;4;138;0
2665.6;1;69;1
2672.68;4;138;0
2675.75;1;69;1
2683.08;4;138;0
2686.08;1;69;1
2693.43;4;138;0
2696.44;1;69;1
2703.43;4;138;0
2706.5;1;69;1
2713.31;2;151;0
2716.5;1;69;1
2723.48;2;151;0
2726.56;1;69;1
2733.54;2;151;0
2736.96;1;69;1
2743.96;5;162;0
2746.76;1;69;1
2754.09;5;162;0
2756.61;4;138;1
2764.4;5;162;0
2767;4;138;1
2774.15;5;162;0
2777.03;4;138;1
2784.15;5;162;0
2787.03;4;138;1
2794.15;5;162;0
2797.03;4;138;1
2804.32;3;82;0
2807.02;4;138;1
2814.51;3;82;0
2817.29;4;138;1
2824.93;3;82;0
2827.03;4;138;1
2834.99;3;82;0
2837.03;4;138;1
2844.99;3;82;0
2847.03;4;138;1
2855.16;0;50;0
2857.27;2;151;1
