#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
72.74;1;71.37;71.37;-Infinity;71.37;71.37
103.01;1;99.98;99.98;-Infinity;99.98;99.98
107.55;0;105.07;105.07;-Infinity;105.07;105.07
257.8;0;246.08;246.06;-Infinity;246.08;246.08
297.93;0;281.46;281.46;-Infinity;281.46;281.46
313.24;1;295.1;240.25;-Infinity;295.1;295.10
338.71;0;319.91;231.12;-Infinity;319.91;319.91
408.84;0;408.3;408.3;-Infinity;408.3;408.30
421.26;1;420.56;420.56;-Infinity;420.56;420.56
429.02;0;424.92;424.92;-Infinity;424.92;424.92
439.44;0;433.43;433.4;-Infinity;433.43;433.43
451.68;1;447.72;447.72;-Infinity;447.72;447.72
459.86;0;440.84;202.02;-Infinity;440.84;440.84
470.28;0;447.47;131.52;-Infinity;447.47;447.47
482.1;1;475.9;475.9;-Infinity;475.9;475.90
492.52;1;485.15;485.14;-Infinity;485.15;485.15
532.98;1;520.78;520.78;-Infinity;520.78;520.78
543.4;1;525.94;525.94;-Infinity;525.94;525.94
570.85;0;560.13;560.13;-Infinity;560.13;560.13
591.24;0;564.42;161.93;-Infinity;564.42;564.42
593.84;1;564.65;141.75;-Infinity;564.65;564.65
634.27;1;602.06;141.34;-Infinity;602.06;602.06
681.67;0;667.45;667.45;-Infinity;667.45;667.45
684.72;1;673.03;673.03;-Infinity;673.03;673.03
701.89;0;670.21;231.47;-Infinity;670.21;670.21
712.31;0;679.06;141.42;-Infinity;679.06;679.06
722.98;0;689.11;131.66;-Infinity;689.11;689.11
773.36;0;735.24;60.77;-Infinity;735.24;735.24
833.87;0;830.14;830.14;-Infinity;830.14;830.14
836.86;1;804.6;303.5;-Infinity;804.6;804.60
844.31;0;837.56;837.56;-Infinity;837.56;837.56
847.29;1;813.17;253.41;-Infinity;813.17;813.17
854.56;0;833.83;556.29;-Infinity;833.83;833.83
874.94;0;836.31;151.91;-Infinity;836.31;836.31
935.34;0;911.08;526.46;-Infinity;911.08;911.08
975.5;0;939.01;273.33;-Infinity;939.01;939.01
1004.8;1;972.63;522.29;-Infinity;972.63;972.63
1005.86;0;970.93;324.11;-Infinity;970.93;970.93
1016.26;0;973.75;141.05;-Infinity;973.75;973.75
1025.31;1;991.02;391;-Infinity;991.02;991.02
1035.68;1;994.91;198.74;-Infinity;994.91;994.91
1086.17;1;1049.74;401.4;-Infinity;1049.74;1049.74
1086.79;0;1043.9;151.16;-Infinity;1043.9;1043.90
1096.02;1;1054.66;248.68;-Infinity;1054.66;1054.66
1096.79;0;1051.67;90.75;-Infinity;1051.67;1051.67
1136.27;1;1091.67;131.27;-Infinity;1091.67;1091.67
1157.43;0;1129.43;717.7;-Infinity;1129.43;1129.43
1166.59;1;1117.66;141.17;-Infinity;1117.66;1117.66
1167.21;0;1126.19;322.86;-Infinity;1126.19;1126.19
1177.84;0;1135.82;323.07;-Infinity;1135.82;1135.82
1188.04;0;1144.98;212.17;-Infinity;1144.98;1144.98
1198.37;0;1149.9;181.93;-Infinity;1149.9;1149.90
1278.64;0;1238.08;444.73;-Infinity;1238.08;1238.08
1328.81;0;1267.84;130.3;-Infinity;1267.84;1267.84
1382.56;1;1327.91;286.24;-Infinity;1327.91;1327.91
1389.42;0;1330.2;221.83;-Infinity;1330.2;1330.20
1399.82;0;1343.41;242.34;-Infinity;1343.41;1343.41
1430;0;1429.01;1429.01;-Infinity;1429.01;1429.01
1440;0;1432.06;1432.06;-Infinity;1432.06;1432.06
1450.55;0;1420.09;990.55;-Infinity;1420.09;1420.09
1459.08;1;1407.57;372.82;-Infinity;1407.57;1407.57
1460.84;0;1421.92;687.39;-Infinity;1421.92;1421.92
1469.41;1;1420.33;433.57;-Infinity;1420.33;1420.33
1541.29;0;1473.7;151.72;-Infinity;1473.7;1473.70
1554.45;1;1548.48;1548.45;-Infinity;1548.48;1548.48
1564.87;1;1556.05;1556.05;-Infinity;1556.05;1556.05
1575.11;1;1560.88;1560.84;-Infinity;1560.88;1560.88
1584.87;1;1566.48;1481.82;-Infinity;1566.48;1566.48
1591.32;0;1522.47;161.28;-Infinity;1522.47;1522.47
1595.29;1;1562.85;1051.52;-Infinity;1562.85;1562.85
1605.55;1;1549.83;469.18;-Infinity;1549.83;1549.83
1611.79;0;1539.8;150.72;-Infinity;1539.8;1539.80
1622.21;0;1570.14;535.35;-Infinity;1570.14;1570.14
1632.63;0;1577.35;535.59;-Infinity;1577.35;1577.35
1643.07;0;1583.16;465.06;-Infinity;1583.16;1583.16
1653.49;0;1593.21;465.4;-Infinity;1593.21;1593.21
1673.91;0;1611.83;394.98;-Infinity;1611.83;1611.83
1684.23;0;1621.91;355.09;-Infinity;1621.91;1621.91
1694.45;0;1626.26;294.5;-Infinity;1626.26;1626.26
1714.86;0;1644.44;264.22;-Infinity;1644.44;1644.44
1715.93;1;1638.88;120.28;-Infinity;1638.88;1638.88
1726.27;1;1654.26;256.75;-Infinity;1654.26;1654.26
1865.24;0;1779.43;150.23;-Infinity;1779.43;1779.43
1875.83;0;1806.08;435.61;-Infinity;1806.08;1806.08
1966.01;0;1880.49;292.06;-Infinity;1880.49;1880.49
2046.47;0;1966.51;424.22;-Infinity;1966.51;1966.51
2086.71;0;2002.39;433.18;-Infinity;2002.39;2002.39
2097.07;0;2008.26;231.65;-Infinity;2008.26;2008.26
2122.05;1;2048.09;546.84;-Infinity;2048.09;2048.09
2197.46;0;2103.85;100.17;-Infinity;2103.85;2103.85
2218.09;0;2126.27;131.08;-Infinity;2126.27;2126.27
2228.17;0;2149.04;616.34;-Infinity;2149.04;2149.04
2278.2;0;2195.43;635.09;-Infinity;2195.43;2195.43
2328.53;0;2252.88;737.12;-Infinity;2252.88;2252.88
2338.53;0;2252.93;654.16;-Infinity;2252.93;2252.93
2341.26;1;2273.89;958.65;-Infinity;2273.89;2273.89
2348.95;0;2263.28;654.16;-Infinity;2263.28;2263.28
2351.87;1;2277.94;786.71;-Infinity;2277.94;2277.94
2369.42;0;2277.72;322.65;-Infinity;2277.72;2277.72
2380;0;2285.92;182.2;-Infinity;2285.92;2285.92
2410.28;0;2315.16;181.88;-Infinity;2315.16;2315.16
2440.84;0;2342.58;101.91;-Infinity;2342.58;2342.58
2511.12;0;2406.53;130.92;-Infinity;2406.53;2406.53
2551.54;0;2446.75;140.92;-Infinity;2446.75;2446.75
2582.1;0;2474.55;70.65;-Infinity;2474.55;2474.55
2652.63;0;2571.77;1019.96;-Infinity;2571.77;2571.77
2675.6;1;2602.86;1120.86;-Infinity;2602.86;2602.86
2682.98;0;2572.93;100.69;-Infinity;2572.93;2572.93
2686.02;1;2599.41;969.89;-Infinity;2599.41;2599.41
2706.44;1;2618.77;979.93;-Infinity;2618.77;2618.77
2726.52;1;2622.99;374.5;-Infinity;2622.99;2622.99
2733.49;0;2629.02;363.72;-Infinity;2629.02;2629.02
2743.76;0;2634.38;191.89;-Infinity;2634.38;2634.38
2753.89;0;2658.79;535.67;-Infinity;2658.79;2658.79
2766.85;1;2673.13;644.71;-Infinity;2673.13;2673.13
2814.45;0;2717.98;536.01;-Infinity;2717.98;2717.98
2824.57;0;2718.97;383.54;-Infinity;2718.97;2718.97
2865.18;0;2767.69;536.45;-Infinity;2767.69;2767.69
2887.11;1;2774.34;160.54;-Infinity;2774.34;2774.34
2895.49;0;2778.06;161.95;-Infinity;2778.06;2778.06
2907.54;1;2809.17;565.93;-Infinity;2809.17;2809.17
2928.06;1;2817.13;252.31;-Infinity;2817.13;2817.13
2948.59;1;2836.54;262.51;-Infinity;2836.54;2836.54
2955.8;0;2833.92;141.29;-Infinity;2833.92;2833.92
2959.01;1;2846.61;252.51;-Infinity;2846.61;2846.61
2966.22;0;2843.79;141.29;-Infinity;2843.79;2843.79
2999.31;1;2877.59;232.3;-Infinity;2877.59;2877.59
3006.77;0;2881.67;111.15;-Infinity;2881.67;2881.67
3129.87;1;3002.33;181.15;-Infinity;3002.33;3002.33
3153.01;0;3029.95;287.66;-Infinity;3029.95;3029.95
3180.73;1;3157.93;2867.41;-Infinity;3157.93;3157.93
3190.59;1;3165.67;2768.92;-Infinity;3165.67;3165.67
3201.11;1;3143.72;2034.32;-Infinity;3143.72;3143.72
3211.59;1;3140.68;1752.34;-Infinity;3140.68;3140.68
3222.01;1;3148;1636.74;-Infinity;3148;3148.00
3232.34;1;3155.09;1626.64;-Infinity;3155.09;3155.09
3262.67;1;3128.93;132.75;-Infinity;3128.93;3128.93
3322.85;1;3198.94;435.38;-Infinity;3198.94;3198.94
3333.08;1;3207.24;404.77;-Infinity;3207.24;3207.24
3343.74;1;3213.36;384.67;-Infinity;3213.36;3213.36
3413.91;1;3278.42;202.19;-Infinity;3278.42;3278.42
3444.62;1;3308.5;222.48;-Infinity;3308.5;3308.50
3494.75;1;3355.62;171.61;-Infinity;3355.62;3355.62
3585.32;1;3442.46;90.24;-Infinity;3442.46;3442.46
3595.91;1;3470.13;688.02;-Infinity;3470.13;3470.13
3646.39;1;3514.76;646.9;-Infinity;3514.76;3514.76
3656.66;1;3516.25;323.31;-Infinity;3516.25;3516.25
3660.32;0;3530.87;704.25;-Infinity;3530.87;3530.87
3670.74;0;3540.28;704.25;-Infinity;3540.28;3540.28
3677.08;1;3535.37;333.3;-Infinity;3535.37;3535.37
