#TimeStamp;Runtime;Requests
0.54;0.02;6
2.58;0;1
3.67;0;1
4.71;0;3
5.71;0;1
6.75;0;1
7.8;0;1
9.42;0;1
10.67;0;1
11.69;0;1
12.71;0;1
13.76;0;1
14.92;0;2
15.96;0;1
17.14;0;1
18.16;0;1
19.48;0;1
20.57;0;2
22.03;0;1
23.36;0;1
24.74;0;1
28.45;0;1
29.53;0;1
30.53;0;1
31.58;0;2
32.73;0;1
35.11;0;1
36.49;0;1
38.87;0;1
40.82;0;1
42.37;0;1
43.95;0;1
45.99;0;1
47.07;0;1
48.36;0;1
49.49;0;1
51.17;0;1
52.36;0;1
56.61;0;1
61.17;0;1
66.17;0;1
71.17;0;1
76.66;0;1
80.98;0;1
86.61;0;1
91.17;0;1
96.66;0;1
101.16;0;1
106.83;0;1
111.17;0;1
116.86;0;1
121.42;0;1
126.86;0;1
131.42;0;1
136.86;0;1
141.42;0;1
146.78;0;1
150.98;0;1
156.86;0;1
161.19;0;1
166.82;0;1
171.4;0;1
176.84;0;1
181.1;0;1
186.86;0;1
191.42;0;1
196.82;0;1
201.42;0;1
206.86;0;1
211.31;0;1
216.89;0;1
221.14;0;1
226.89;0;1
231.44;0;1
236.89;0;1
241.37;0;1
246.91;0;1
251.44;0;1
256.91;0;1
261.89;0;1
266.85;0;1
271.89;0;1
276.91;0;1
281.89;0;1
286.83;0;1
291.88;0;1
296.83;0;1
302.24;0;1
306.95;0;1
312.19;0;1
316.87;0;1
322.24;0;1
327.37;0;1
332.16;0;1
337.25;0;1
342.43;0;1
347.31;0;1
352.41;0;1
353.78;0;1
357.99;0;1
362.44;0;1
372.44;0;1
382.14;0;1
387.37;0;1
392.53;0;1
394.21;0;1
397.37;0;1
402.76;0;1
404.21;0;1
405.3;0;1
413;0;1
415.3;0;1
423.19;0;1
425.72;0;1
433.61;0;1
435.72;0;1
443.88;0;1
445.72;0;1
453.88;0;1
456.14;0;1
464.3;0;1
466.14;0;1
474.72;0;1
475.88;0;1
484.72;0;1
486.56;0;1
494.72;0;1
496.98;0;1
504.72;0;1
506.98;0;1
514.72;0;1
516.98;0;1
524.77;0;1
526.98;0;1
534.77;0;1
537.4;0;1
544.77;0;1
547.51;0;1
554.77;0;1
557.39;0;1
560;0;1
564.77;0;1
566.88;0;1
567.97;0;1
575.19;0;1
577.51;0;1
585.19;0;1
587.51;0;1
595.61;0;1
597.93;0;1
605.61;0;1
607.93;0;1
615.61;0;1
617.93;0;1
625.62;0;1
627.94;0;1
635.62;0;1
638.36;0;1
645.62;0;1
648.36;0;1
655.62;0;1
658.36;0;1
665.62;0;1
668.24;0;1
670.45;0;1
673.74;0;1
674.88;0;1
677.29;0;1
678.38;0;1
679.67;0;1
685.84;0;1
689.05;0;1
696.05;0;1
699.05;0;1
706.47;0;1
709.05;0;1
716.89;0;1
719.05;0;1
724.56;0;1
727.33;0;1
728.39;0;1
730.06;0;1
737.33;0;1
738.49;0;1
744;0;1
747.31;0;1
748.45;0;1
749.75;0;1
751.32;0;1
757.31;0;1
758.49;0;1
767.32;0;1
768.49;0;1
774;0;1
777.74;0;1
778.87;0;1
787.38;0;1
797.78;0;1
807.78;0;1
812.64;0;1
817.26;0;1
819.48;0;1
827.78;0;1
830.57;0;1
838.22;0;1
840.96;0;1
848.64;0;1
849.96;0;1
852.63;0;1
858.19;0;1
859.5;0;1
860.63;0;1
869.09;0;1
876.47;0;1
879.51;0;1
882.13;0;1
886.3;0;1
889.51;0;1
899.18;0;1
909.51;0;1
919.51;0;1
924.37;0;1
929;0;1
931.21;0;1
933.83;0;1
939.38;0;1
940.67;0;1
942.29;0;1
949.76;0;1
952.29;0;1
959.76;0;1
