#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;37.05;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.91;38.23;0.29;PP/0.03,TA/0.04,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.75;38.23;0.36;PP/0.03,TA/0.09,IS/0,PS/0,RB/0,OB/0.01,RP/0
179.75;38.23;0.43;PP/0.03,TA/0.15,IS/0,PS/0,RB/0,OB/0.02,RP/0
240;38.64;0.52;PP/0.03,TA/0.22,IS/0.01,PS/0,RB/0,OB/0.02,RP/0
299.83;38.64;0.62;PP/0.03,TA/0.3,IS/0.01,PS/0,RB/0.01,OB/0.03,RP/0
359.95;38.99;0.72;PP/0.04,TA/0.37,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
419.72;39.01;0.8;PP/0.04,TA/0.44,IS/0.01,PS/0,RB/0.01,OB/0.04,RP/0
479.86;39.26;0.92;PP/0.04,TA/0.54,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
539.86;39.26;1.03;PP/0.04,TA/0.64,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
599.98;39.27;1.15;PP/0.04,TA/0.76,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
659.66;39.27;1.26;PP/0.04,TA/0.86,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
719.72;39.27;1.37;PP/0.04,TA/0.96,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
779.96;39.5;1.47;PP/0.04,TA/1.05,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
839.8;39.49;1.54;PP/0.04,TA/1.11,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
899.64;39.49;1.62;PP/0.04,TA/1.18,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
959.8;39.49;1.7;PP/0.04,TA/1.24,IS/0.01,PS/0,RB/0.01,OB/0.05,RP/0
1019.9;39.39;1.82;PP/0.05,TA/1.34,IS/0.01,PS/0,RB/0.01,OB/0.06,RP/0
1079.9;39.45;1.92;PP/0.06,TA/1.43,IS/0.01,PS/0,RB/0.01,OB/0.06,RP/0
1139.84;39.45;2.02;PP/0.06,TA/1.52,IS/0.01,PS/0,RB/0.01,OB/0.06,RP/0
1199.97;39.45;2.13;PP/0.06,TA/1.61,IS/0.01,PS/0,RB/0.01,OB/0.06,RP/0
1259.77;39.45;2.19;PP/0.06,TA/1.67,IS/0.01,PS/0,RB/0.01,OB/0.06,RP/0
1319.98;39.45;2.25;PP/0.06,TA/1.72,IS/0.01,PS/0,RB/0.01,OB/0.06,RP/0
