#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.91;0;0;0;2;0/59.91;0/27.86,1/33.11;0/0;0/59.91,1/59.91;0/0;0/32,1/38;0/0;0/36,1/39;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/4,1/3
119.75;0;0;0;2;0/119.75;0/29.04,1/34.53;0/0;0/119.75,1/119.75;0/0;0/30,1/38;0/0;0/34,1/39;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/10,1/9
179.75;0;0;0;2;0/179.75;0/30.35,1/35.67;0/0;0/179.75,1/179.75;0/0;0/24,1/32;0/0;0/28,1/33;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/16,1/15
240;0;0;0;2;0/240;0/31.41,1/37.01;0/0;0/240,1/240;0/0;0/18,1/26;0/0;0/22,1/27;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/22,1/21
299.83;0;0;0;2;0/299.83;0/33.47,1/37.93;0/0;0/299.83,1/299.83;0/0;0/18,1/20;0/0;0/22,1/21;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/28,1/27
359.95;0;0;0;2;0/359.95;0/33.9,1/45.38;0/0;0/359.95,1/359.95;0/0;0/13,1/22;0/0;0/18,1/22;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/34,1/32
419.72;0;3;0;2;0/419.72;0/34.95,1/87.3;0/0;0/419.72,1/419.72;0/0;0/11,1/18;0/0;0/14,1/20;0/0;0/0,1/0;0/0;0/2,1/1;0/0;0/40,1/34
479.86;0;3;0;2;0/479.86;0/37.48,1/90.46;0/0;0/479.86,1/479.86;0/0;0/23,1/19;0/0;0/27,1/21;0/0;0/0,1/0;0/0;0/2,1/1;0/0;0/45,1/40
539.86;0;3;0;2;0/539.86;0/38.82,1/94.1;0/0;0/539.86,1/539.86;0/0;0/17,1/21;0/0;0/21,1/23;0/0;0/0,1/0;0/0;0/2,1/1;0/0;0/51,1/46
599.98;0;4;0;2;0/599.98;0/40.17,1/95.59;0/0;0/599.98,1/599.98;0/0;0/18,1/23;0/0;0/21,1/26;0/0;0/0,1/0;0/0;0/3,1/1;0/0;0/57,1/52
659.66;0;4;0;2;0/659.66;0/40.6,1/96.28;0/0;0/659.66,1/659.66;0/0;0/12,1/19;0/0;0/15,1/22;0/0;0/0,1/0;0/0;0/3,1/1;0/0;0/63,1/58
719.72;0;6;0;2;0/719.72;0/43.06,1/97.14;0/0;0/719.72,1/719.72;0/0;0/14,1/17;0/0;0/18,1/19;0/0;0/0,1/0;0/0;0/4,1/2;0/0;0/69,1/64
779.96;0;8;0;2;0/779.96;0/44.87,1/102.94;0/0;0/779.96,1/779.96;0/0;0/12,1/14;0/0;0/18,1/14;0/0;0/0,1/0;0/0;0/4,1/4;0/0;0/75,1/69
839.8;0;10;0;2;0/839.8;0/45.83,1/150.41;0/0;0/839.8,1/839.8;0/0;0/10,1/15;0/0;0/15,1/15;0/0;0/0,1/0;0/0;0/5,1/5;0/0;0/81,1/71
899.64;0;11;0;2;0/899.64;0/48.04,1/192.8;0/0;0/899.64,1/899.64;0/0;0/12,1/17;0/0;0/18,1/17;0/0;0/0,1/0;0/0;0/5,1/6;0/0;0/87,1/72
959.8;0;15;0;2;0/959.8;0/49.84,1/232.32;0/0;0/959.8,1/959.8;0/0;0/12,1/13;0/0;0/15,1/14;0/0;0/0,1/0;0/0;0/7,1/8;0/0;0/93,1/75
1019.9;0;19;0;2;0/1019.9;0/52.45,1/249.92;0/0;0/1019.9,1/1019.9;0/0;0/15,1/11;0/0;0/18,1/13;0/0;0/0,1/0;0/0;0/9,1/10;0/0;0/99,1/79
1079.9;0;22;0;2;0/1079.9;0/53.74,1/251.63;0/0;0/1079.9,1/1079.9;0/0;0/9,1/11;0/0;0/12,1/13;0/0;0/0,1/0;0/0;0/11,1/11;0/0;0/105,1/85
1139.84;0;26;0;2;0/1139.84;0/55.56,1/253.04;0/0;0/1139.84,1/1139.84;0/0;0/11,1/15;0/0;0/13,1/17;0/0;0/0,1/0;0/0;0/13,1/13;0/0;0/111,1/91
1199.97;0;28;0;2;0/1199.97;0/57.99,1/276.92;0/0;0/1199.97,1/1199.97;0/0;0/19,1/16;0/0;0/23,1/17;0/0;0/0,1/0;0/0;0/13,1/15;0/0;0/117,1/94
1259.77;0;29;0;2;0/1259.77;0/59.16,1/326.76;0/0;0/1259.77,1/1259.77;0/0;0/12,1/16;0/0;0/17,1/16;0/0;0/0,1/0;0/0;0/13,1/16;0/0;0/123,1/95
1319.98;0;30;0;2;0/1319.98;0/61.13,1/386.97;0/0;0/1319.98,1/1319.98;0/0;0/9,1/16;0/0;0/14,1/16;0/0;0/0,1/0;0/0;0/14,1/16;0/0;0/129,1/95
1379.79;0;34;0;2;0/1379.79;0/62.89,1/429.64;0/0;0/1379.79,1/1379.79;0/0;0/9,1/14;0/0;0/11,1/14;0/0;0/0,1/0;0/0;0/17,1/17;0/0;0/135,1/97
1439.7;0;39;0;2;0/1439.7;0/64.04,1/457.41;0/0;0/1439.7,1/1439.7;0/0;0/10,1/16;0/0;0/14,1/17;0/0;0/0,1/0;0/0;0/19,1/20;0/0;0/140,1/100
1499.63;0;40;0;2;0/1499.63;0/66.21,1/468.31;0/0;0/1499.63,1/1499.63;0/0;0/14,1/17;0/0;0/18,1/18;0/0;0/0,1/0;0/0;0/19,1/21;0/0;0/146,1/106
1559.67;0;43;0;2;0/1559.67;0/67.18,1/474.98;0/0;0/1559.67,1/1559.67;0/0;0/13,1/15;0/0;0/18,1/16;0/0;0/0,1/0;0/0;0/20,1/23;0/0;0/152,1/111
1619.79;0;46;0;2;0/1619.79;0/69.02,1/477.63;0/0;0/1619.79,1/1619.79;0/0;0/15,1/21;0/0;0/17,1/25;0/0;0/0,1/0;0/0;0/23,1/23;0/0;0/158,1/117
1679.88;0;46;0;2;0/1679.88;0/71.39,1/478.42;0/0;0/1679.88,1/1679.88;0/0;0/27,1/16;0/0;0/30,1/19;0/0;0/0,1/0;0/0;0/23,1/23;0/0;0/164,1/123
1739.98;0;48;0;2;0/1739.98;0/73.52,1/480.58;0/0;0/1739.98,1/1739.98;0/0;0/30,1/20;0/0;0/34,1/21;0/0;0/0,1/0;0/0;0/23,1/25;0/0;0/170,1/129
1799.69;0;49;0;2;0/1799.69;0/74.52,1/494.04;0/0;0/1799.69,1/1799.69;0/0;0/22,1/17;0/0;0/28,1/17;0/0;0/0,1/0;0/0;0/23,1/26;0/0;0/176,1/133
1859.98;0;49;0;2;0/1859.98;0/76.56,1/554.33;0/0;0/1859.98,1/1859.98;0/0;0/17,1/17;0/0;0/22,1/17;0/0;0/0,1/0;0/0;0/23,1/26;0/0;0/182,1/133
1919.67;0;51;0;2;0/1919.67;0/78.37,1/614.01;0/0;0/1919.67,1/1919.67;0/0;0/18,1/17;0/0;0/23,1/17;0/0;0/0,1/0;0/0;0/25,1/26;0/0;0/188,1/133
1979.81;0;51;0;2;0/1979.81;0/80.3,1/674.16;0/0;0/1979.81,1/1979.81;0/0;0/18,1/17;0/0;0/23,1/17;0/0;0/0,1/0;0/0;0/25,1/26;0/0;0/194,1/133
2039.81;0;52;0;2;0/2039.81;0/82.15,1/734.16;0/0;0/2039.81,1/2039.81;0/0;0/13,1/16;0/0;0/17,1/17;0/0;0/0,1/0;0/0;0/26,1/26;0/0;0/200,1/133
2099.66;0;56;0;2;0/2099.66;0/84.59,1/774.38;0/0;0/2099.66,1/2099.66;0/0;0/20,1/14;0/0;0/24,1/15;0/0;0/0,1/0;0/0;0/29,1/27;0/0;0/206,1/135
2160;0;58;0;2;0/2160;0/85.5,1/795.18;0/0;0/2160,1/2160;0/0;0/14,1/13;0/0;0/18,1/14;0/0;0/0,1/0;0/0;0/30,1/28;0/0;0/212,1/139
2219.87;0;63;0;2;0/2219.87;0/86.91,1/845.09;0/0;0/2219.87,1/2219.87;0/0;0/14,1/13;0/0;0/18,1/13;0/0;0/0,1/0;0/0;0/34,1/29;0/0;0/218,1/140
2279.86;0;64;0;2;0/2279.86;0/88.31,1/905.09;0/0;0/2279.86,1/2279.86;0/0;0/15,1/13;0/0;0/19,1/13;0/0;0/0,1/0;0/0;0/35,1/29;0/0;0/224,1/140
2339.77;0;66;0;2;0/2339.77;0/90.53,1/956.82;0/0;0/2339.77,1/2339.77;0/0;0/14,1/11;0/0;0/18,1/12;0/0;0/0,1/0;0/0;0/36,1/30;0/0;0/230,1/141
2399.86;0;66;0;2;0/2399.86;0/93.25,1/985.95;0/0;0/2399.86,1/2399.86;0/0;0/16,1/15;0/0;0/22,1/15;0/0;0/0,1/0;0/0;0/36,1/30;0/0;0/235,1/144
2459.86;0;66;0;2;0/2459.86;0/95.67,1/1045.95;0/0;0/2459.86,1/2459.86;0/0;0/16,1/15;0/0;0/22,1/15;0/0;0/0,1/0;0/0;0/36,1/30;0/0;0/241,1/144
2519.86;0;66;0;2;0/2519.86;0/97.67,1/1105.95;0/0;0/2519.86,1/2519.86;0/0;0/12,1/15;0/0;0/18,1/15;0/0;0/0,1/0;0/0;0/36,1/30;0/0;0/247,1/144
2579.86;0;66;0;2;0/2579.86;0/99.68,1/1165.95;0/0;0/2579.86,1/2579.86;0/0;0/9,1/15;0/0;0/15,1/15;0/0;0/0,1/0;0/0;0/36,1/30;0/0;0/253,1/144
2639.83;0;66;0;2;0/2639.83;0/101.68,1/1225.93;0/0;0/2639.83,1/2639.83;0/0;0/10,1/14;0/0;0/15,1/15;0/0;0/0,1/0;0/0;0/36,1/30;0/0;0/259,1/144
2699.97;0;68;0;2;0/2699.97;0/103.69,1/1243.02;0/0;0/2699.97,1/2699.97;0/0;0/10,1/16;0/0;0/15,1/17;0/0;0/0,1/0;0/0;0/37,1/31;0/0;0/265,1/149
2759.97;0;71;0;2;0/2759.97;0/105.41,1/1244.31;0/0;0/2759.97,1/2759.97;0/0;0/14,1/19;0/0;0/18,1/20;0/0;0/0,1/0;0/0;0/39,1/32;0/0;0/271,1/155
2819.97;0;72;0;2;0/2819.97;0/107.27,1/1246.61;0/0;0/2819.97,1/2819.97;0/0;0/13,1/18;0/0;0/16,1/20;0/0;0/0,1/0;0/0;0/40,1/32;0/0;0/277,1/161
