#TimeStamp;DistanceTraveled
59.91;160.26
119.75;11.74
179.75;0
240;0
299.83;0
359.95;8.9
419.72;48.1
479.86;0
539.86;0
599.98;17
659.66;0
719.72;32
779.96;36.11
839.8;29.89
899.64;41
959.8;49.96
1019.9;101.64
1079.9;38.01
1139.84;68.65
1199.97;85.68
1259.77;24.05
1319.98;34
1379.79;47.83
1439.7;139.52
1499.63;68.65
1559.67;45
1619.79;51
1679.88;0
1739.98;32
1799.69;27
1859.98;3
1919.67;43.25
1979.81;26.75
2039.81;11.42
2099.66;98.82
2160;79.34
2219.87;123.35
2279.86;103.18
2339.77;42.89
2399.86;17
2459.86;0
2519.86;0
2579.86;0
2639.83;2.9
2699.97;18.1
2759.97;46.05
2819.97;21.95
2879.96;32
2939.96;83
2999.96;31.24
3059.91;42.76
3119.96;63.03
3179.62;169.01
3239.73;71.96
3299.82;72
3359.67;34
3419.71;0
3479.81;0
3539.81;0
3599.88;18
3659.74;37
3719.74;0
3779.85;21
3839.85;0
3899.89;27.98
3959.85;42.02
4019.79;75.09
4079.61;64.73
4139.77;79.01
4199.77;136.19
4259.97;188.41
4319.95;59.58
4379.85;21
4439.86;21
4499.86;0
4559.93;17
4619.93;0
4679.92;21
4739.95;0
4799.92;31.61
4859.75;6.39
4919.97;17
4979.64;21
5039.69;0
5099.99;45.02
5159.7;18.98
5219.71;32
5279.66;17
5339.6;28.82
5399.74;28.01
5459.89;13.56
5519.88;66.71
5579.84;44.9
5639.98;36
5699.99;92.22
5759.79;211.75
5819.87;174
5879.6;85.24
5939.76;72.79
5999.64;42
6059.99;21
6119.84;103.02
6179.9;115.39
6239.71;89.6
6299.88;17
6359.83;39.11
6419.97;65.01
6479.87;13.93
6539.83;8.96
6599.83;0
6659.66;17
6719.66;0
6779.66;0
6839.98;21
6899.68;32.11
6959.83;16.89
7019.73;60.44
7079.66;47.56
7139.9;43
7199.79;49.5
7259.62;68.78
7319.92;180.34
7379.76;193.73
7439.69;21.64
7499.71;22.18
7559.73;30.82
7619.67;24.08
7679.78;56.92
7739.78;21
7799.87;0
7859.87;0
7919.99;21
7979.93;0
8039.88;21
8099.97;21
8159.65;42.11
8219.96;69.35
8279.85;27.8
8339.62;15.73
8399.62;0
8459.73;34.28
8519.99;98.53
8580;60.54
8639.67;65.56
8699.97;151.52
8759.72;228.49
8819.83;101.08
8879.84;21
8939.89;21
8999.81;5.82
9059.97;15.18
9119.89;8.69
9179.82;12.31
9239.82;0
9299.82;21
9359.92;21
9419.74;21
9479.96;31.74
9539.63;10.26
9599.74;59.69
9659.77;1.31
9719.7;42
9779.86;21.39
9839.98;45.06
9899.81;35.55
9959.58;66.4
10019.72;112.82
10079.63;73.23
10139.64;64.88
10199.93;124.67
10259.92;209.5
10319.72;179.14
10379.98;54.36
10439.93;19
10499.96;0
10559.99;41.97
10619.99;0.03
10679.61;24.93
10740;54.59
10799.6;59.48
10859.73;0
10919.73;0
10979.73;21
11039.7;35.17
11099.7;4.83
11159.87;0
11219.99;40
11279.6;21
11339.98;19
11399.99;57
11459.83;137.99
11519.94;200.76
11579.99;102.27
11639.74;66.98
11699.69;0
11759.69;0
11819.69;0
11879.67;0
11939.69;0
11999.69;0
12059.69;0
12119.66;0
12179.66;0
12239.66;0
12299.66;0
12359.66;0
12419.66;0
12479.66;0
12539.66;0
12599.66;0
12659.66;0
12719.66;0
12779.66;0
12839.66;0
12899.66;0
12959.66;0
13019.66;0
13079.66;0
13139.66;0
13199.66;0
13259.66;0
13319.66;0
13379.66;0
13439.66;0
13499.66;0
13559.66;0
13619.66;0
13679.66;0
13739.66;0
13799.66;0
13859.66;0
13919.66;0
13979.66;0
14039.66;0
14099.66;0
14159.66;0
14219.66;0
14279.66;0
14339.66;0
14399.66;0
14459.66;0
14519.66;0
14579.66;0
14639.66;0
14699.66;0
14759.66;0
14819.66;0
14879.66;0
14939.66;0
14999.66;0
15059.66;0
15119.66;0
15179.66;0
15239.66;0
15299.66;0
15359.66;0
15419.66;0
15479.66;0
15539.66;0
15599.66;0
15659.66;0
15719.66;0
15779.66;0
15839.66;0
15899.66;0
15959.66;0
16019.66;0
16079.66;0
16139.66;0
16199.66;0
16259.66;0
16319.66;0
16379.66;0
16439.66;0
16499.66;0
16559.66;0
16619.66;0
16679.66;0
16739.66;0
16799.66;0
16859.66;0
16919.66;0
16979.66;0
17039.66;0
17099.66;0
17159.66;0
17219.66;0
17279.66;0
17339.66;0
17399.66;0
17459.66;0
17519.66;0
17579.66;0
17639.66;0
17699.66;0
17759.66;0
17819.66;0
17879.66;0
17939.66;0
17999.66;0
18059.66;0
18119.66;0
18179.66;0
18239.66;0
18299.66;0
18359.66;0
18419.66;0
18479.66;0
18539.66;0
18599.66;0
18659.66;0
18719.66;0
18779.66;0
18839.66;0
18899.66;0
18959.66;0
19019.66;0
19079.66;0
19139.66;0
19199.66;0
19259.66;0
19319.66;0
19379.66;0
19439.66;0
19499.66;0
19559.66;0
19619.66;0
19679.66;0
19739.66;0
19799.66;0
19859.66;0
19919.66;0
19979.66;0
20039.66;0
20099.66;0
20159.66;0
20219.66;0
20279.66;0
20339.66;0
20399.66;0
20459.66;0
20519.66;0
20579.66;0
20639.66;0
20699.66;0
20759.66;0
20819.66;0
20879.66;0
20939.66;0
20999.66;0
21059.66;0
21119.66;0
21179.66;0
21239.66;0
21299.66;0
21359.66;0
21419.66;0
21479.66;0
21539.66;0
21599.66;0
21659.66;0
21719.66;0
21779.66;0
21839.66;0
21899.66;0
21959.66;0
22019.66;0
22079.66;0
22139.66;0
22199.66;0
22259.66;0
22319.66;0
22379.66;0
22439.66;0
22499.66;0
22559.66;0
22619.66;0
22679.66;0
22739.66;0
22799.66;0
22859.66;0
22919.66;0
22979.66;0
23039.66;0
23099.66;0
23159.66;0
23219.66;0
23279.66;0
23339.66;0
23399.66;0
23459.66;0
23519.66;0
23579.66;0
23639.66;0
23699.66;0
23759.66;0
23819.66;0
23879.66;0
23939.66;0
23999.66;0
24059.66;0
24119.66;0
24179.66;0
24239.66;0
24299.66;0
24359.66;0
24419.66;0
24479.66;0
24539.66;0
24599.66;0
24659.66;0
24719.66;0
24779.66;0
24839.66;0
24899.66;0
24959.66;0
25019.66;0
25079.66;0
25139.66;0
25199.66;0
25259.66;0
25319.66;0
25379.66;0
25439.66;0
25499.66;0
25559.66;0
25619.66;0
25679.66;0
25739.66;0
25799.66;0
25859.66;0
25919.66;0
25979.66;0
