#TimeStamp;TripTime;Type
22;6;O
28;7;O
37;20;O
45;27;O
53;24;O
62;15;O
360;14;O
396;14;O
406;14;O
569;15;O
679;14;O
682;14;O
733;15;O
755;16;O
781;13;O
821;14;O
867;7;O
889;13;O
933;15;O
942;14;O
974;15;O
980;18;O
988;13;O
1016;14;O
1018;9;O
1055;15;O
1083;14;O
1085;15;O
1094;14;O
1096;17;O
1135;15;O
1145;14;O
1185;8;O
1189;9;O
1201;8;O
1223;13;O
1294;9;O
1357;14;O
1397;15;O
1403;16;O
1411;18;O
1420;19;O
1442;12;O
1451;17;O
1459;21;O
1484;16;O
1539;17;O
1539;15;O
1553;20;O
1579;14;O
1589;14;O
1610;15;O
1693;14;O
1725;16;O
1778;18;O
1793;13;O
1889;10;O
1947;14;O
2044;15;O
2071;9;O
2106;20;O
2111;20;O
2123;24;O
2158;17;O
2163;18;O
2208;17;O
2213;17;O
2235;15;O
2238;17;O
2256;20;O
2301;10;O
2326;14;O
2378;13;O
2650;14;O
2721;15;O
2752;15;O
2766;16;O
2812;14;O
2864;16;O
2866;15;O
2913;13;O
2925;16;O
2930;19;O
2994;14;O
2997;14;O
3029;29;O
3047;16;O
3087;14;O
3137;18;O
3164;30;O
3172;17;O
3181;14;O
3185;18;O
3212;31;O
3218;33;O
3279;12;O
3287;10;O
3338;9;O
3609;10;O
3643;14;O
3740;16;O
3886;14;O
3908;15;O
3918;15;O
3961;14;O
4003;36;O
4003;26;O
4019;9;O
4048;14;O
4078;14;O
4103;11;O
4130;13;O
4140;27;O
4154;16;O
4168;14;O
4189;17;O
4197;8;O
4228;22;O
4239;12;O
4259;40;O
4263;23;O
4268;38;O
4272;23;O
4274;19;O
4286;18;O
4326;18;O
4341;13;O
4425;14;O
4518;13;O
4649;14;O
4792;13;O
4800;15;O
4872;13;O
4962;14;O
5053;15;O
5059;17;O
5104;15;O
5159;16;O
5174;15;O
5210;18;O
5266;13;O
5316;14;O
5346;15;O
5397;15;O
5461;15;O
5500;14;O
5502;15;O
5520;13;O
5529;15;O
5603;14;O
5630;14;O
5660;15;O
5672;20;O
5705;18;O
5721;13;O
5724;17;O
5741;12;O
5748;14;O
5759;18;O
5770;25;O
5775;13;O
5794;20;O
5800;22;O
5813;18;O
5832;33;O
5842;44;O
5850;18;O
5858;17;O
5879;15;O
5919;14;O
5925;13;O
5957;15;O
5969;18;O
5985;14;O
6041;14;O
6097;13;O
6109;23;O
6133;11;O
6146;22;O
6174;12;O
6207;18;O
6212;23;O
6220;11;O
6268;13;O
6323;14;O
6383;10;O
6412;11;O
6484;14;O
6638;14;O
6808;14;O
6859;15;O
6883;16;O
6911;13;O
6990;15;O
7015;9;O
7022;13;O
7053;13;O
7102;14;O
7157;18;O
7179;13;O
7202;14;O
7261;11;O
7295;34;O
7301;15;O
7307;23;O
7312;12;O
7362;26;O
7368;19;O
7378;39;O
7383;20;O
7394;28;O
7455;14;O
7520;29;O
7557;16;O
7614;14;O
7671;30;O
7673;28;O
7697;16;O
7898;14;O
7995;16;O
8059;14;O
8115;16;O
8142;15;O
8193;31;O
8212;32;O
8262;14;O
8288;16;O
8414;14;O
8492;28;O
8503;33;O
8517;14;O
8525;14;O
8586;16;O
8603;9;O
8625;14;O
8680;44;O
8686;14;O
8689;33;O
8693;12;O
8714;10;O
8740;14;O
8746;18;O
8753;25;O
8769;20;O
8789;21;O
8798;13;O
8807;37;O
8846;14;O
8902;16;O
9008;14;O
9125;16;O
9271;14;O
9348;16;O
9383;14;O
9439;16;O
9484;14;O
9556;14;O
9583;28;O
9592;16;O
9676;14;O
9702;16;O
9747;14;O
9821;19;O
9847;14;O
9873;16;O
9953;19;O
9991;14;O
9998;9;O
10012;15;O
10025;9;O
10082;29;O
10105;11;O
10140;10;O
10162;15;O
10217;17;O
10220;21;O
10224;35;O
10229;29;O
10238;51;O
10252;13;O
10270;10;O
10286;18;O
10295;20;O
10304;24;O
10314;11;O
10339;16;O
10353;20;O
10404;15;O
10533;29;O
10551;16;O
10676;13;O
10718;15;O
10721;17;O
10762;19;O
10763;17;O
10764;29;O
10939;16;O
11029;14;O
11041;16;O
11198;28;O
11211;14;O
11279;29;O
11323;14;O
11376;17;O
11388;20;O
11391;29;O
11417;15;O
11434;15;O
11454;15;O
11467;25;O
11479;14;O
11483;17;O
11493;15;O
11510;22;O
11528;23;O
11532;27;O
