#TimeStamp;Bot;Pod;OutputStation
61.55;5;238;1
65.29;3;231;0
75.3;2;67;0
77.06;4;188;1
85.31;2;67;0
90.6;3;231;1
95.32;5;238;0
100.57;0;153;1
105.37;4;188;0
110.41;0;153;1
118.01;3;231;0
120.68;1;78;1
128.13;3;231;0
130.73;1;78;1
138.26;3;231;0
141.13;2;67;1
148.19;0;153;0
150.77;5;238;1
158.36;1;78;0
161.18;4;188;1
168.19;2;67;0
171.22;3;231;1
178.49;5;238;0
181.33;3;231;1
188.5;5;238;0
191.4;0;153;1
198.42;5;238;0
201.33;1;78;1
208.27;5;238;0
211.37;2;67;1
218.3;5;238;0
221.55;2;67;1
228.32;5;238;0
231.55;2;67;1
238.36;4;188;0
241.59;2;67;1
248.56;3;231;0
251.64;2;67;1
258.55;0;153;0
261.65;2;67;1
268.73;1;78;0
271.55;4;188;1
279.03;1;78;0
281.67;3;231;1
289.02;2;67;0
291.43;0;153;1
299.11;4;188;0
305.69;1;78;1
309.16;3;231;0
315.67;2;67;1
319.09;0;153;0
327.76;4;188;1
329.17;0;153;0
337.84;5;154;1
339.23;0;153;0
347.96;3;231;1
349.3;0;153;0
358.05;3;231;1
359.19;0;153;0
368.18;3;231;1
369.22;1;78;0
379.02;1;78;0
389.18;1;78;0
399.34;2;67;0
409.39;2;67;0
412.85;1;78;1
419.52;2;67;0
422.85;1;78;1
429.52;2;67;0
433.01;1;78;1
439.73;4;188;0
449.81;4;188;0
455.48;2;67;1
460.18;5;154;0
465.18;2;67;1
470.11;3;231;0
475.5;4;188;1
480.23;0;95;0
485.68;5;154;1
490.46;1;78;0
495.74;3;231;1
505.37;4;188;0
506.09;0;95;1
515.44;4;188;0
516.04;0;95;1
525.62;4;188;0
526.16;0;95;1
535.75;5;154;0
536.46;1;78;1
545.89;5;154;0
549.94;4;188;1
556.08;5;154;0
560.3;2;199;1
566.22;1;78;0
582.72;3;213;1
590.1;4;188;0
592.51;3;213;1
601.05;2;199;0
602.47;3;213;1
612.69;3;213;1
622.84;5;154;1
626.83;0;166;0
632.72;1;78;1
637.16;0;166;0
642.85;1;78;1
647.5;5;154;0
652.96;2;199;1
657.52;5;154;0
663.03;2;199;1
667.47;5;154;0
672.97;0;166;1
677.53;5;154;0
687.56;5;154;0
697.31;5;154;0
707.6;5;154;0
717.47;5;154;0
727.57;1;78;0
737.66;1;78;0
740.42;5;154;1
747.75;1;78;0
757.84;1;78;0
768.09;2;199;0
778.26;0;166;0
788.3;0;166;0
791.39;2;199;1
798.27;0;166;0
808.11;4;0;0
818.16;3;64;0
821.16;0;166;1
828.35;5;154;0
830.87;0;166;1
838.26;2;199;0
841.15;4;0;1
848.13;2;199;0
851.07;4;0;1
858.39;2;199;0
861.24;3;64;1
868.61;2;199;0
871.29;3;64;1
878.43;2;199;0
881.68;3;64;1
888.62;0;166;0
891.62;3;64;1
898.81;0;166;0
901.63;1;168;1
908.91;4;0;0
911.77;1;168;1
919;3;64;0
922.14;1;168;1
932.04;5;154;1
942;2;199;1
946.03;1;168;0
952.19;2;199;1
956.1;1;168;0
962.29;2;199;1
966.54;1;168;0
972.44;0;166;1
976.96;1;168;0
982.61;0;166;1
987.33;5;154;0
992.95;0;166;1
997.12;5;154;0
1002.97;0;166;1
1012.7;4;0;1
1023.01;4;0;1
1031.22;0;166;0
1032.87;4;0;1
1042.91;4;0;1
1052.76;4;0;1
1053.9;2;221;0
1062.94;4;0;1
1072.89;4;0;1
1082.82;4;0;1
1092.92;4;0;1
1102.82;3;64;1
1104.73;0;134;0
1113.06;1;168;1
1114.77;0;134;0
1123.1;5;154;1
1124.5;0;134;0
1133.14;2;221;1
1134.43;0;134;0
1143.37;2;221;1
1144.41;4;0;0
1153.35;2;221;1
1154.79;4;0;0
1163.56;0;134;1
1164.82;4;0;0
1173.98;0;134;1
1174.82;4;0;0
1184.82;4;0;0
1194.58;4;0;0
1204.68;3;64;0
1214.87;3;64;0
1217.61;4;0;1
1225.03;1;168;0
1235.25;1;168;0
1238.23;3;64;1
1245.36;5;154;0
1247.9;3;64;1
1255.63;5;154;0
1257.87;3;64;1
1265.72;2;221;0
1275.77;0;134;0
1278.47;5;154;1
1286;0;134;0
1289.79;2;221;1
1296.39;4;0;0
1306.39;3;64;0
1313.76;0;134;1
1316.38;3;64;0
1323.8;4;0;1
1326.24;5;154;0
1334.04;4;0;1
1336.08;5;154;0
1346.32;2;221;0
1351.48;3;64;1
1356.28;2;221;0
1361.75;3;64;1
1366.43;1;157;0
1371.72;3;64;1
1376.68;0;134;0
1381.74;5;154;1
1386.84;0;134;0
1391.79;5;154;1
1397.3;3;64;0
1402.01;5;154;1
1412.22;2;221;1
1422.45;1;157;1
1431.6;5;154;0
1432.56;0;134;1
1441.51;2;221;0
1442.64;0;134;1
1451.61;2;221;0
1453.05;3;64;1
1461.7;1;157;0
1462.97;4;182;1
1471.73;0;134;0
1473.09;4;182;1
1481.48;3;64;0
1482.86;4;182;1
1492.83;4;182;1
1503.13;4;182;1
1513.21;5;154;1
1523.14;2;221;1
1526.3;4;182;0
1533.22;3;64;1
1536.31;4;182;0
1543.19;1;157;1
1546.28;4;182;0
1553.28;1;157;1
1556.04;4;182;0
1563.33;0;134;1
1566.36;4;182;0
1573.16;0;134;1
1576.24;5;154;0
1586.15;5;154;0
1590.68;4;182;1
1596.32;5;154;0
1606.45;2;221;0
1616.1;2;221;0
1619.58;5;154;1
1626.24;2;221;0
1629.77;3;137;1
1636.47;2;221;0
1639.87;3;137;1
1646.35;1;157;0
1656.21;1;157;0
1662.01;2;221;1
1666.23;0;134;0
1672;2;221;1
1676.52;4;182;0
1682.1;2;221;1
1686.65;5;154;0
1692.24;1;157;1
1696.61;3;137;0
1702.5;0;134;1
1706.94;3;137;0
1712.55;5;154;1
1717.36;2;221;0
1727.08;2;221;0
1734.77;3;137;1
1737.42;2;221;0
1744.87;3;137;1
1747.45;1;157;0
1757.31;1;157;0
1760.5;2;221;1
1767.35;0;134;0
1770.5;2;221;1
1777.5;5;154;0
1780.38;4;248;1
1787.8;5;154;0
1790.57;4;248;1
1797.77;3;137;0
1800.68;0;134;1
1807.92;2;221;0
1812.31;5;154;1
1818.21;4;248;0
1823.93;3;137;1
1828.16;4;248;0
1834.19;3;137;1
1838.25;4;248;0
1844.25;2;221;1
1848.68;0;134;0
1858.82;1;110;0
1861.21;4;248;1
1869.24;3;137;0
1872.69;0;134;1
1879.52;2;221;0
1882.7;0;134;1
1889.66;4;248;0
1892.77;1;110;1
1902.83;3;137;1
1906.43;0;134;0
1912.96;3;137;1
1920.82;1;110;0
1923.1;2;221;1
1933.38;2;221;1
1943.79;4;248;1
1953.79;4;248;1
1954.67;3;137;0
1963.54;5;90;1
1964.71;3;137;0
1973.85;1;110;1
1974.43;2;221;0
1983.94;0;134;1
1984.68;4;248;0
1994.29;3;137;1
1994.46;5;90;0
2004.17;2;221;1
2004.76;1;110;0
2014.11;2;221;1
2014.93;0;134;0
2024.31;4;248;1
2025.35;3;137;0
2034.41;5;90;1
2035.52;3;137;0
2044.5;1;110;1
2045.75;2;221;0
2054.61;1;110;1
2055.42;4;248;0
2064.39;0;134;1
2065.64;5;90;0
2074.65;3;137;1
2089.51;0;134;0
2090.05;5;90;1
2143.43;2;147;1
2143.59;4;129;0
