#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
105.25;0;99.24;99.24;-Infinity;99.24;99.24
128.09;0;121.34;121.34;-Infinity;121.34;121.34
130.61;1;124.4;124.4;-Infinity;124.4;124.40
161.11;1;144.63;144.63;-Infinity;144.63;144.63
171.02;1;152.88;152.88;-Infinity;152.88;152.88
221.14;1;196.22;196.22;-Infinity;196.22;196.22
248.52;0;231.05;231.03;-Infinity;231.05;231.05
251.4;1;213.27;213.27;-Infinity;213.27;213.27
268.45;0;245.65;245.65;-Infinity;245.65;245.65
308.97;0;280.97;280.97;-Infinity;280.97;280.97
325.72;1;284.7;284.7;-Infinity;284.7;284.70
337.76;1;303.47;303.47;-Infinity;303.47;303.47
347.85;1;315.41;315.41;-Infinity;315.41;315.41
349.18;0;314.26;314.26;-Infinity;314.26;314.26
408.98;0;374.85;374.8;-Infinity;374.85;374.85
432.85;1;384.38;384.38;-Infinity;384.38;384.38
443.39;1;384.17;384.13;-Infinity;384.17;384.17
449.61;0;408.84;408.84;-Infinity;408.84;408.84
480.14;0;438.78;438.78;-Infinity;438.78;438.78
490.17;0;432.77;432.77;-Infinity;432.77;432.77
495.67;1;418.61;418.61;-Infinity;418.61;418.61
525.32;0;457.95;457.95;-Infinity;457.95;457.95
526.04;1;445.18;445.18;-Infinity;445.18;445.18
556.03;0;476.07;476.07;-Infinity;476.07;476.07
570.07;1;481.06;439.34;-Infinity;481.06;481.06
622.8;1;530.98;451.58;-Infinity;530.98;530.98
636.96;0;551.36;531.59;-Infinity;551.36;551.36
662.99;1;573.34;501.81;-Infinity;573.34;573.34
707.44;0;572.48;298.05;-Infinity;572.48;572.48
757.43;0;652.85;488.7;-Infinity;652.85;652.85
787.96;0;691.49;539.4;-Infinity;691.49;691.49
801.39;1;707.67;579.84;-Infinity;707.67;707.67
828.27;0;740.59;700.13;-Infinity;740.59;740.59
858.23;0;753.44;549.07;-Infinity;753.44;753.44
870.88;1;765.28;545.11;-Infinity;765.28;765.28
898.74;0;753.4;448.93;-Infinity;753.4;753.40
911.72;1;814.23;660.09;-Infinity;814.23;814.23
929.21;0;803.37;579.91;-Infinity;803.37;803.37
952.02;1;842.64;614.18;-Infinity;842.64;842.64
956.05;0;800.52;475.82;-Infinity;800.52;800.52
966.49;0;805.89;476.04;-Infinity;805.89;805.89
976.82;0;811.97;451.19;-Infinity;811.97;811.97
982.4;1;860.69;634.45;-Infinity;860.69;860.69
1063.98;0;886.69;507.91;-Infinity;886.69;886.69
1112.83;1;976.71;679.81;-Infinity;976.71;976.71
1114.53;0;922.32;477.37;-Infinity;922.32;922.32
1122.96;1;978.8;679.52;-Infinity;978.8;978.80
1133.1;1;971.91;637.36;-Infinity;971.91;971.91
1163.17;1;985.62;592.83;-Infinity;985.62;985.62
1173.83;1;1007.43;647.67;-Infinity;1007.43;1007.43
1184.07;1;991.73;521.04;-Infinity;991.73;991.73
1214.57;0;1021.63;506.97;-Infinity;1021.63;1021.63
1235.2;0;1030.87;477.36;-Infinity;1030.87;1030.87
1245.17;0;1027.34;386.78;-Infinity;1027.34;1027.34
1275.42;0;1063.29;487.12;-Infinity;1063.29;1063.29
1285.64;0;1068.38;457.29;-Infinity;1068.38;1068.38
1323.65;1;1107.16;522.21;-Infinity;1107.16;1107.16
1366.3;0;1138.41;410.21;-Infinity;1138.41;1138.41
1376.6;0;1155.45;477.79;-Infinity;1155.45;1155.45
1391.38;1;1169.61;479.61;-Infinity;1169.61;1169.61
1412.17;1;1168.6;299.12;-Infinity;1168.6;1168.60
1442.55;1;1215.32;490.36;-Infinity;1215.32;1215.32
1461.6;0;1229.08;484.64;-Infinity;1229.08;1229.08
1472.77;1;1235.67;490.16;-Infinity;1235.67;1235.67
1553.23;1;1293.51;430.13;-Infinity;1293.51;1293.51
1566.31;0;1278.85;351.44;-Infinity;1278.85;1278.85
1600.56;1;1336.28;437;-Infinity;1336.28;1336.28
1639.56;1;1377.32;506.42;-Infinity;1377.32;1377.32
1676.19;0;1360.02;430.83;-Infinity;1360.02;1360.02
1681.98;1;1405.79;497.58;-Infinity;1405.79;1405.79
1706.88;0;1468.02;642.76;-Infinity;1468.02;1468.02
1712.5;1;1440.6;538.51;-Infinity;1440.6;1440.60
1717.26;0;1487.89;750.73;-Infinity;1487.89;1487.89
1777.39;0;1489.9;542.15;-Infinity;1489.9;1489.90
1790.52;1;1468.28;466.72;-Infinity;1468.28;1468.28
1807.78;0;1491.39;532.01;-Infinity;1491.39;1491.39
1810.74;1;1478.94;418.94;-Infinity;1478.94;1478.94
1833.92;1;1486.5;421.7;-Infinity;1486.5;1486.50
1837.96;0;1514.28;471.53;-Infinity;1514.28;1514.28
1848.63;0;1485.78;282.28;-Infinity;1485.78;1485.78
1858.77;0;1537.97;572.77;-Infinity;1537.97;1537.97
1869.19;0;1646.21;939.94;-Infinity;1646.21;1646.21
1889.57;0;1518.29;213.05;-Infinity;1518.29;1518.29
1902.79;1;1554.43;460.15;-Infinity;1554.43;1554.43
1912.92;1;1551.7;439.82;-Infinity;1551.7;1551.70
1930.99;0;1601.59;554.31;-Infinity;1601.59;1601.59
1933.03;1;1570.96;379.76;-Infinity;1570.96;1570.96
1973.8;1;1791.91;1350.96;-Infinity;1791.91;1791.91
1994.25;1;1630.63;393.53;-Infinity;1630.63;1630.63
2004.41;0;1749.28;889.64;-Infinity;1749.28;1749.28
2014.88;0;1638.89;307.94;-Infinity;1638.89;1638.89
2025.18;0;1640.47;307.83;-Infinity;1640.47;1640.47
2034.27;1;1655.44;321.72;-Infinity;1655.44;1655.44
2044.45;1;1826.59;1173.16;-Infinity;1826.59;1826.59
2074.51;1;1699.97;392.41;-Infinity;1699.97;1699.97
2075.77;0;1715.73;614.07;-Infinity;1715.73;1715.73
