#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;38.88;0.09;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
59.81;40.22;0.32;PP/0.04,TA/0.04,IS/0,PS/0,RB/0.01,OB/0.02,RP/0
119.9;40.31;0.34;PP/0.05,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
179.96;40.34;0.37;PP/0.05,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
239.95;40.34;0.39;PP/0.06,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
299.66;40.82;0.44;PP/0.06,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
359.84;40.82;0.48;PP/0.07,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
419.97;40.76;0.52;PP/0.08,TA/0.07,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
479.64;40.77;0.54;PP/0.09,TA/0.07,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
539.74;40.86;0.58;PP/0.09,TA/0.08,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
599.93;41.03;0.61;PP/0.1,TA/0.09,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
659.71;40.85;0.63;PP/0.1,TA/0.1,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
719.72;40.85;0.65;PP/0.11,TA/0.1,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
779.98;40.85;0.69;PP/0.12,TA/0.11,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
839.75;40.96;0.71;PP/0.12,TA/0.11,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
899.85;41.09;0.75;PP/0.13,TA/0.12,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
959.69;40.96;0.79;PP/0.13,TA/0.13,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
1019.77;40.98;0.83;PP/0.14,TA/0.15,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
1079.66;41.42;0.88;PP/0.14,TA/0.17,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
1139.78;41.06;0.92;PP/0.15,TA/0.18,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
1199.75;41.06;0.93;PP/0.16,TA/0.18,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1259.63;41.06;0.95;PP/0.16,TA/0.18,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1319.81;41.06;0.96;PP/0.16,TA/0.18,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1379.95;41.06;0.99;PP/0.16,TA/0.18,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1439.62;41.06;1;PP/0.17,TA/0.18,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1499.78;41.23;1.02;PP/0.17,TA/0.18,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1559.61;41.27;1.08;PP/0.18,TA/0.2,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1620;41.27;1.1;PP/0.18,TA/0.2,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1679.97;41.27;1.11;PP/0.18,TA/0.2,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1739.81;41.27;1.14;PP/0.19,TA/0.2,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1799.87;41.38;1.17;PP/0.2,TA/0.22,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
1859.86;41.71;1.22;PP/0.21,TA/0.23,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
1919.91;41.37;1.27;PP/0.22,TA/0.24,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
1979.79;41.37;1.3;PP/0.23,TA/0.24,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2039.8;41.37;1.33;PP/0.23,TA/0.24,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2099.59;41.48;1.35;PP/0.24,TA/0.24,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2159.59;41.58;1.39;PP/0.25,TA/0.25,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2219.62;41.48;1.44;PP/0.25,TA/0.29,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2279.62;41.53;1.49;PP/0.25,TA/0.34,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2339.75;41.56;1.54;PP/0.25,TA/0.38,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2399.76;41.62;1.59;PP/0.25,TA/0.43,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2459.89;41.5;1.64;PP/0.25,TA/0.47,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2519.81;41.54;1.69;PP/0.25,TA/0.52,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2579.68;41.59;1.75;PP/0.25,TA/0.58,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2639.69;41.63;1.8;PP/0.25,TA/0.63,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2699.69;41.68;1.85;PP/0.25,TA/0.67,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2759.69;41.72;1.9;PP/0.25,TA/0.72,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2819.87;41.77;1.95;PP/0.25,TA/0.76,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2879.96;41.81;2;PP/0.25,TA/0.81,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2939.84;41.86;2.05;PP/0.25,TA/0.85,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
2999.84;41.9;2.1;PP/0.25,TA/0.9,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3059.84;42;2.15;PP/0.25,TA/0.94,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3119.85;42.04;2.2;PP/0.25,TA/0.99,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3179.98;41.58;2.25;PP/0.25,TA/1.04,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3239.94;41.62;2.31;PP/0.25,TA/1.09,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3299.86;41.66;2.36;PP/0.25,TA/1.13,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3359.58;41.71;2.41;PP/0.25,TA/1.18,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3419.59;41.77;2.45;PP/0.25,TA/1.22,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3479.59;41.82;2.5;PP/0.25,TA/1.27,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3539.59;41.87;2.56;PP/0.25,TA/1.32,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3599.72;41.92;2.61;PP/0.25,TA/1.36,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3659.98;41.66;2.66;PP/0.25,TA/1.41,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3719.94;41.71;2.72;PP/0.25,TA/1.46,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3779.94;41.75;2.77;PP/0.25,TA/1.51,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3839.75;41.8;2.82;PP/0.25,TA/1.55,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3899.75;41.85;2.87;PP/0.25,TA/1.6,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
3959.88;41.89;2.91;PP/0.25,TA/1.64,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4019.8;41.93;2.97;PP/0.25,TA/1.69,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4079.68;41.99;3.02;PP/0.25,TA/1.73,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4139.68;42.05;3.07;PP/0.25,TA/1.77,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4199.68;42.1;3.12;PP/0.25,TA/1.82,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4259.69;41.75;3.17;PP/0.25,TA/1.86,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4319.86;41.79;3.21;PP/0.25,TA/1.91,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4379.96;41.84;3.27;PP/0.25,TA/1.96,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4439.84;41.88;3.33;PP/0.25,TA/2.01,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4499.84;41.92;3.38;PP/0.25,TA/2.05,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4559.84;41.97;3.43;PP/0.25,TA/2.09,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4619.85;42.01;3.48;PP/0.25,TA/2.14,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4679.98;42.06;3.53;PP/0.25,TA/2.19,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4739.94;42.12;3.58;PP/0.25,TA/2.23,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4799.86;42.17;3.64;PP/0.25,TA/2.28,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4859.58;41.8;3.69;PP/0.25,TA/2.33,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4919.59;41.85;3.74;PP/0.25,TA/2.38,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
4979.59;41.89;3.8;PP/0.25,TA/2.42,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5039.59;41.94;3.84;PP/0.25,TA/2.47,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5099.72;41.98;3.9;PP/0.25,TA/2.51,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5159.98;42.03;3.95;PP/0.25,TA/2.56,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5219.94;42.07;3.99;PP/0.25,TA/2.6,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5279.94;42.11;4.05;PP/0.25,TA/2.65,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5339.75;42.16;4.1;PP/0.25,TA/2.69,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5399.75;42.21;4.15;PP/0.25,TA/2.74,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5459.88;41.86;4.19;PP/0.25,TA/2.78,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5519.8;41.91;4.25;PP/0.25,TA/2.83,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5579.68;41.96;4.3;PP/0.25,TA/2.88,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5639.68;42;4.35;PP/0.25,TA/2.93,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5699.68;42.05;4.4;PP/0.25,TA/2.97,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5759.69;42.09;4.44;PP/0.25,TA/3.02,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5819.86;42.14;4.49;PP/0.25,TA/3.06,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5879.96;42.18;4.54;PP/0.25,TA/3.11,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5939.84;42.23;4.59;PP/0.25,TA/3.15,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
5999.84;42.27;4.64;PP/0.25,TA/3.19,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
6059.84;41.98;4.69;PP/0.25,TA/3.24,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
