#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/12,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.99;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
119.98;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
179.64;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
239.64;8;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
299.79;8;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/11,Rest/0
359.66;8;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
419.67;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
479.65;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
539.63;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
599.66;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
659.89;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
719.79;7;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/10,Rest/0
779.93;8;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
839.59;9;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/11,Rest/0
899.96;7;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/11,Rest/0
959.76;7;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
1019.68;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
1079.79;8;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
1139.76;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/12,Rest/0
1199.97;6;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/11,Rest/0
1259.66;5;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/10,Rest/0
