#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.91;8;0;0;29.46;0;29.46;0;0.5
119.95;11;12;0;81.86;0;81.86;0;0.47
179.97;16;23;0;128.36;0;135.2;0;0.53
239.97;19;39;0;165.17;0;185.62;0;0.55
299.86;24;43;0;175.88;0;230.46;0;0.6
359.96;34;49;0;199.2;0;280.55;0;0.56
419.69;34;58;0;187;0;321.03;0;0.52
479.85;34;56;0;213.31;0;372.95;0;0.53
539.64;34;53;0;217.8;0;420.79;0;0.53
599.97;34;51;0;241.71;0;473.31;0;0.51
659.97;34;50;0;290;0;530.99;0;0.52
719.93;34;44;0;233.13;0;563.96;0;0.5
779.96;34;40;0;211.59;0;604.07;0;0.49
839.97;34;38;0;232.08;0;655.17;0;0.5
899.87;34;34;0;215.5;0;700.64;0;0.5
959.8;34;30;0;201.76;0;746.98;0;0.5
1019.61;34;27;0;209.34;0;796.51;0;0.51
1079.79;34;22;0;186.01;0;835.76;0;0.55
1139.98;34;18;0;186.12;0;878.39;0;0.54
1199.91;34;15;0;197.26;0;924.32;0;0.52
1259.95;34;14;0;238.97;0;979.06;0;0.54
1319.74;34;10;0;233.18;0;1018.35;0;0.54
1379.99;34;8;0;258.35;0;1068.57;0;0.55
1439.93;34;5;0;258.68;0;1112.42;0;0.56
1499.79;34;1;0;241.09;0;1154;0;0.54
1559.77;34;0;0;242.89;0;1199.9;0;0.54
1619.78;34;0;0;273.9;0;1253.45;0;0.53
1679.84;34;0;0;328.35;0;1311.81;0;0.52
1739.8;34;0;0;333.82;0;1363.65;0;0.51
1799.96;34;0;0;372.5;0;1419.98;0;0.5
1859.62;34;0;0;361.83;0;1468.48;0;0.6
1919.94;34;0;0;0;0;0;0;0
1979.69;34;0;0;0;0;0;0;0
2039.69;34;0;0;0;0;0;0;0
2099.69;34;0;0;0;0;0;0;0
2159.69;34;0;0;0;0;0;0;0
2219.69;34;0;0;0;0;0;0;0
2279.69;34;0;0;0;0;0;0;0
2339.69;34;0;0;0;0;0;0;0
2399.69;34;0;0;0;0;0;0;0
2459.69;34;0;0;0;0;0;0;0
2519.69;34;0;0;0;0;0;0;0
2579.69;34;0;0;0;0;0;0;0
2639.69;34;0;0;0;0;0;0;0
2699.69;34;0;0;0;0;0;0;0
