#TimeStamp;TripTime;Type
43;15;O
51;22;O
57;30;O
63;35;O
67;15;O
71;28;O
76;44;O
76;39;O
77;39;O
78;44;O
84;38;O
86;45;O
91;42;O
97;15;O
106;15;O
117;15;O
127;15;O
139;17;O
167;15;O
170;18;O
176;14;O
187;15;O
196;14;O
204;12;O
218;16;O
236;14;O
247;15;O
258;16;O
260;18;O
266;14;O
278;15;O
286;14;O
288;16;O
296;14;O
298;16;O
310;33;O
316;24;O
318;15;O
328;15;O
348;15;O
350;17;O
361;18;O
371;18;O
380;17;O
391;18;O
401;18;O
402;19;O
416;22;O
418;38;O
422;19;O
431;34;O
440;17;O
461;18;O
471;18;O
474;13;O
480;17;O
499;15;O
509;15;O
519;15;O
530;16;O
540;16;O
547;34;O
549;15;O
553;18;O
561;16;O
570;34;O
572;18;O
575;16;O
599;14;O
611;20;O
611;17;O
659;15;O
670;15;O
695;21;O
699;15;O
715;17;O
731;26;O
734;16;O
739;24;O
742;17;O
753;15;O
758;39;O
774;16;O
777;21;O
790;22;O
791;15;O
796;18;O
814;18;O
822;16;O
824;15;O
842;15;O
845;16;O
854;17;O
855;16;O
874;15;O
893;16;O
901;15;O
915;16;O
921;14;O
930;13;O
955;16;O
964;15;O
972;15;O
995;15;O
1005;16;O
1015;15;O
1025;16;O
1032;15;O
1036;16;O
1047;16;O
1057;20;O
1062;14;O
1062;19;O
1093;15;O
1102;14;O
1115;16;O
1125;17;O
1134;15;O
1155;16;O
1162;23;O
1174;27;O
1176;37;O
1190;23;O
1190;26;O
1196;29;O
1202;24;O
1207;20;O
1215;17;O
1224;16;O
1234;15;O
1244;14;O
1255;16;O
1269;16;O
1280;30;O
1295;15;O
1320;15;O
1335;14;O
1385;19;O
1395;14;O
1395;19;O
1401;31;O
1405;12;O
1421;16;O
1431;31;O
1432;17;O
1439;18;O
1446;25;O
1453;22;O
1458;17;O
1466;26;O
1471;20;O
1473;15;O
1486;16;O
1496;16;O
1498;17;O
1515;15;O
1525;34;O
1527;16;O
1535;13;O
1544;13;O
1546;15;O
1556;14;O
1556;16;O
1566;15;O
1586;16;O
1597;17;O
1617;16;O
1626;15;O
1646;14;O
1647;15;O
1667;15;O
1682;15;O
1697;15;O
1725;22;O
1737;14;O
1744;27;O
1758;14;O
1760;17;O
1768;15;O
1777;14;O
1790;17;O
1795;47;O
1796;16;O
1809;16;O
1820;17;O
1834;20;O
