#TimeStamp;Runtime;Requests
0.88;0.03;12
2.93;0;1
4.02;0;2
5.38;0;3
6.75;0;1
7.82;0;1
8.84;0;2
9.93;0;3
11.18;0;4
12.47;0;1
13.72;0;2
14.72;0;4
15.81;0;2
17.09;0;2
18.14;0;2
19.18;0;1
20.18;0;5
21.22;0;4
22.23;0;4
23.23;0;5
24.27;0;5
25.27;0;4
26.45;0;1
27.48;0;2
28.5;0;2
29.9;0;2
30.96;0;3
32.06;0;2
33.11;0;3
34.11;0;3
35.11;0;5
36.11;0;4
37.11;0;4
38.15;0;4
39.15;0;3
40.2;0;3
41.2;0;4
42.24;0;4
43.29;0;4
44.38;0;2
45.42;0;4
46.47;0;3
47.47;0;3
48.47;0;2
49.51;0;1
50.51;0;3
51.51;0;2
52.69;0;2
53.78;0;1
55.06;0;2
56.06;0;3
57.1;0;1
58.1;0;2
59.17;0;2
60.42;0;2
61.43;0;2
63.28;0;1
64.51;0;4
66.69;0;1
67.79;0;1
69.19;0;4
70.43;0;3
71.65;0;2
72.81;0;1
74.12;0;3
75.36;0;1
76.38;0;2
77.48;0;1
78.85;0;5
79.88;0;2
81.31;0;2
82.31;0;2
83.96;0;1
84.98;0;1
86.18;0;2
87.4;0;2
88.49;0;2
89.64;0;2
90.96;0;2
92.24;0;3
94.28;0;1
95.37;0;1
96.41;0;1
97.42;0;2
98.63;0;1
99.87;0;3
101.1;0;2
102.34;0;3
104.38;0;1
105.59;0;1
106.84;0;2
107.95;0;1
109.26;0;1
110.3;0;2
111.67;0;1
115.13;0;1
116.19;0;1
117.33;0;1
118.51;0;1
119.89;0;1
121.03;0;2
123.3;0;1
125.86;0;1
126.92;0;1
129.5;0;1
130.79;0;1
131.99;0;1
135.05;0;1
136.08;0;2
138.55;0;1
139.56;0;1
140.68;0;2
144.05;0;1
145.51;0;1
146.72;0;1
148.07;0;1
149.6;0;1
150.69;0;1
152.22;0;1
153.43;0;1
155.1;0;1
156.22;0;2
158.6;0;1
159.72;0;1
161.06;0;3
163.89;0;1
164.97;0;1
166.31;0;1
167.39;0;1
168.47;0;1
169.82;0;1
170.98;0;1
172.21;0;2
173.23;0;1
175.82;0;1
176.86;0;1
179.72;0;1
180.95;0;2
183.03;0;1
184.32;0;1
185.64;0;1
186.86;0;2
189.81;0;2
191.03;0;2
192.68;0;1
193.83;0;1
195.16;0;1
196.25;0;1
199.5;0;1
200.77;0;2
204.8;0;1
206.03;0;1
207.18;0;1
209.8;0;1
210.87;0;1
212.68;0;1
214.19;0;1
220.15;0;2
224.99;0;1
226.08;0;1
230.29;0;2
233.16;0;1
235.79;0;1
240.45;0;2
241.72;0;1
245.29;0;1
250.83;0;1
251.94;0;1
254.82;0;1
260.77;0;1
263.17;0;1
264.74;0;1
268.62;0;1
269.71;0;1
270.8;0;1
271.9;0;1
274.86;0;1
277.21;0;1
280.46;0;1
281.65;0;1
282.66;0;1
283.66;0;1
284.7;0;1
285.74;0;2
286.79;0;1
287.83;0;1
288.87;0;1
289.92;0;1
290.96;0;2
292.01;0;2
293.05;0;1
294.1;0;1
295.14;0;1
296.19;0;1
297.23;0;1
298.27;0;1
299.32;0;2
300.36;0;2
301.41;0;2
303.53;0;1
304.84;0;1
305.97;0;1
308.13;0;1
311.01;0;2
312.1;0;1
316.51;0;1
317.53;0;1
320.68;0;1
322.08;0;1
331.56;0;1
333.93;0;1
335.56;0;1
338.81;0;1
339.9;0;1
341.22;0;1
345.39;0;1
346.73;0;1
347.74;0;1
348.82;0;1
350.11;0;1
351.63;0;1
352.89;0;1
355.21;0;1
356.43;0;1
357.67;0;2
359.01;0;1
361.17;0;2
362.35;0;1
364.72;0;1
366.01;0;1
367.19;0;1
368.21;0;2
369.46;0;1
370.81;0;1
371.83;0;1
372.88;0;2
380.92;0;1
382.14;0;1
385.92;0;1
391.38;0;1
392.44;0;1
394.09;0;1
401.38;0;1
402.64;0;1
411.38;0;1
412.69;0;1
421.38;0;1
422.69;0;1
431.38;0;1
432.69;0;1
441.38;0;1
442.47;0;1
446.22;0;1
447.31;0;1
451.38;0;1
452.44;0;2
453.52;0;1
456.22;0;1
457.31;0;1
461.43;0;1
462.74;0;1
464.14;0;1
466.19;0;1
469.69;0;1
471.44;0;1
472.74;0;1
474.52;0;1
478.44;0;1
479.64;0;1
481.44;0;1
482.69;0;2
483.94;0;1
488.19;0;1
491.28;0;1
492.58;0;2
493.94;0;1
498.08;0;1
501.54;0;1
502.63;0;1
504.01;0;1
505.39;0;1
506.64;0;1
508.01;0;1
509.05;0;1
511.05;0;1
512.8;0;1
513.89;0;1
515.1;0;1
516.77;0;1
517.77;0;1
518.86;0;1
521.28;0;1
522.31;0;1
523.71;0;1
526.11;0;1
531.71;0;1
532.93;0;1
534.04;0;1
536.17;0;1
537.48;0;1
538.59;0;1
540.86;0;1
541.99;0;1
543.1;0;2
544.73;0;1
545.73;0;1
547.19;0;1
548.35;0;1
549.7;0;1
551.65;0;1
553.06;0;1
554.2;0;1
556.48;0;1
558.57;0;1
561.86;0;1
562.95;0;1
564.07;0;1
565.12;0;1
567.11;0;1
568.45;0;1
571.58;0;1
573.13;0;1
574.2;0;1
575.28;0;1
576.44;0;1
581.66;0;1
583.17;0;1
584.6;0;1
588.67;0;1
591.81;0;1
592.9;0;1
594.18;0;1
596.65;0;1
598.4;0;1
601.84;0;1
603.24;0;1
604.31;0;1
605.4;0;1
608.74;0;1
612.06;0;1
613.29;0;2
616.17;0;1
622;0;1
623.51;0;1
626.84;0;1
632.51;0;1
