#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.98;1;18;0;0;0;0;0;0;0;0;0
1199.76;0.99;18;0;0;0;0;0;0;0;0;0
1799.98;0.99;18;0;0;0;0;0;0;0;0;0
2399.69;0.99;18;0;0;0;0;0;0;0;0;0
2999.69;0.99;18;0;0;0;0;0;0;0;0;0
3599.69;0.99;18;0;0;0;0;0;0;0;0;0
4199.69;0.99;18;0;0;0;0;0;0;0;0;0
4799.69;0.99;18;0;0;0;0;0;0;0;0;0
5399.69;0.99;18;0;0;0;0;0;0;0;0;0
5999.69;0.99;18;0;0;0;0;0;0;0;0;0
6599.69;0.99;18;0;0;0;0;0;0;0;0;0
7199.69;0.99;18;0;0;0;0;0;0;0;0;0
