#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.81;0;0;0;2;0/59.81;0/59.81,1/56.14;0/0;0/59.81,1/59.81;0/0;0/32,1/27;0/0;0/39,1/32;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/1
119.98;0;7;0;2;0/119.98;0/74.64,1/57.02;0/0;0/119.98,1/119.98;0/0;0/38,1/29;0/0;0/43,1/36;0/0;0/0,1/0;0/0;0/4,1/3;0/0;0/5,1/7
179.84;0;14;0;2;0/179.84;0/75.39,1/58.01;0/0;0/179.84,1/179.84;0/0;0/32,1/23;0/0;0/37,1/30;0/0;0/0,1/0;0/0;0/8,1/6;0/0;0/11,1/13
239.69;0;16;0;2;0/239.69;0/76.71,1/60.01;0/0;0/239.69,1/239.69;0/0;0/37,1/27;0/0;0/41,1/34;0/0;0/0,1/0;0/0;0/9,1/7;0/0;0/17,1/19
299.74;0;25;0;2;0/299.74;0/77.96,1/61.35;0/0;0/299.74,1/299.74;0/0;0/35,1/29;0/0;0/41,1/34;0/0;0/0,1/0;0/0;0/13,1/12;0/0;0/23,1/25
359.85;0;33;0;2;0/359.85;0/79.06,1/62.85;0/0;0/359.85,1/359.85;0/0;0/35,1/24;0/0;0/38,1/31;0/0;0/0,1/0;0/0;0/18,1/15;0/0;0/29,1/31
419.71;0;42;0;2;0/419.71;0/90.25,1/64.21;0/0;0/419.71,1/419.71;0/0;0/37,1/29;0/0;0/40,1/37;0/0;0/0,1/0;0/0;0/23,1/19;0/0;0/34,1/37
479.75;0;47;0;2;0/479.75;0/91.39,1/65.76;0/0;0/479.75,1/479.75;0/0;0/29,1/29;0/0;0/34,1/35;0/0;0/0,1/0;0/0;0/24,1/23;0/0;0/40,1/43
539.89;0;53;0;2;0/539.89;0/92.67,1/66.93;0/0;0/539.89,1/539.89;0/0;0/33,1/27;0/0;0/37,1/32;0/0;0/0,1/0;0/0;0/27,1/26;0/0;0/46,1/49
599.98;0;59;0;2;0/599.98;0/94.57,1/68.73;0/0;0/599.98,1/599.98;0/0;0/28,1/29;0/0;0/34,1/33;0/0;0/0,1/0;0/0;0/29,1/30;0/0;0/52,1/55
659.94;0;64;0;2;0/659.94;0/95.39,1/69.5;0/0;0/659.94,1/659.94;0/0;0/24,1/31;0/0;0/31,1/35;0/0;0/0,1/0;0/0;0/31,1/33;0/0;0/58,1/60
719.8;0;71;0;2;0/719.8;0/96.16,1/70.62;0/0;0/719.8,1/719.8;0/0;0/23,1/28;0/0;0/28,1/32;0/0;0/0,1/0;0/0;0/35,1/36;0/0;0/64,1/66
779.93;0;77;0;2;0/779.93;0/98.58,1/71.95;0/0;0/779.93,1/779.93;0/0;0/31,1/28;0/0;0/35,1/34;0/0;0/0,1/0;0/0;0/38,1/39;0/0;0/70,1/72
839.59;0;84;0;2;0/839.59;0/100.2,1/72.74;0/0;0/839.59,1/839.59;0/0;0/30,1/23;0/0;0/35,1/28;0/0;0/0,1/0;0/0;0/41,1/43;0/0;0/76,1/78
899.94;0;91;0;2;0/899.94;0/101.91,1/74.16;0/0;0/899.94,1/899.94;0/0;0/32,1/27;0/0;0/38,1/32;0/0;0/0,1/0;0/0;0/44,1/47;0/0;0/82,1/84
959.89;0;96;0;2;0/959.89;0/102.99,1/75.02;0/0;0/959.89,1/959.89;0/0;0/30,1/24;0/0;0/36,1/29;0/0;0/0,1/0;0/0;0/47,1/49;0/0;0/87,1/90
