#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
103.47;0;97.46;97.46;-Infinity;97.46;97.46
142.48;1;104.36;104.36;-Infinity;104.36;104.36
144.84;2;126.7;126.7;-Infinity;126.7;126.70
195.02;2;188.28;188.27;-Infinity;188.28;188.28
208.37;0;191.9;191.9;-Infinity;191.9;191.90
222.64;1;216.44;216.44;-Infinity;216.44;216.44
235.03;2;200.73;200.69;-Infinity;200.73;200.73
242.83;1;217.91;217.91;-Infinity;217.91;217.91
255.15;2;227.15;227.15;-Infinity;227.15;227.15
263;1;245.53;245.53;-Infinity;245.53;245.53
265.1;2;224.33;224.3;-Infinity;224.33;224.33
288.58;0;265.78;265.78;-Infinity;265.78;265.78
303.39;1;269.26;269.26;-Infinity;269.26;269.26
305.32;2;256.85;256.85;-Infinity;256.85;256.85
343.4;1;284.18;284.18;-Infinity;284.18;284.18
365.8;2;298.43;298.43;-Infinity;298.43;298.43
373.8;1;293.84;293.81;-Infinity;293.84;293.84
394.03;1;352.67;352.67;-Infinity;352.67;352.67
394.64;0;362.2;362.2;-Infinity;362.2;362.20
424.57;1;332.75;332.75;-Infinity;332.75;332.75
425;2;344.14;344.14;-Infinity;344.14;344.14
434.35;1;346.67;346.67;-Infinity;346.67;346.67
440.77;0;405.84;405.84;-Infinity;405.84;405.84
476.31;2;387.3;387.28;-Infinity;387.3;387.30
480.77;0;439.75;439.75;-Infinity;439.75;439.75
504.71;1;407.21;407.21;-Infinity;407.21;407.21
515.02;1;405.64;405.63;-Infinity;405.64;405.64
515.06;0;438;438;-Infinity;438;438.00
538.07;0;480.67;480.67;-Infinity;480.67;480.67
560.53;2;466.81;466.78;-Infinity;466.81;466.81
595.27;1;449.94;372.59;-Infinity;449.94;449.94
605.3;1;479.47;462.78;-Infinity;479.47;479.47
610.75;2;505.96;505.96;-Infinity;505.96;505.96
613.38;0;527.77;527.77;-Infinity;527.77;527.77
625.74;1;465.14;382.76;-Infinity;465.14;465.14
646.21;1;481.37;383.08;-Infinity;481.37;481.37
666.44;1;488.9;362.98;-Infinity;488.9;488.90
670.53;2;548.82;548.82;-Infinity;548.82;548.82
683.92;0;594.27;594.27;-Infinity;594.27;594.27
686.23;1;494.01;342.5;-Infinity;494.01;494.01
718.4;0;621.93;621.93;-Infinity;621.93;621.93
730.93;2;595.97;585.88;-Infinity;595.97;595.97
736.69;1;543.75;362.75;-Infinity;543.75;543.75
758.63;0;653.03;653.03;-Infinity;653.03;653.03
786.85;1;582.51;392.67;-Infinity;582.51;582.51
788.8;0;684.22;684.22;-Infinity;684.22;684.22
793.76;2;657.64;598.65;-Infinity;657.64;657.64
798.9;0;654.74;590.38;-Infinity;654.74;654.74
813.84;2;658.31;578.69;-Infinity;658.31;658.31
839.24;0;627.11;444.39;-Infinity;627.11;627.11
846.82;1;623.84;342.07;-Infinity;623.84;623.84
867.24;1;650.75;442.6;-Infinity;650.75;650.75
879.37;0;702.08;590.42;-Infinity;702.08;702.08
889.14;0;671.27;448.22;-Infinity;671.27;671.27
901.31;2;740.12;646.09;-Infinity;740.12;740.12
907;1;689.16;472.32;-Infinity;689.16;689.16
909.49;0;687.72;428.5;-Infinity;687.72;687.72
921.61;2;755.21;656.14;-Infinity;755.21;755.21
937.42;1;710.19;422.36;-Infinity;710.19;710.19
941.42;2;759.53;635.88;-Infinity;759.53;759.53
967.46;1;730.36;372.11;-Infinity;730.36;730.36
977.95;1;739.09;372.56;-Infinity;739.09;739.09
989.9;0;762;474.61;-Infinity;762;762.00
991.68;2;799.34;625.84;-Infinity;799.34;799.34
1008.08;1;748.36;382.27;-Infinity;748.36;748.36
1010.14;0;733.95;326.17;-Infinity;733.95;733.95
1032.16;2;814.9;607.11;-Infinity;814.9;814.90
1040.25;0;810.88;502.14;-Infinity;810.88;810.88
1058.31;1;796.06;412.05;-Infinity;796.06;796.06
1101.2;0;780.4;342.51;-Infinity;780.4;780.40
1108.47;1;844.18;441.98;-Infinity;844.18;844.18
1121.89;2;889.37;561.31;-Infinity;889.37;889.37
1131.43;0;876.3;517.81;-Infinity;876.3;876.30
1148.81;1;861.34;462.28;-Infinity;861.34;861.34
1151.43;0;819.63;352.19;-Infinity;819.63;819.63
1152.32;2;931.17;675.96;-Infinity;931.17;931.17
1159.27;1;842.88;422.52;-Infinity;842.88;842.88
1162.43;2;890.53;491.58;-Infinity;890.53;890.53
1172.48;2;928.91;561.44;-Infinity;928.91;928.91
1181.82;0;894.33;463.34;-Infinity;894.33;894.33
1212.01;0;888.33;423.17;-Infinity;888.33;888.33
1219.29;1;897.04;432.21;-Infinity;897.04;897.04
1222.05;0;859.97;342.63;-Infinity;859.97;859.97
1229.74;1;869.7;382.57;-Infinity;869.7;869.70
1243.59;0;895.24;404.3;-Infinity;895.24;895.24
1260;1;890.54;352.68;-Infinity;890.54;890.54
1273.16;2;956.99;542.18;-Infinity;956.99;956.99
1274.08;0;911.22;384.61;-Infinity;911.22;911.22
1290.35;1;929.13;423.07;-Infinity;929.13;929.13
1303.58;2;974.18;509.78;-Infinity;974.18;974.18
1310.46;1;934.47;373;-Infinity;934.47;934.47
1330.75;1;946.04;363.05;-Infinity;946.04;946.04
1333.77;2;986.35;519.83;-Infinity;986.35;986.35
1343.13;0;971.85;433.55;-Infinity;971.85;971.85
1353.21;0;963.24;363.08;-Infinity;963.24;963.24
1353.84;2;990.22;452.24;-Infinity;990.22;990.22
1360.63;1;975.31;382.61;-Infinity;975.31;975.31
1373.78;2;999.24;452.13;-Infinity;999.24;999.24
1384.06;2;1005.23;442.3;-Infinity;1005.23;1005.23
1414.09;2;1017.12;422.28;-Infinity;1017.12;1017.12
