#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
60;0;0;0;3;0/60;0/60,1/60,2/54.44;0/0;0/60,1/60,2/60;0/0;0/22,1/15,2/16;0/0;0/27,1/25,2/19;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/1
119.9;0;6;0;3;0/119.9;0/80.63,1/63.4,2/95.11;0/0;0/119.9,1/119.9,2/119.9;0/0;0/43,1/24,2/31;0/0;0/45,1/35,2/36;0/0;0/0,1/0,2/0;0/0;0/2,1/3,2/1;0/0;0/4,1/6,2/3
179.98;0;15;0;3;0/179.98;0/111.07,1/64.13,2/96.37;0/0;0/179.98,1/179.98,2/179.98;0/0;0/41,1/21,2/36;0/0;0/42,1/33,2/39;0/0;0/0,1/0,2/0;0/0;0/5,1/5,2/5;0/0;0/7,1/12,2/9
239.65;0;26;0;3;0/239.65;0/141.97,1/65.12,2/97.43;0/0;0/239.65,1/239.65,2/239.65;0/0;0/41,1/18,2/35;0/0;0/42,1/31,2/39;0/0;0/0,1/0,2/0;0/0;0/8,1/10,2/8;0/0;0/10,1/18,2/15
299.85;0;37;0;3;0/299.85;0/171.33,1/66.33,2/98.36;0/0;0/299.85,1/299.85,2/299.85;0/0;0/40,1/18,2/37;0/0;0/41,1/31,2/40;0/0;0/0,1/0,2/0;0/0;0/10,1/14,2/13;0/0;0/14,1/24,2/21
359.95;0;46;0;3;0/359.95;0/203.04,1/67.61,2/99.47;0/0;0/359.95,1/359.95,2/359.95;0/0;0/35,1/19,2/37;0/0;0/39,1/31,2/38;0/0;0/0,1/0,2/0;0/0;0/11,1/19,2/16;0/0;0/16,1/30,2/27
419.88;0;57;0;3;0/419.88;0/223.75,1/69.08,2/128.86;0/0;0/419.88,1/419.88,2/419.88;0/0;0/33,1/19,2/37;0/0;0/37,1/31,2/38;0/0;0/0,1/0,2/0;0/0;0/15,1/24,2/18;0/0;0/20,1/36,2/30
479.78;0;68;0;3;0/479.78;0/225.25,1/69.95,2/153.78;0/0;0/479.78,1/479.78,2/479.78;0/0;0/32,1/19,2/42;0/0;0/35,1/32,2/43;0/0;0/0,1/0,2/0;0/0;0/20,1/28,2/20;0/0;0/26,1/42,2/33
540;0;78;0;3;0/540;0/243.25,1/71.11,2/194.24;0/0;0/540,1/540,2/540;0/0;0/40,1/21,2/39;0/0;0/43,1/33,2/41;0/0;0/0,1/0,2/0;0/0;0/24,1/32,2/22;0/0;0/31,1/48,2/35
599.59;0;90;0;3;0/599.59;0/259.14,1/71.89,2/205.91;0/0;0/599.59,1/599.59,2/599.59;0/0;0/36,1/17,2/37;0/0;0/39,1/29,2/39;0/0;0/0,1/0,2/0;0/0;0/27,1/37,2/26;0/0;0/35,1/54,2/40
659.98;0;101;0;3;0/659.98;0/260.69,1/73.68,2/225.54;0/0;0/659.98,1/659.98,2/659.98;0/0;0/32,1/28,2/35;0/0;0/36,1/38,2/38;0/0;0/0,1/0,2/0;0/0;0/31,1/42,2/28;0/0;0/41,1/60,2/44
719.79;0;113;0;3;0/719.79;0/266.24,1/74.87,2/255.84;0/0;0/719.79,1/719.79,2/719.79;0/0;0/32,1/27,2/37;0/0;0/35,1/38,2/39;0/0;0/0,1/0,2/0;0/0;0/36,1/46,2/31;0/0;0/47,1/66,2/47
779.7;0;126;0;3;0/779.7;0/267.1,1/76.03,2/270.12;0/0;0/779.7,1/779.7,2/779.7;0/0;0/28,1/25,2/36;0/0;0/32,1/35,2/38;0/0;0/0,1/0,2/0;0/0;0/40,1/51,2/35;0/0;0/53,1/72,2/52
839.99;0;135;0;3;0/839.99;0/268.49,1/76.74,2/286.89;0/0;0/839.99,1/839.99,2/839.99;0/0;0/32,1/23,2/41;0/0;0/36,1/32,2/42;0/0;0/0,1/0,2/0;0/0;0/43,1/55,2/37;0/0;0/59,1/78,2/56
899.89;0;147;0;3;0/899.89;0/269.5,1/77.66,2/299.34;0/0;0/899.89,1/899.89,2/899.89;0/0;0/35,1/21,2/33;0/0;0/36,1/32,2/37;0/0;0/0,1/0,2/0;0/0;0/49,1/57,2/41;0/0;0/65,1/84,2/61
959.94;0;160;0;3;0/959.94;0/270.18,1/78.92,2/300.56;0/0;0/959.94,1/959.94,2/959.94;0/0;0/30,1/25,2/37;0/0;0/34,1/33,2/41;0/0;0/0,1/0,2/0;0/0;0/52,1/62,2/46;0/0;0/70,1/90,2/67
1019.93;0;169;0;3;0/1019.93;0/270.82,1/80.69,2/301.84;0/0;0/1019.93,1/1019.93,2/1019.93;0/0;0/27,1/26,2/33;0/0;0/31,1/33,2/39;0/0;0/0,1/0,2/0;0/0;0/55,1/66,2/48;0/0;0/76,1/96,2/73
1079.98;0;182;0;3;0/1079.98;0/272,1/81.49,2/302.61;0/0;0/1079.98,1/1079.98,2/1079.98;0/0;0/23,1/19,2/26;0/0;0/25,1/27,2/33;0/0;0/0,1/0,2/0;0/0;0/60,1/71,2/51;0/0;0/82,1/102,2/79
1139.96;0;193;0;3;0/1139.96;0/273.15,1/82.41,2/303.55;0/0;0/1139.96,1/1139.96,2/1139.96;0/0;0/17,1/15,2/18;0/0;0/19,1/21,2/27;0/0;0/0,1/0,2/0;0/0;0/64,1/75,2/54;0/0;0/88,1/108,2/85
1199.89;0;202;0;3;0/1199.89;0/274.8,1/83.35,2/305.02;0/0;0/1199.89,1/1199.89,2/1199.89;0/0;0/11,1/7,2/14;0/0;0/13,1/15,2/21;0/0;0/0,1/0,2/0;0/0;0/66,1/78,2/58;0/0;0/94,1/114,2/91
1259.85;0;211;0;3;0/1259.85;0/277.53,1/84.65,2/305.75;0/0;0/1259.85,1/1259.85,2/1259.85;0/0;0/6,1/3,2/5;0/0;0/7,1/10,2/15;0/0;0/0,1/0,2/0;0/0;0/69,1/82,2/60;0/0;0/100,1/119,2/97
1319.95;0;225;0;3;0/1319.95;0/296.98,1/86.01,2/306.65;0/0;0/1319.95,1/1319.95,2/1319.95;0/0;0/0,1/0,2/0;0/0;0/3,1/4,2/9;0/0;0/0,1/0,2/0;0/0;0/73,1/88,2/64;0/0;0/104,1/125,2/103
1379.97;0;237;0;3;0/1379.97;0/323.92,1/105.92,2/307.53;0/0;0/1379.97,1/1379.97,2/1379.97;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/3;0/0;0/0,1/0,2/0;0/0;0/76,1/91,2/70;0/0;0/107,1/129,2/109
1439.7;0;240;0;3;0/1439.7;0/383.65,1/165.65,2/333.45;0/0;0/1439.7,1/1439.7,2/1439.7;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/76,1/91,2/73;0/0;0/107,1/129,2/112
1499.95;0;240;0;3;0/1499.95;0/443.9,1/225.9,2/393.7;0/0;0/1499.95,1/1499.95,2/1499.95;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/76,1/91,2/73;0/0;0/107,1/129,2/112
1559.97;0;240;0;3;0/1559.97;0/503.92,1/285.92,2/453.72;0/0;0/1559.97,1/1559.97,2/1559.97;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/76,1/91,2/73;0/0;0/107,1/129,2/112
1619.97;0;240;0;3;0/1619.97;0/563.92,1/345.92,2/513.72;0/0;0/1619.97,1/1619.97,2/1619.97;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/76,1/91,2/73;0/0;0/107,1/129,2/112
1679.83;0;240;0;3;0/1679.83;0/623.78,1/405.78,2/573.58;0/0;0/1679.83,1/1679.83,2/1679.83;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/76,1/91,2/73;0/0;0/107,1/129,2/112
