#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;55.50;3.50;False;False;True;False;28;55.50;9.50;False;False;True;False;39;61.948791123638;793.224768144961;20.3346320272701;121.275329107398
12;55.50;3.50;False;False;True;False;44;55.50;15.50;False;False;True;False;38;70.5664871696302;834.359381827717;31.2985209161593;150.552538485494
12;55.50;3.50;False;False;True;False;203;26.50;1.50;True;False;False;False;1;36.6772222222223;0;36.6772222222223;36.6772222222223
12;55.50;3.50;False;False;True;False;247;36.50;2.50;True;False;False;False;1;20.3039826803022;0;20.3039826803022;20.3039826803022
12;55.50;3.50;False;False;True;False;295;16.50;4.50;True;False;False;False;1;36.1918326707221;0;36.1918326707221;36.1918326707221
12;55.50;3.50;False;False;True;False;734;13.50;17.50;True;False;False;False;1;66.5495962305878;0;66.5495962305878;66.5495962305878
12;55.50;3.50;False;False;True;False;954;29.50;23.50;True;False;False;False;1;49.4467388793094;0;49.4467388793094;49.4467388793094
12;55.50;3.50;False;False;True;False;1025;32.50;25.50;True;False;False;False;1;49.0121123416029;0;49.0121123416029;49.0121123416029
12;55.50;3.50;False;False;True;False;1043;16.50;26.50;True;False;False;False;1;67.4728499904206;0;67.4728499904206;67.4728499904206
28;55.50;9.50;False;False;True;False;12;55.50;3.50;False;False;True;False;38;83.1678108165254;601.798095786195;42.6854689570648;126.644632027271
28;55.50;9.50;False;False;True;False;44;55.50;15.50;False;False;True;False;37;66.315205548998;691.466111773518;20.0458740806663;143.879702712986
28;55.50;9.50;False;False;True;False;199;22.50;1.50;True;False;False;False;1;43.631645087896;0;43.631645087896;43.631645087896
28;55.50;9.50;False;False;True;False;255;44.50;2.50;True;False;False;False;1;22.9133333333339;0;22.9133333333339;22.9133333333339
28;55.50;9.50;False;False;True;False;342;29.50;5.50;True;False;False;False;1;31.2735209161594;0;31.2735209161594;31.2735209161594
28;55.50;9.50;False;False;True;False;347;34.50;5.50;True;False;False;False;1;37.0233333333333;0;37.0233333333333;37.0233333333333
28;55.50;9.50;False;False;True;False;398;17.50;7.50;True;False;False;False;1;32.5100937914131;0;32.5100937914131;32.5100937914131
28;55.50;9.50;False;False;True;False;449;34.50;8.50;True;False;False;False;1;20.3224098050481;0;20.3224098050481;20.3224098050481
28;55.50;9.50;False;False;True;False;456;41.50;8.50;True;False;False;False;1;15.7256493469688;0;15.7256493469688;15.7256493469688
28;55.50;9.50;False;False;True;False;526;43.50;10.50;True;False;False;False;1;13.2938888888891;0;13.2938888888891;13.2938888888891
28;55.50;9.50;False;False;True;False;908;17.50;22.50;True;False;False;False;1;44.4695382358577;0;44.4695382358577;44.4695382358577
28;55.50;9.50;False;False;True;False;930;39.50;22.50;True;False;False;False;1;29.0250937914128;0;29.0250937914128;29.0250937914128
28;55.50;9.50;False;False;True;False;967;42.50;23.50;True;False;False;False;1;30.0594228656739;0;30.0594228656739;30.0594228656739
44;55.50;15.50;False;False;True;False;12;55.50;3.50;False;False;True;False;37;94.3937363980621;1233.07954842843;30.285093791413;160.984725818684
44;55.50;15.50;False;False;True;False;28;55.50;9.50;False;False;True;False;34;61.6258352822522;860.683080252567;20.7849999999999;141.722597387875
44;55.50;15.50;False;False;True;False;195;18.50;1.50;True;False;False;False;1;60.4593345638253;0;60.4593345638253;60.4593345638253
44;55.50;15.50;False;False;True;False;204;27.50;1.50;True;False;False;False;1;60.2116882454377;0;60.2116882454377;60.2116882454377
44;55.50;15.50;False;False;True;False;224;13.50;2.50;True;False;False;False;1;49.1890271968365;0;49.1890271968365;49.1890271968365
44;55.50;15.50;False;False;True;False;225;14.50;2.50;True;False;False;False;1;64.3775035964618;0;64.3775035964618;64.3775035964618
44;55.50;15.50;False;False;True;False;302;23.50;4.50;True;False;False;False;1;48.8316666666669;0;48.8316666666669;48.8316666666669
44;55.50;15.50;False;False;True;False;393;12.50;7.50;True;False;False;False;1;46.2262494190585;0;46.2262494190585;46.2262494190585
44;55.50;15.50;False;False;True;False;403;22.50;7.50;True;False;False;False;1;37.8883333333338;0;37.8883333333338;37.8883333333338
44;55.50;15.50;False;False;True;False;663;44.50;14.50;True;False;False;False;1;17.0194444444444;0;17.0194444444444;17.0194444444444
44;55.50;15.50;False;False;True;False;716;29.50;16.50;True;False;False;False;1;23.1222006434512;0;23.1222006434512;23.1222006434512
44;55.50;15.50;False;False;True;False;735;14.50;17.50;True;False;False;False;1;36.6894444444444;0;36.6894444444444;36.6894444444444
44;55.50;15.50;False;False;True;False;802;13.50;19.50;True;False;False;False;1;56.4184271247464;0;56.4184271247464;56.4184271247464
44;55.50;15.50;False;False;True;False;839;16.50;20.50;True;False;False;False;1;43.0400722126421;0;43.0400722126421;43.0400722126421
44;55.50;15.50;False;False;True;False;1068;41.50;26.50;True;False;False;False;1;30.6234271247465;0;30.6234271247465;30.6234271247465
195;18.50;1.50;True;False;False;False;12;55.50;3.50;False;False;True;False;1;55.4266666666668;0;55.4266666666668;55.4266666666668
195;18.50;1.50;True;False;False;False;347;34.50;5.50;True;False;False;False;1;20.9700937914128;0;20.9700937914128;20.9700937914128
199;22.50;1.50;True;False;False;False;28;55.50;9.50;False;False;True;False;1;112.13888888889;0;112.13888888889;112.13888888889
199;22.50;1.50;True;False;False;False;229;18.50;2.50;True;False;False;False;1;6.82215000958035;0;6.82215000958035;6.82215000958035
