#TimeStamp;TripTime;Type
51;13;O
53;28;O
54;33;O
65;34;O
66;33;O
77;15;O
80;26;O
81;29;O
82;48;O
86;43;O
86;42;O
88;49;O
89;39;O
94;59;O
94;25;O
100;25;O
101;41;O
105;58;O
107;21;O
113;25;O
113;60;O
115;24;O
119;22;O
120;61;O
124;43;O
124;26;O
128;22;O
128;27;O
133;26;O
135;24;O
137;16;O
143;27;O
158;17;O
158;40;O
168;21;O
176;28;O
181;25;O
185;24;O
194;16;O
199;23;O
202;21;O
206;18;O
208;17;O
212;54;O
219;22;O
232;26;O
235;19;O
240;32;O
242;15;O
242;30;O
244;46;O
249;17;O
258;20;O
262;15;O
271;19;O
282;23;O
282;21;O
302;30;O
307;18;O
315;23;O
321;24;O
322;34;O
322;23;O
327;48;O
333;24;O
335;26;O
336;17;O
336;54;O
340;22;O
345;53;O
346;17;O
352;24;O
353;21;O
355;43;O
357;20;O
361;22;O
367;15;O
375;17;O
387;20;O
396;24;O
397;21;O
398;15;O
407;32;O
408;21;O
420;13;O
423;16;O
428;15;O
432;16;O
446;14;O
453;21;O
458;20;O
459;17;O
464;17;O
472;15;O
483;42;O
490;22;O
491;19;O
492;14;O
501;24;O
508;20;O
512;49;O
514;31;O
525;23;O
526;18;O
530;22;O
536;43;O
550;21;O
551;28;O
564;46;O
570;17;O
574;25;O
574;41;O
579;36;O
583;24;O
589;26;O
594;21;O
595;47;O
597;19;O
600;72;O
605;17;O
606;18;O
615;17;O
617;18;O
626;17;O
643;14;O
649;15;O
652;14;O
654;24;O
664;20;O
669;20;O
673;19;O
674;15;O
678;19;O
685;21;O
692;17;O
694;30;O
703;14;O
714;19;O
716;16;O
718;39;O
734;15;O
757;32;O
762;23;O
763;34;O
764;21;O
765;26;O
768;39;O
772;38;O
776;26;O
780;65;O
783;24;O
787;42;O
791;18;O
793;33;O
802;37;O
802;20;O
807;37;O
811;26;O
813;20;O
821;18;O
822;17;O
823;44;O
828;34;O
831;18;O
831;16;O
837;27;O
837;14;O
841;66;O
847;14;O
852;81;O
856;56;O
859;69;O
861;18;O
867;31;O
868;15;O
872;17;O
877;23;O
881;18;O
882;39;O
888;43;O
893;20;O
895;18;O
900;17;O
915;20;O
917;15;O
922;20;O
932;19;O
938;22;O
941;15;O
943;21;O
954;31;O
959;26;O
959;16;O
964;21;O
969;23;O
974;18;O
975;22;O
981;19;O
984;17;O
986;20;O
992;59;O
997;21;O
998;20;O
1006;34;O
1010;24;O
1010;17;O
1018;19;O
1021;38;O
1029;26;O
1029;23;O
1034;21;O
1039;23;O
1043;16;O
1044;21;O
1047;14;O
1053;17;O
1063;31;O
1063;17;O
1071;18;O
1081;22;O
1082;16;O
1090;21;O
1095;16;O
1096;20;O
1103;14;O
1103;17;O
1110;16;O
1114;15;O
1120;23;O
1125;42;O
1128;25;O
1128;21;O
1133;14;O
1143;19;O
1148;14;O
1152;23;O
1159;15;O
1159;32;O
1160;20;O
1165;18;O
1166;16;O
1170;33;O
1176;16;O
1183;13;O
1184;17;O
1195;27;O
1195;15;O
1201;58;O
1217;17;O
1218;40;O
1219;19;O
1222;50;O
1229;31;O
1238;30;O
