#TimeStamp;Bot;Pod;OutputStation
51.35;8;181;1
55.94;16;164;2
66.26;10;72;1
70.97;7;26;2
75.01;0;210;0
77.27;17;218;1
85.13;0;210;0
87.17;1;47;1
95.13;8;181;0
97.46;1;47;1
102.26;12;17;2
105.18;6;160;0
107.35;1;47;1
115.19;14;66;0
117.48;1;47;1
118.49;15;91;2
125.17;5;192;0
127.49;1;47;1
135.14;5;192;0
137.14;16;164;1
142.16;14;66;2
144.97;2;230;0
147.42;16;164;1
152.26;14;66;2
155.23;13;137;0
157.37;9;63;1
162.3;8;181;2
165.34;10;72;0
167.47;0;210;1
175.31;7;26;0
176.45;5;192;2
177.29;12;17;1
185.35;4;209;0
187.53;12;17;1
195.38;11;44;0
197.47;12;17;1
205.42;3;84;0
207.6;6;160;1
215.46;15;91;0
217.26;10;72;1
222.43;12;17;2
225.48;1;47;0
227.28;10;72;1
232.45;11;44;2
235.49;17;218;0
237.58;2;230;1
242.09;11;44;2
245.5;17;218;0
247.64;4;209;1
252.26;11;44;2
255.52;16;164;0
258.03;13;137;1
262.25;11;44;2
265.58;9;63;0
268.12;7;26;1
272.21;11;44;2
275.74;14;66;0
278.17;3;84;1
282.31;10;72;2
285.76;14;66;0
288.28;1;47;1
292.5;2;230;2
295.6;14;66;0
298.23;17;218;1
302.56;2;230;2
305.75;8;181;0
308.32;9;63;1
312.5;2;230;2
315.8;0;210;0
318.35;9;63;1
322.7;13;137;2
326.11;5;192;0
328.39;15;183;1
332.56;16;164;2
335.79;5;192;0
342.71;0;210;1
342.76;16;164;2
346.16;5;192;0
352.71;13;137;1
352.99;16;164;2
356.16;6;160;0
362.85;3;84;2
366.21;6;160;0
372.92;14;66;2
376.3;12;17;0
382.97;14;66;2
386.16;12;17;0
389.39;6;160;1
392.73;14;66;2
396.3;4;209;0
403.11;1;47;2
406.35;7;26;0
411.27;12;17;1
413.16;17;218;2
416.37;11;44;0
423.23;8;181;2
426.32;10;72;0
426.69;1;47;1
433.3;5;192;2
436.43;2;230;0
436.74;1;47;1
443.17;5;192;2
446.68;2;230;0
446.74;11;44;1
453.3;13;137;2
456.5;9;63;0
456.83;11;44;1
463.35;6;160;2
466.74;9;63;0
470.78;2;230;1
473.54;4;209;2
476.63;15;183;0
483.55;7;26;2
486.63;0;210;0
493.59;7;26;2
496.68;0;210;0
500.22;15;183;1
503.47;7;26;2
506.68;16;164;0
513.58;7;26;2
515.06;6;160;1
516.68;3;84;0
523.46;10;72;2
525.09;0;210;1
526.82;14;66;0
533.66;10;72;2
535.12;0;210;1
536.87;12;17;0
543.49;10;72;2
544.96;3;84;1
547;12;17;0
553.66;11;44;2
555.06;3;84;1
556.75;17;218;0
563.73;2;230;2
565.02;3;84;1
567.02;8;181;0
574.15;15;183;2
577.07;1;47;0
579.2;17;218;1
584.17;16;164;2
587.1;5;192;0
589.46;11;44;1
594.07;14;66;2
597.17;13;137;0
599.42;10;72;1
603.91;12;17;2
607.19;4;209;0
612.58;2;230;1
614.5;8;181;2
617.24;6;160;0
623.17;5;192;1
624.4;8;181;2
626.96;7;26;0
633.33;5;192;1
634.35;8;181;2
637.38;0;210;0
643.33;4;209;1
644.49;8;181;2
647.14;0;210;0
653.12;4;209;1
654.39;11;44;2
657.15;0;210;0
663.26;13;137;1
664.53;11;44;2
667.39;9;87;0
673.26;16;206;1
674.42;17;218;2
677.19;3;84;0
684.57;17;218;2
687.45;15;183;0
691.17;9;87;1
694.96;1;47;2
697.16;15;183;0
701.08;9;87;1
704.84;2;230;2
707.47;12;17;0
711.47;11;44;1
715;10;72;2
717.51;12;17;0
721.51;11;44;1
724.69;6;160;2
727.93;5;192;0
731.52;1;47;1
735.05;7;26;2
737.86;5;192;0
741.61;15;183;1
745.14;7;26;2
747.66;5;192;0
751.53;15;183;1
755.15;0;210;2
757.73;8;181;0
761.29;15;183;1
765.47;0;210;2
767.69;4;209;0
771.57;15;183;1
775.43;0;210;2
777.94;13;137;0
781.63;2;230;1
785.33;16;206;2
787.96;14;125;0
791.67;12;17;1
795.54;3;84;2
798.01;17;218;0
805.58;9;87;2
805.79;13;137;1
808.23;10;72;0
815.63;9;87;2
815.73;16;206;1
818.13;6;160;0
825.62;11;44;2
828.29;6;160;0
835.49;5;192;2
838.25;1;47;0
840.03;3;84;1
845.7;8;181;2
848.34;7;26;0
854.37;11;44;1
855.83;15;183;2
858.33;0;210;0
864.49;11;44;1
865.96;4;209;2
868.43;0;210;0
874.61;7;26;1
876.05;17;218;2
878.32;2;230;0
884.27;8;181;1
886.04;14;125;2
888.32;12;17;0
894.64;5;192;1
896.11;14;125;2
898.28;13;137;0
904.68;15;183;1
905.91;10;72;2
908.49;9;87;0
915.06;15;183;1
916.16;16;206;2
918.65;3;84;0
924.95;2;230;1
926.57;16;206;2
928.65;4;209;0
934.9;0;210;1
