#TimeStamp;Runtime;Requests
0.88;0.03;18
2.93;0;1
4.13;0;3
5.43;0;4
6.75;0;4
8.01;0;3
9.1;0.01;5
10.18;0;2
11.21;0;2
12.22;0;3
13.26;0;2
14.51;0;4
15.51;0;3
16.52;0;6
17.56;0;5
18.61;0;6
19.97;0;1
21.23;0;6
22.23;0;5
23.23;0;3
24.23;0;5
25.23;0;4
26.23;0;4
27.45;0;5
28.69;0;3
29.92;0;5
30.92;0;5
31.92;0;5
32.92;0;4
33.96;0;2
35;0;5
36;0;5
37.04;0;3
38.04;0;4
39.04;0;6
40.04;0;6
41.13;0;5
42.18;0;3
43.18;0;7
44.22;0;3
45.45;0;5
46.68;0;2
47.68;0;4
48.84;0;1
49.99;0;2
51.05;0;2
52.08;0;4
53.39;0;3
54.51;0;2
55.85;0;3
56.88;0;4
57.94;0;1
59.01;0;3
60.05;0;5
61.05;0;1
62.05;0;6
63.09;0;4
64.23;0;2
65.51;0;4
66.51;0;5
67.51;0;2
68.51;0;4
69.51;0;4
70.51;0;2
71.55;0;2
72.55;0;3
73.55;0;4
74.55;0;5
75.59;0;5
76.6;0;3
77.64;0;2
78.76;0;3
79.96;0;5
80.96;0;7
81.97;0;2
83.04;0;3
84.11;0;3
85.13;0;3
86.15;0;4
87.17;0;2
88.2;0;3
89.21;0;4
90.24;0;3
91.26;0;4
92.29;0;4
93.3;0;3
94.33;0;3
95.35;0;2
96.47;0;2
97.5;0;2
98.54;0;2
99.55;0;3
100.59;0;4
101.59;0;4
102.59;0;1
103.6;0;4
104.64;0;1
105.65;0;2
106.68;0;2
107.69;0;2
108.72;0;3
109.74;0;2
110.77;0;4
111.77;0;3
113.2;0;1
114.27;0;3
115.27;0;1
116.31;0;1
117.36;0;3
118.4;0;2
119.4;0;1
120.44;0;2
121.45;0;1
122.45;0;3
123.63;0;3
126.3;0;1
128.07;0;1
129.41;0;2
130.83;0;1
132.22;0;1
134.47;0;1
136.24;0;1
137.53;0;1
139.04;0;1
140.8;0;1
142.12;0;2
143.88;0;1
145.43;0;1
146.75;0;1
148.37;0;1
150.92;0;1
152.1;0;1
