#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;37.75;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.96;39.73;0.39;PP/0.07,TA/0.07,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.87;40.31;0.5;PP/0.11,TA/0.07,IS/0,PS/0,RB/0,OB/0.01,RP/0
179.94;40.68;0.56;PP/0.12,TA/0.07,IS/0.01,PS/0,RB/0,OB/0.02,RP/0
239.96;41.01;0.63;PP/0.13,TA/0.07,IS/0.01,PS/0,RB/0,OB/0.02,RP/0
299.97;40.13;0.71;PP/0.14,TA/0.08,IS/0.01,PS/0,RB/0,OB/0.02,RP/0
359.84;40.13;0.77;PP/0.14,TA/0.08,IS/0.02,PS/0,RB/0,OB/0.02,RP/0
419.92;40.3;0.83;PP/0.15,TA/0.08,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
479.87;40.52;0.89;PP/0.16,TA/0.09,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
539.82;40.94;0.97;PP/0.18,TA/0.1,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
599.73;40.41;1.04;PP/0.18,TA/0.1,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
659.77;40.7;1.14;PP/0.19,TA/0.12,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
719.88;40.87;1.21;PP/0.21,TA/0.12,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
779.99;40.5;1.26;PP/0.21,TA/0.12,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
839.99;40.5;1.34;PP/0.24,TA/0.12,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
899.98;40.7;1.41;PP/0.25,TA/0.13,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
959.88;41.09;1.5;PP/0.27,TA/0.13,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1019.98;40.63;1.59;PP/0.29,TA/0.15,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1079.96;40.81;1.66;PP/0.3,TA/0.15,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1139.96;41.16;1.71;PP/0.31,TA/0.15,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1199.96;41.37;1.78;PP/0.32,TA/0.16,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
1259.98;40.99;1.87;PP/0.34,TA/0.16,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1319.73;41.18;1.98;PP/0.38,TA/0.18,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1379.99;41.48;2.11;PP/0.39,TA/0.27,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1439.86;41.31;2.26;PP/0.39,TA/0.41,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1499.67;41.44;2.42;PP/0.39,TA/0.56,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1559.89;41.55;2.58;PP/0.39,TA/0.7,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1619.7;41.68;2.73;PP/0.39,TA/0.84,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1679.97;41.79;2.87;PP/0.39,TA/0.97,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1739.68;41.9;3.02;PP/0.39,TA/1.1,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1799.91;41.39;3.18;PP/0.39,TA/1.24,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1859.72;41.54;3.33;PP/0.39,TA/1.38,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1919.94;41.66;3.48;PP/0.39,TA/1.51,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1979.99;41.47;3.61;PP/0.39,TA/1.64,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2039.93;41.59;3.76;PP/0.39,TA/1.79,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2099.73;41.7;3.91;PP/0.39,TA/1.92,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2159.96;41.82;4.07;PP/0.39,TA/2.06,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2219.97;41.93;4.22;PP/0.39,TA/2.2,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2279.95;42.08;4.36;PP/0.39,TA/2.33,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2339.75;41.54;4.51;PP/0.39,TA/2.47,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2399.98;41.66;4.66;PP/0.39,TA/2.6,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2459.79;41.57;4.81;PP/0.39,TA/2.73,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2519.99;41.71;4.95;PP/0.39,TA/2.87,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2579.77;41.54;5.1;PP/0.39,TA/3,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2640;41.68;5.26;PP/0.39,TA/3.15,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2699.8;41.51;5.42;PP/0.39,TA/3.3,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2759.61;41.54;5.56;PP/0.39,TA/3.44,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2819.97;41.66;5.7;PP/0.39,TA/3.57,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2879.59;41.78;5.85;PP/0.39,TA/3.7,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2939.82;41.62;6.04;PP/0.39,TA/3.87,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
2999.63;41.73;6.19;PP/0.39,TA/4.01,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3059.85;41.66;6.35;PP/0.39,TA/4.16,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3119.99;41.78;6.49;PP/0.39,TA/4.29,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3179.84;41.6;6.63;PP/0.39,TA/4.41,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3239.65;41.71;6.78;PP/0.39,TA/4.55,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3299.87;41.83;6.93;PP/0.39,TA/4.69,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3359.97;41.59;7.08;PP/0.39,TA/4.83,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3419.97;41.71;7.22;PP/0.39,TA/4.96,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3479.66;41.84;7.38;PP/0.39,TA/5.1,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3539.89;41.68;7.52;PP/0.39,TA/5.23,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3599.7;41.8;7.67;PP/0.39,TA/5.37,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3659.99;41.71;7.82;PP/0.39,TA/5.51,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3719.68;41.82;7.97;PP/0.39,TA/5.65,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3779.91;41.67;8.12;PP/0.39,TA/5.79,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3839.71;41.79;8.27;PP/0.39,TA/5.93,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3899.94;41.91;8.42;PP/0.39,TA/6.07,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
3959.97;41.75;8.56;PP/0.39,TA/6.2,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4019.93;41.75;8.7;PP/0.39,TA/6.33,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4079.73;41.89;8.85;PP/0.39,TA/6.48,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4139.96;41.71;9;PP/0.39,TA/6.61,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4199.77;41.84;9.15;PP/0.39,TA/6.75,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4259.99;41.78;9.3;PP/0.39,TA/6.89,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4319.75;41.9;9.44;PP/0.39,TA/7.02,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4379.98;41.74;9.59;PP/0.39,TA/7.16,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4439.78;41.87;9.74;PP/0.39,TA/7.29,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4499.97;41.98;9.89;PP/0.39,TA/7.43,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4559.97;41.89;10.02;PP/0.39,TA/7.56,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4619.99;41.93;10.17;PP/0.39,TA/7.7,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4679.8;42.05;10.33;PP/0.39,TA/7.84,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4739.61;42.18;10.48;PP/0.39,TA/7.98,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4799.99;42.3;10.62;PP/0.39,TA/8.12,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4859.59;41.96;10.77;PP/0.39,TA/8.25,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4919.82;42.08;10.92;PP/0.39,TA/8.39,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
4979.63;41.91;11.09;PP/0.39,TA/8.55,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5039.85;42.04;11.25;PP/0.39,TA/8.71,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5099.97;42.16;11.4;PP/0.39,TA/8.84,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5159.84;41.91;11.54;PP/0.39,TA/8.98,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5219.64;42.03;11.69;PP/0.39,TA/9.11,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5279.87;42.15;11.84;PP/0.39,TA/9.26,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5339.68;41.98;11.99;PP/0.39,TA/9.4,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5399.99;42.1;12.14;PP/0.39,TA/9.53,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5459.66;42.03;12.29;PP/0.39,TA/9.67,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5519.89;42.15;12.44;PP/0.39,TA/9.81,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5579.69;41.98;12.6;PP/0.39,TA/9.96,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5639.92;42.09;12.76;PP/0.39,TA/10.11,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5699.97;42.2;12.91;PP/0.39,TA/10.24,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5759.91;41.98;13.06;PP/0.39,TA/10.38,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5819.71;42.1;13.21;PP/0.39,TA/10.52,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5879.94;42.21;13.38;PP/0.39,TA/10.67,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5939.99;42.08;13.53;PP/0.39,TA/10.81,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
5999.99;42.19;13.67;PP/0.39,TA/10.94,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
6059.73;42.11;13.82;PP/0.39,TA/11.08,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
6119.96;42.22;13.97;PP/0.39,TA/11.22,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
6179.76;42.06;14.12;PP/0.39,TA/11.36,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
6239.97;42.17;14.26;PP/0.39,TA/11.49,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
