#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.84;1;18;0;0;0;0;0;0;0;0;0
1199.82;0.99;18;0;0;0;0;0;0;0;0;0
1799.6;0.99;18;0;0;0;0;0;0;0;0;0
2399.87;0.99;18;0;0;0;0;0;0;0;0;0
2999.68;0.99;18;0;0;0;0;0;0;0;0;0
3599.96;0.99;18;0;0;0;0;0;0;0;0;0
4199.98;0.99;18;0;0;0;0;0;0;0;0;0
4799.99;0.99;18;0;0;0;0;0;0;0;0;0
5399.97;0.99;18;0;0;0;0;0;0;0;0;0
5999.98;0.99;18;0;0;0;0;0;0;0;0;0
6599.97;0.99;18;0;0;0;0;0;0;0;0;0
7199.73;0.99;18;0;0;0;0;0;0;0;0;0
