#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
115.21;0;108.47;108.47;-Infinity;108.47;108.47
145.62;0;139.61;139.61;-Infinity;139.61;139.61
181.93;1;165.46;165.46;-Infinity;165.46;165.46
195.51;0;178.04;178.04;-Infinity;178.04;178.04
222.19;1;204.05;204.04;-Infinity;204.05;204.05
265.98;0;243.18;243.18;-Infinity;243.18;243.18
272.19;1;265.99;265.99;-Infinity;265.99;265.99
292.55;1;267.62;267.61;-Infinity;267.62;267.62
332.7;1;300.25;300.25;-Infinity;300.25;300.25
352.24;0;324.24;324.24;-Infinity;324.24;324.24
356.25;1;321.96;321.96;-Infinity;321.96;321.96
375.38;1;337.26;337.26;-Infinity;337.26;337.26
415.52;1;367.05;367.05;-Infinity;367.05;367.05
445.82;1;404.81;404.81;-Infinity;404.81;404.81
462.76;0;405.37;405.37;-Infinity;405.37;405.37
506.27;1;425.41;425.41;-Infinity;425.41;425.41
508.89;0;428.93;428.93;-Infinity;428.93;428.93
516.29;1;457.07;457.07;-Infinity;457.07;457.07
546.53;1;469.47;469.47;-Infinity;469.47;469.47
566.74;1;474.92;344.48;-Infinity;474.92;474.92
586.89;1;497.88;404.68;-Infinity;497.88;497.88
600.8;0;515.19;485.54;-Infinity;515.19;515.19
655.46;1;558.99;383.16;-Infinity;558.99;558.99
675.83;1;578.34;383.09;-Infinity;578.34;578.34
701.51;0;666.59;666.58;-Infinity;666.59;666.59
731.92;0;697.79;697.79;-Infinity;697.79;697.79
741.94;0;700.58;700.58;-Infinity;700.58;700.58
752.27;0;684.9;684.9;-Infinity;684.9;684.90
756.56;1;651.98;423.64;-Infinity;651.98;651.98
772.63;0;731.86;731.86;-Infinity;731.86;731.86
787.01;1;677.63;411.28;-Infinity;677.63;677.63
792.93;0;703.29;597.12;-Infinity;703.29;703.29
797.35;1;691.76;441.05;-Infinity;691.76;691.76
803.32;0;715.65;657.65;-Infinity;715.65;715.65
836.67;0;742.95;570.41;-Infinity;742.95;742.95
846.51;0;741.72;493.86;-Infinity;741.72;741.72
847.8;1;726.08;432.01;-Infinity;726.08;726.08
856.72;0;721.77;393.9;-Infinity;721.77;721.77
877.23;0;733.07;368.1;-Infinity;733.07;733.07
891.96;1;766.12;446.09;-Infinity;766.12;766.12
941.03;1;804.91;434.72;-Infinity;804.91;804.91
957.65;0;780.1;256.1;-Infinity;780.1;780.10
967.81;0;802.97;366.89;-Infinity;802.97;802.97
1008.28;0;816.07;266.07;-Infinity;816.07;816.07
1028.68;0;824.35;255.98;-Infinity;824.35;824.35
1050.45;1;905.11;534.09;-Infinity;905.11;905.11
1080.5;1;924.97;533.69;-Infinity;924.97;924.97
1090.84;1;930.24;523.98;-Infinity;930.24;930.24
1097.58;0;905.24;344.94;-Infinity;905.24;905.24
1101.18;1;939.99;514.25;-Infinity;939.99;939.99
1107.85;0;925.95;375.82;-Infinity;925.95;925.95
1141.48;1;975.08;485.7;-Infinity;975.08;975.08
1191.09;1;1013.8;514.9;-Infinity;1013.8;1013.80
1238.32;0;1021.84;445.34;-Infinity;1021.84;1021.84
1278.66;0;1060.8;441.82;-Infinity;1060.8;1060.80
1299.29;0;1078.14;452.41;-Infinity;1078.14;1078.14
1303.27;1;1091.14;516.22;-Infinity;1091.14;1091.14
1327.21;0;1109.38;523.8;-Infinity;1109.38;1109.38
1357.18;0;1129.95;479.73;-Infinity;1129.95;1129.95
1363.54;1;1170.61;606.94;-Infinity;1170.61;1170.61
1378.01;0;1155.03;520.98;-Infinity;1155.03;1155.03
1384.13;1;1166.87;586.73;-Infinity;1166.87;1166.87
1390.68;0;1158.16;432.98;-Infinity;1158.16;1158.16
1444.52;1;1222.75;596.67;-Infinity;1222.75;1222.75
1447.45;0;1210.35;479.44;-Infinity;1210.35;1210.35
1454.95;1;1227.05;562.63;-Infinity;1227.05;1227.05
1467.94;0;1224.36;439.15;-Infinity;1224.36;1224.36
1492.9;1;1263.53;551.82;-Infinity;1263.53;1263.53
1503.19;1;1248.06;452.5;-Infinity;1248.06;1248.06
1521.6;0;1245.41;413.46;-Infinity;1245.41;1245.41
1538.28;0;1274;440.49;-Infinity;1274;1274.00
1573.3;1;1313.58;492.57;-Infinity;1313.58;1313.58
1593.85;0;1354.99;585.49;-Infinity;1354.99;1354.99
1604.27;0;1288.1;365.8;-Infinity;1288.1;1288.10
1648.87;1;1386.62;557.83;-Infinity;1386.62;1386.62
1654.38;0;1337.99;375.45;-Infinity;1337.99;1337.99
1684.73;0;1363.92;385.38;-Infinity;1363.92;1363.92
1744.44;0;1415.04;387.07;-Infinity;1415.04;1415.04
1748.35;1;1460.88;606.71;-Infinity;1460.88;1460.88
