#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;39.75;0.08;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.74;41.32;0.3;PP/0.05,TA/0.04,IS/0,PS/0,RB/0,OB/0.01,RP/0
119.91;41.37;0.33;PP/0.05,TA/0.04,IS/0,PS/0,RB/0,OB/0.01,RP/0
179.92;41.54;0.36;PP/0.06,TA/0.04,IS/0.01,PS/0,RB/0,OB/0.01,RP/0
239.73;41.54;0.38;PP/0.07,TA/0.04,IS/0.01,PS/0,RB/0,OB/0.01,RP/0
299.98;41.83;0.42;PP/0.08,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
359.74;42.05;0.47;PP/0.08,TA/0.06,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
419.71;42.24;0.5;PP/0.08,TA/0.06,IS/0.03,PS/0,RB/0.01,OB/0.02,RP/0
479.75;42.24;0.52;PP/0.09,TA/0.06,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
539.96;42.24;0.54;PP/0.09,TA/0.06,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
599.62;41.91;0.62;PP/0.1,TA/0.1,IS/0.04,PS/0,RB/0.01,OB/0.02,RP/0
659.87;41.91;0.64;PP/0.11,TA/0.1,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
719.63;42.14;0.68;PP/0.11,TA/0.11,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
779.75;42.15;0.71;PP/0.12,TA/0.11,IS/0.05,PS/0,RB/0.01,OB/0.02,RP/0
839.92;42.22;0.73;PP/0.13,TA/0.11,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
899.99;42.22;0.76;PP/0.13,TA/0.11,IS/0.06,PS/0,RB/0.01,OB/0.02,RP/0
959.74;42.22;0.78;PP/0.14,TA/0.11,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1019.69;42.38;0.81;PP/0.14,TA/0.11,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1079.83;42.38;0.83;PP/0.15,TA/0.11,IS/0.07,PS/0,RB/0.01,OB/0.02,RP/0
1139.89;42.51;0.85;PP/0.15,TA/0.11,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
1199.73;42.51;0.87;PP/0.16,TA/0.11,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
1259.89;42.63;0.91;PP/0.16,TA/0.13,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
1319.84;41.91;0.94;PP/0.17,TA/0.13,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
1379.59;41.91;0.97;PP/0.18,TA/0.13,IS/0.08,PS/0,RB/0.01,OB/0.02,RP/0
