#TimeStamp;DistanceTraveled
59.67;269.65
119.73;198.12
179.78;132.45
239.73;74.85
299.99;173.48
359.77;151.88
419.81;83.14
479.93;119.76
539.67;185.85
599.81;209.99
659.98;179.27
719.89;135.55
779.72;69.56
839.65;160.97
899.94;80.99
959.98;106.47
1020;90.04
1079.74;89.35
1139.62;85.74
1199.87;50.99
1259.7;78.36
1319.9;157.74
1379.73;140.19
1439.93;153.58
1499.63;113.56
1559.98;134
1619.91;137.73
1679.98;100.98
1739.91;158.74
1799.62;148.18
1859.83;206.99
1919.89;205.04
1979.97;150.17
2039.99;164.03
2099.85;216.16
2159.6;137.88
2219.97;26.54
2279.73;0
2339.84;0
2399.95;0
2459.64;0
2519.66;0
2579.66;0
2639.66;0
2699.66;0
2759.66;0
2819.66;0
2879.66;0
2939.66;0
2999.66;0
3059.66;0
3119.66;0
3179.66;0
3239.66;0
3299.66;0
3359.66;0
3419.66;0
3479.66;0
3539.66;0
3599.66;0
3659.66;0
3719.66;0
3779.66;0
3839.66;0
3899.66;0
3959.66;0
4019.66;0
4079.66;0
4139.66;0
4199.66;0
4259.66;0
4319.66;0
4379.66;0
4439.66;0
4499.66;0
4559.66;0
4619.66;0
4679.66;0
4739.66;0
4799.66;0
4859.66;0
4919.66;0
4979.66;0
5039.66;0
5099.66;0
5159.66;0
5219.66;0
5279.66;0
5339.66;0
5399.66;0
5459.66;0
5519.66;0
5579.66;0
5639.66;0
5699.66;0
5759.66;0
5819.66;0
5879.66;0
5939.66;0
5999.66;0
6059.66;0
6119.66;0
6179.66;0
6239.66;0
6299.66;0
6359.66;0
6419.66;0
6479.66;0
6539.66;0
6599.66;0
6659.66;0
6719.66;0
6779.66;0
6839.66;0
6899.66;0
6959.66;0
7019.66;0
7079.66;0
7139.66;0
7199.66;0
