#TimeStamp;TripTime;Type
56;23;O
67;17;O
67;39;O
73;40;O
74;29;O
76;39;O
77;45;O
79;58;O
83;41;O
89;23;O
92;45;O
98;23;O
104;65;O
108;23;O
112;17;O
131;16;O
132;14;O
139;15;O
162;14;O
174;13;O
182;15;O
192;15;O
204;13;O
222;20;O
222;15;O
242;14;O
255;13;O
263;15;O
276;18;O
277;14;O
287;14;O
288;38;O
295;13;O
306;17;O
316;13;O
316;18;O
334;15;O
334;18;O
343;16;O
346;19;O
366;14;O
383;15;O
391;28;O
396;13;O
414;15;O
414;20;O
428;14;O
429;40;O
438;13;O
453;15;O
463;14;O
464;15;O
478;14;O
494;15;O
517;18;O
523;20;O
524;15;O
534;15;O
575;26;O
576;13;O
577;18;O
586;13;O
588;18;O
598;14;O
599;20;O
609;19;O
614;20;O
618;19;O
619;15;O
649;15;O
659;14;O
661;32;O
667;13;O
678;18;O
684;34;O
685;20;O
689;19;O
690;15;O
699;14;O
740;14;O
746;16;O
749;13;O
755;15;O
756;15;O
777;17;O
778;29;O
794;50;O
795;20;O
798;17;O
806;16;O
812;47;O
817;30;O
823;20;O
828;15;O
844;14;O
875;14;O
886;15;O
896;13;O
897;16;O
910;14;O
915;35;O
922;14;O
924;25;O
936;15;O
938;13;O
946;14;O
956;15;O
959;14;O
970;18;O
973;35;O
975;19;O
978;17;O
1009;18;O
1010;14;O
1029;13;O
1040;18;O
1041;15;O
1050;16;O
1061;19;O
1061;15;O
1076;19;O
1081;18;O
1081;14;O
1101;14;O
1111;14;O
1140;17;O
1142;14;O
1162;13;O
1177;14;O
1188;15;O
1199;13;O
1199;16;O
1208;15;O
1218;15;O
1228;15;O
1229;19;O
1241;25;O
1243;10;O
1262;28;O
1266;22;O
1266;17;O
1287;17;O
1297;18;O
1300;26;O
1305;15;O
1317;17;O
1318;14;O
1328;33;O
1329;15;O
1352;48;O
1354;14;O
1379;19;O
1379;15;O
1389;15;O
1399;15;O
1400;20;O
1409;19;O
1410;15;O
1439;18;O
1451;26;O
1458;14;O
1481;16;O
1483;28;O
1491;16;O
1494;24;O
1500;19;O
1512;17;O
1521;20;O
1529;18;O
1540;54;O
1540;19;O
1542;26;O
1560;19;O
1581;35;O
1592;37;O
1605;19;O
1608;16;O
1622;17;O
1633;22;O
1635;14;O
1660;28;O
1673;32;O
1675;29;O
1684;17;O
1689;14;O
1700;17;O
1709;37;O
1714;21;O
1715;28;O
1740;20;O
1745;28;O
1746;14;O
1763;16;O
1771;19;O
1774;17;O
1782;20;O
1788;15;O
1795;12;O
1807;14;O
1822;15;O
1851;15;O
1888;33;O
1893;27;O
1899;31;O
