#FromID;FromX;FromY;FromIsStorage;FromIsIStation;FromIsOStation;FromIsElevator;ToID;ToX;ToY;ToIsStorage;ToIsIStation;ToIsOStation;ToIsElevator;Count;TravelTimeAvg;TravelTimeVar;TravelTimeMin;TravelTimeMax
12;55.50;3.50;False;False;True;False;28;55.50;9.50;False;False;True;False;72;157.778487944473;3895.35532490039;46.8749062085873;277.103687428816
12;55.50;3.50;False;False;True;False;165;16.50;1.50;True;False;False;False;1;46.9348124171738;0;46.9348124171738;46.9348124171738
12;55.50;3.50;False;False;True;False;167;18.50;1.50;True;False;False;False;1;48.9738888888853;0;48.9738888888853;48.9738888888853
12;55.50;3.50;False;False;True;False;168;19.50;1.50;True;False;False;False;1;30.6085209161604;0;30.6085209161604;30.6085209161604
12;55.50;3.50;False;False;True;False;185;36.50;1.50;True;False;False;False;1;35.7322222222222;0;35.7322222222222;35.7322222222222
12;55.50;3.50;False;False;True;False;190;41.50;1.50;True;False;False;False;1;18.3027777777779;0;18.3027777777779;18.3027777777779
12;55.50;3.50;False;False;True;False;195;12.50;2.50;True;False;False;False;1;37.2599062085876;0;37.2599062085876;37.2599062085876
12;55.50;3.50;False;False;True;False;272;21.50;4.50;True;False;False;False;1;29.8655555555561;0;29.8655555555561;29.8655555555561
12;55.50;3.50;False;False;True;False;392;39.50;7.50;True;False;False;False;1;27.4694444444453;0;27.4694444444453;27.4694444444453
12;55.50;3.50;False;False;True;False;493;38.50;10.50;True;False;False;False;1;25.7115993959189;0;25.7115993959189;25.7115993959189
12;55.50;3.50;False;False;True;False;579;22.50;13.50;True;False;False;False;1;49.9757770355469;0;49.9757770355469;49.9757770355469
12;55.50;3.50;False;False;True;False;603;12.50;14.50;True;False;False;False;1;46.239906208584;0;46.239906208584;46.239906208584
12;55.50;3.50;False;False;True;False;676;17.50;16.50;True;False;False;False;1;43.4333333333329;0;43.4333333333329;43.4333333333329
12;55.50;3.50;False;False;True;False;775;14.50;19.50;True;False;False;False;1;44.5973160136361;0;44.5973160136361;44.5973160136361
