#TimeStamp;Bot;Pod;OutputStation
48.75;8;32;1
58.11;7;70;0
68.4;7;70;0
68.45;1;191;1
78.27;7;70;0
78.83;1;191;1
88.45;0;21;0
88.53;1;191;1
98.33;0;21;0
98.68;3;130;1
108.42;8;32;0
108.85;3;130;1
118.43;5;47;0
118.87;3;130;1
128.09;5;47;0
128.7;10;43;1
138.25;5;47;0
138.83;10;43;1
148.27;5;47;0
148.91;10;43;1
158.46;9;1;0
158.72;2;232;1
168.51;9;1;0
168.95;4;213;1
178.79;6;218;0
178.83;4;213;1
188.86;6;218;0
188.86;11;138;1
198.99;6;218;0
199.03;7;70;1
208.77;1;191;0
209.08;7;70;1
219.02;1;191;0
219.06;7;70;1
228.98;3;130;0
229.2;0;21;1
238.86;10;43;0
239.2;0;21;1
249.08;2;232;0
249.3;8;32;1
259.12;2;232;0
259.35;5;47;1
269.07;4;213;0
269.39;5;47;1
279.12;11;138;0
279.35;9;1;1
289.3;7;70;0
289.35;6;218;1
299.22;0;21;0
299.44;6;218;1
309.37;0;21;0
309.79;3;130;1
319.56;8;32;0
319.86;3;130;1
329.62;8;32;0
329.79;10;43;1
339.76;5;47;0
339.8;2;232;1
349.82;9;1;0
349.82;4;213;1
359.96;9;1;0
359.96;11;138;1
369.99;9;1;0
370.03;1;36;1
380.02;6;218;0
380.25;1;36;1
390.07;10;43;0
390.11;7;70;1
400.01;4;213;0
400.33;7;70;1
410.14;11;138;0
410.14;7;70;1
420.32;11;138;0
420.32;0;21;1
430.35;11;138;0
430.35;8;32;1
440.1;11;138;0
440.1;8;32;1
450.29;11;138;0
450.29;5;47;1
460.02;1;36;0
460.4;5;47;1
470.44;3;184;0
470.44;5;47;1
480.46;0;21;0
480.46;9;1;1
490.5;9;1;1
490.82;8;32;0
500.63;6;218;1
501.21;8;32;0
510.84;10;43;1
511.17;8;32;0
520.86;10;43;1
521.16;7;124;0
530.97;10;43;1
531.25;9;1;0
540.8;4;213;1
541.64;6;218;0
550.64;4;213;1
555.95;10;43;0
560.62;2;135;1
571.04;2;135;1
577.34;4;213;0
581.21;2;135;1
587.5;4;213;0
591.14;11;138;1
601.13;1;36;1
604.27;2;135;0
610.98;1;36;1
614.27;2;135;0
621.22;1;36;1
624.27;2;135;0
631.24;1;36;1
634.29;2;135;0
641.26;1;36;1
644.31;2;135;0
651.31;0;21;1
654.11;2;135;0
661.35;8;32;1
664.06;2;135;0
671.08;8;32;1
674.37;11;138;0
681.3;7;124;1
684.44;11;138;0
691.39;5;66;1
694.69;11;138;0
701.64;5;66;1
704.66;1;36;0
712.03;9;1;1
714.86;1;36;0
722.04;6;218;1
724.69;0;21;0
732.03;3;148;1
734.9;0;21;0
742.1;3;148;1
744.92;8;32;0
752.41;3;148;1
754.67;8;32;0
762.49;10;43;1
764.98;7;124;0
772.53;10;43;1
775.03;5;66;0
782.93;4;213;1
785.27;9;1;0
792.98;4;213;1
795.26;9;1;0
803.03;11;138;1
804.91;9;1;0
813.37;1;36;1
815.13;6;218;0
823.3;1;36;1
825.31;6;218;0
833.18;0;21;1
835.7;3;148;0
843.42;2;146;1
845.52;10;43;0
853.48;2;146;1
855.66;10;43;0
863.55;2;146;1
865.69;4;213;0
873.6;2;146;1
875.79;4;213;0
883.38;8;32;1
885.96;4;213;0
893.65;7;124;1
896.18;4;213;0
903.83;7;124;1
906.17;11;138;0
913.7;5;66;1
916.24;11;138;0
924.02;9;1;1
926.2;11;138;0
934.06;9;1;1
936.1;11;138;0
944.07;9;1;1
945.95;1;36;0
954.13;9;1;1
956.29;0;21;0
964.18;6;218;1
966.18;0;21;0
974.11;6;218;1
976.16;0;21;0
984.17;6;218;1
986.21;2;146;0
993.99;6;218;1
996.33;8;32;0
1004.27;6;218;1
1006.31;7;124;0
1014.06;6;218;1
1016.72;5;66;0
1024.13;3;148;1
1027.18;9;1;0
1034.33;3;148;1
1039.88;6;218;0
1044.29;10;43;1
1054.41;4;213;1
1064.06;3;148;0
1064.66;4;213;1
1074.32;3;148;0
1074.36;11;138;1
1084.08;10;43;0
1084.71;1;36;1
1094.27;10;43;0
1095.06;0;21;1
1104.28;10;43;0
1105.15;2;146;1
1113.98;11;138;0
1115.36;2;146;1
1124.22;1;36;0
1125.64;8;32;1
1134.36;1;36;0
1135.75;7;124;1
1144.26;1;36;0
1145.54;5;66;1
1154.36;0;21;0
1155.7;5;66;1
1164.4;0;21;0
