#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/6,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.91;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
119.97;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
179.86;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
239.88;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
299.84;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
359.97;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
419.81;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
479.96;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
539.94;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
599.97;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
659.95;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
719.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
779.84;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
839.82;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
899.88;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
959.88;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1019.63;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1079.68;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1139.85;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1199.76;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1259.89;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1319.92;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1379.59;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1439.97;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1499.78;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1559.91;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1619.79;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1680;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1739.8;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1799.79;3;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
1859.69;3;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
1919.73;1;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/4,Rest/0
1979.98;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2039.97;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2099.89;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2159.74;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2219.92;2;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2279.92;2;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2340;4;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/6,Rest/0
2399.97;0;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
2459.7;1;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/5,Rest/0
