#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.91;42;145;0;57.2;0;57.21;0;0.55
119.71;82;273;0;112.95;0;116.78;0;0.58
179.96;114;432;0;159.22;0;176.58;0;0.62
239.88;158;581;0;183.26;0;235.5;0;0.61
299.68;211;725;0;231.93;0;295.08;0;0.61
360;260;856;0;223.26;0;354.03;0;0.58
419.78;298;960;0;235.58;0;412.9;0;0.55
479.99;298;959;0;278.01;0;472.82;0;0.55
539.84;298;955;0;266.15;0;531.58;0;0.55
599.74;298;952;0;256.16;0;590.54;0;0.56
659.75;298;951;0;289.5;0;650.24;0;0.56
719.63;298;947;0;290.25;0;709.41;0;0.53
779.97;298;942;0;251.22;0;768.33;0;0.52
839.8;298;938;0;223.06;0;826.67;0;0.55
899.99;298;935;0;227.25;0;885.83;0;0.57
960;298;933;0;248.05;0;945.12;0;0.59
1019.91;298;929;0;227.89;0;1003.53;0;0.6
1079.96;298;925;0;211.04;0;1062.09;0;0.62
1139.74;298;920;0;181.53;0;1119.78;0;0.61
1199.96;298;918;0;206.13;0;1179.19;0;0.6
1259.62;298;914;0;197.42;0;1237.5;0;0.56
1319.87;298;910;0;195.16;0;1296.4;0;0.57
1379.88;298;908;0;217.43;0;1355.5;0;0.58
1439.98;298;902;0;178.48;0;1412.93;0;0.54
1500;298;899;0;193.09;0;1471.79;0;0.55
1559.88;298;897;0;225.55;0;1530.99;0;0.57
1619.94;298;890;0;168.95;0;1588.07;0;0.6
1680;298;886;0;168.17;0;1646.51;0;0.62
1739.98;298;886;0;228.15;0;1706.49;0;0.62
1799.91;298;883;0;237.36;0;1765.39;0;0.61
1859.86;298;879;0;229.84;0;1824.03;0;0.62
1919.75;298;876;0;237.39;0;1882.84;0;0.65
1979.79;298;872;0;223.79;0;1941.55;0;0.66
2039.65;298;868;0;210.87;0;2000.13;0;0.64
2099.86;298;865;0;214.54;0;2059.47;0;0.62
2159.59;298;862;0;221.08;0;2118.5;0;0.62
2219.82;298;857;0;192.02;0;2177.23;0;0.6
2279.91;298;852;0;181.2;0;2235.75;0;0.62
2339.95;298;849;0;189.23;0;2294.7;0;0.61
2399.98;298;846;0;208.06;0;2353.59;0;0.63
2459.84;298;843;0;218.26;0;2412.04;0;0.63
2519.73;298;840;0;224.17;0;2470.41;0;0.62
2579.96;298;837;0;228.35;0;2529.04;0;0.63
2639.97;298;834;0;243.01;0;2587.73;0;0.65
2699.76;298;828;0;189.43;0;2644.43;0;0.64
2759.98;298;826;0;213.33;0;2703.58;0;0.65
2819.92;298;821;0;192.44;0;2761.07;0;0.66
2879.79;298;818;0;208.04;0;2819.48;0;0.65
2939.99;298;814;0;199.42;0;2877.59;0;0.66
2999.89;298;812;0;223.13;0;2936.49;0;0.65
3059.89;298;809;0;226.86;0;2994.9;0;0.65
3119.61;298;804;0;205.33;0;3052.39;0;0.62
3179.73;298;801;0;214.25;0;3111.3;0;0.63
3239.86;298;799;0;236.16;0;3170.56;0;0.63
3300;298;795;0;222.95;0;3229.07;0;0.6
3359.92;298;792;0;223.88;0;3287.57;0;0.61
3419.78;298;787;0;194.22;0;3345.18;0;0.58
3479.97;298;785;0;218.71;0;3404.49;0;0.58
3539.92;298;784;0;263.99;0;3464.1;0;0.57
3599.97;298;781;0;271.22;0;3522.88;0;0.56
3660;298;776;0;238.83;0;3580.38;0;0.57
3719.97;298;773;0;246.01;0;3639.06;0;0.57
3779.72;298;772;0;289.84;0;3698.5;0;0.56
3839.89;298;768;0;262.73;0;3756.61;0;0.6
3899.95;298;765;0;253.78;0;3815.05;0;0.58
3959.7;298;763;0;285.45;0;3874.18;0;0.6
4019.98;298;760;0;273.99;0;3932.9;0;0.6
4079.99;298;757;0;269.62;0;3991.5;0;0.6
4139.78;298;754;0;251.67;0;4049.67;0;0.62
4199.86;298;750;0;230.74;0;4108.1;0;0.63
4259.99;298;747;0;230.95;0;4167.02;0;0.6
4319.81;298;744;0;227.06;0;4225.51;0;0.6
4379.75;298;739;0;197.52;0;4283.31;0;0.58
4439.98;298;735;0;188.57;0;4341.78;0;0.58
4499.99;298;732;0;204.46;0;4400.66;0;0.59
4559.59;298;728;0;198.47;0;4458.52;0;0.6
4619.68;298;724;0;194.95;0;4516.62;0;0.62
4679.86;298;721;0;204.03;0;4575.21;0;0.61
4739.65;298;718;0;216.21;0;4633.72;0;0.58
4799.94;298;712;0;177.71;0;4691.39;0;0.59
4859.89;298;711;0;217.85;0;4750.86;0;0.59
4919.76;298;708;0;226.56;0;4809.65;0;0.57
4979.86;298;705;0;240.7;0;4868.8;0;0.57
5039.78;298;700;0;207.05;0;4926.19;0;0.56
5099.79;298;696;0;193.17;0;4984.14;0;0.57
5159.72;298;693;0;209.76;0;5042.76;0;0.57
5219.85;298;692;0;262.77;0;5102.75;0;0.58
5279.85;298;690;0;291.97;0;5162.05;0;0.58
5339.82;298;687;0;285.49;0;5220.31;0;0.6
5399.87;298;684;0;287.06;0;5278.89;0;0.6
5459.89;298;679;0;231.74;0;5335.65;0;0.63
5519.99;298;678;0;272.5;0;5395.18;0;0.63
5579.78;298;672;0;213.11;0;5451.9;0;0.63
5639.9;298;669;0;216.6;0;5510.57;0;0.64
5699.94;298;666;0;207.05;0;5568.98;0;0.64
5759.97;298;662;0;197.92;0;5627.32;0;0.66
5819.88;298;658;0;190.72;0;5685.7;0;0.66
5879.86;298;655;0;200.35;0;5744.72;0;0.66
5939.86;298;652;0;212.97;0;5803.78;0;0.66
5999.74;298;650;0;238.46;0;5862.91;0;0.66
6059.97;298;646;0;225.76;0;5921.73;0;0.66
6119.84;298;642;0;213.56;0;5980.19;0;0.66
6179.69;298;640;0;238.17;0;6039.35;0;0.65
6239.98;298;637;0;242.72;0;6098.6;0;0.62
6299.81;298;635;0;263.58;0;6157.67;0;0.6
6359.83;298;630;0;224.3;0;6216.02;0;0.56
6419.94;298;625;0;189.79;0;6274.62;0;0.55
6479.93;298;621;0;186.25;0;6333.68;0;0.52
6539.73;298;618;0;196.48;0;6392.63;0;0.52
6599.98;298;615;0;201.12;0;6451.9;0;0.52
6659.7;298;612;0;211.57;0;6510.62;0;0.53
6719.76;298;609;0;218.7;0;6569.61;0;0.55
6779.74;298;606;0;230.3;0;6628.52;0;0.6
6839.89;298;605;0;271.98;0;6688.3;0;0.59
6899.59;298;601;0;255.12;0;6746.4;0;0.59
6960;298;600;0;295.39;0;6806.35;0;0.58
7019.67;298;598;0;310.7;0;6865.1;0;0.59
7079.9;298;594;0;300.91;0;6924.08;0;0.57
7139.92;298;590;0;267.86;0;6982.45;0;0.59
7199.96;298;589;0;304.41;0;7042.09;0;0.6
7259.92;298;586;0;296.2;0;7100.86;0;0.61
7319.98;298;579;0;205.05;0;7158.29;0;0.63
7379.99;298;574;0;202.78;0;7217.13;0;0.62
7439.9;298;572;0;237.57;0;7276.49;0;0.62
7499.93;298;570;0;260.67;0;7335.8;0;0.61
7559.96;298;565;0;226.7;0;7394.12;0;0.59
7619.94;298;562;0;211.2;0;7452.64;0;0.57
7679.65;298;558;0;209.75;0;7511.02;0;0.59
7739.86;298;555;0;216.33;0;7569.98;0;0.61
7799.96;298;551;0;207.55;0;7628.29;0;0.62
7859.68;298;550;0;251.68;0;7687.65;0;0.62
7919.89;298;548;0;273.26;0;7747.03;0;0.64
7979.97;298;545;0;283.67;0;7806.04;0;0.63
8039.66;298;542;0;291.67;0;7864.74;0;0.61
8099.84;298;539;0;293.85;0;7923.83;0;0.6
8159.73;298;536;0;304.69;0;7982.88;0;0.61
8219.6;298;533;0;285.94;0;8041.48;0;0.61
8279.77;298;528;0;244.84;0;8100.29;0;0.61
8339.88;298;524;0;229.63;0;8159.5;0;0.63
8399.86;298;520;0;217.03;0;8218.37;0;0.63
8459.68;298;515;0;181.96;0;8276.38;0;0.61
8520;298;510;0;156.96;0;8334.18;0;0.61
8579.98;298;508;0;193.01;0;8393.19;0;0.61
8639.96;298;505;0;214.78;0;8451.66;0;0.6
8699.78;298;502;0;216.52;0;8509.71;0;0.61
8759.68;298;498;0;207.35;0;8567.28;0;0.61
8819.74;298;495;0;219.32;0;8625.82;0;0.63
8879.62;298;492;0;224.1;0;8683.94;0;0.61
8939.91;298;488;0;208.82;0;8742.18;0;0.64
