#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;39.39;0.08;PP/0,TA/0,IS/0,PS/0,RB/0.01,OB/0.01,RP/0
59.92;42.04;0.76;PP/0.08,TA/0.35,IS/0.02,PS/0,RB/0.01,OB/0.03,RP/0
119.72;42.95;0.96;PP/0.11,TA/0.38,IS/0.05,PS/0,RB/0.01,OB/0.03,RP/0
179.77;43.52;1.17;PP/0.14,TA/0.41,IS/0.1,PS/0,RB/0.01,OB/0.06,RP/0
239.88;43.64;1.37;PP/0.16,TA/0.41,IS/0.17,PS/0,RB/0.01,OB/0.09,RP/0
300;44.3;1.61;PP/0.17,TA/0.43,IS/0.29,PS/0,RB/0.01,OB/0.13,RP/0
360;43.59;1.91;PP/0.18,TA/0.44,IS/0.45,PS/0,RB/0.01,OB/0.17,RP/0
419.93;43.58;2.23;PP/0.2,TA/0.47,IS/0.6,PS/0,RB/0.01,OB/0.22,RP/0
479.8;43.83;2.36;PP/0.22,TA/0.49,IS/0.65,PS/0,RB/0.01,OB/0.22,RP/0
539.98;43.61;2.51;PP/0.24,TA/0.5,IS/0.7,PS/0,RB/0.01,OB/0.23,RP/0
599.78;44;2.64;PP/0.25,TA/0.5,IS/0.75,PS/0,RB/0.01,OB/0.23,RP/0
659.72;43.72;2.81;PP/0.27,TA/0.53,IS/0.8,PS/0,RB/0.01,OB/0.24,RP/0
719.81;43.93;2.96;PP/0.28,TA/0.55,IS/0.85,PS/0,RB/0.01,OB/0.24,RP/0
779.92;43.89;3.11;PP/0.3,TA/0.56,IS/0.9,PS/0,RB/0.01,OB/0.25,RP/0
839.81;44.13;3.23;PP/0.32,TA/0.58,IS/0.94,PS/0,RB/0.01,OB/0.25,RP/0
899.66;44;3.34;PP/0.33,TA/0.59,IS/0.98,PS/0,RB/0.01,OB/0.25,RP/0
959.64;44.2;3.49;PP/0.34,TA/0.6,IS/1.03,PS/0,RB/0.01,OB/0.26,RP/0
1019.77;44.31;3.63;PP/0.35,TA/0.6,IS/1.09,PS/0,RB/0.01,OB/0.26,RP/0
1079.78;44.75;3.72;PP/0.36,TA/0.62,IS/1.12,PS/0,RB/0.01,OB/0.26,RP/0
1139.97;44.21;3.84;PP/0.37,TA/0.62,IS/1.17,PS/0,RB/0.01,OB/0.27,RP/0
1199.99;44.27;4;PP/0.39,TA/0.68,IS/1.21,PS/0,RB/0.01,OB/0.27,RP/0
1259.97;44.27;4.12;PP/0.4,TA/0.68,IS/1.25,PS/0,RB/0.01,OB/0.27,RP/0
1319.77;44.48;4.3;PP/0.42,TA/0.69,IS/1.32,PS/0,RB/0.01,OB/0.28,RP/0
1379.85;44.69;4.44;PP/0.44,TA/0.71,IS/1.36,PS/0,RB/0.01,OB/0.28,RP/0
1439.98;44.64;4.58;PP/0.46,TA/0.74,IS/1.41,PS/0,RB/0.01,OB/0.29,RP/0
1499.71;44.64;4.7;PP/0.47,TA/0.74,IS/1.45,PS/0,RB/0.01,OB/0.29,RP/0
1559.99;45.02;4.79;PP/0.47,TA/0.75,IS/1.49,PS/0,RB/0.01,OB/0.29,RP/0
1619.92;45.16;4.89;PP/0.48,TA/0.75,IS/1.53,PS/0,RB/0.01,OB/0.29,RP/0
