#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
129.49;1;128.64;128.64;-Infinity;128.64;128.64
136.06;2;135.37;135.37;-Infinity;135.37;135.37
136.39;0;135.88;135.88;-Infinity;135.88;135.88
149.27;1;148.73;148.71;-Infinity;148.73;148.73
156.69;0;155.99;155.95;-Infinity;155.99;155.99
166.78;0;165.73;165.73;-Infinity;165.73;165.73
169.45;1;168.07;168.07;-Infinity;168.07;168.07
175.95;2;174.97;174.97;-Infinity;174.97;174.97
179.73;1;177.24;177.2;-Infinity;177.24;177.24
196.87;0;194.39;194.39;-Infinity;194.39;194.39
235.6;1;232.61;232.61;-Infinity;232.61;232.61
236.22;2;233.86;233.86;-Infinity;233.86;233.86
276.54;2;273.51;273.51;-Infinity;273.51;273.51
286.56;2;282.6;282.6;-Infinity;282.6;282.60
287.28;0;284.55;284.55;-Infinity;284.55;284.55
296.07;1;292.34;292.32;-Infinity;292.34;292.34
306;1;301.83;301.83;-Infinity;301.83;301.83
306.49;2;303.92;303.92;-Infinity;303.92;303.92
337.34;0;333.69;333.69;-Infinity;333.69;333.69
366.83;2;362.42;362.42;-Infinity;362.42;362.42
377.46;0;373.36;373.36;-Infinity;373.36;373.36
386.87;2;381.11;381.11;-Infinity;381.11;381.11
401.01;1;395.73;395.73;-Infinity;395.73;395.73
407.56;0;403.09;403.06;-Infinity;403.09;403.09
411.44;1;405.43;405.43;-Infinity;405.43;405.43
427.81;0;421.84;421.84;-Infinity;421.84;421.84
436.99;2;429.61;429.61;-Infinity;429.61;429.61
447.17;2;441.02;441.02;-Infinity;441.02;441.02
457.38;2;449.28;449.28;-Infinity;449.28;449.28
467.88;0;461.67;461.67;-Infinity;461.67;461.67
495.57;1;488.82;488.79;-Infinity;488.82;488.82
518.1;0;510.64;510.64;-Infinity;510.64;510.64
539.73;2;530.56;530.56;-Infinity;530.56;530.56
545.79;1;534.1;376.07;-Infinity;534.1;534.10
548.4;0;537.69;411.96;-Infinity;537.69;537.69
558.83;0;550.51;550.51;-Infinity;550.51;550.51
570.01;2;559.8;433.91;-Infinity;559.8;559.80
599;0;588.2;442.27;-Infinity;588.2;588.20
626.28;1;616.89;496.74;-Infinity;616.89;616.89
636.61;1;625.84;486.97;-Infinity;625.84;625.84
649.06;0;637.63;482.24;-Infinity;637.63;637.63
656.57;1;648.63;648.63;-Infinity;648.63;648.63
661.46;2;649.75;485.31;-Infinity;649.75;649.75
666.75;1;657.93;657.92;-Infinity;657.93;657.93
689.22;0;677.2;492.31;-Infinity;677.2;677.20
695.3;2;682.79;459.04;-Infinity;682.79;682.79
696.77;1;685.05;516.99;-Infinity;685.05;685.05
709.35;0;696.24;422.03;-Infinity;696.24;696.24
740;0;725.78;402.6;-Infinity;725.78;725.78
747.21;1;735;511.39;-Infinity;735;735.00
751.51;2;738.8;474.92;-Infinity;738.8;738.80
766.23;0;751.13;388.72;-Infinity;751.13;751.13
777.32;1;763.98;481.2;-Infinity;763.98;763.98
787.48;1;774.13;481.33;-Infinity;774.13;774.13
807.68;1;790.13;396.19;-Infinity;790.13;790.13
818.04;1;801.56;416.88;-Infinity;801.56;801.56
831.37;2;817.86;524.54;-Infinity;817.86;817.86
838.18;1;818.48;342.57;-Infinity;818.48;818.48
841.51;2;828.45;554.88;-Infinity;828.45;828.45
848.29;1;827.66;302.21;-Infinity;827.66;827.66
861.72;2;847.5;494.72;-Infinity;847.5;847.50
862.3;0;844.84;454.62;-Infinity;844.84;844.84
888.48;1;866.42;262.15;-Infinity;866.42;866.42
899.67;0;881.53;471.81;-Infinity;881.53;881.53
922;2;903.83;484.9;-Infinity;903.83;903.83
932.2;2;916.04;545.15;-Infinity;916.04;916.04
939.76;0;920.74;471.83;-Infinity;920.74;920.74
980.04;0;960.14;461.89;-Infinity;960.14;960.14
982.43;2;964.03;535.19;-Infinity;964.03;964.03
988.74;1;965.94;352.09;-Infinity;965.94;965.94
1018.98;1;994.68;351.92;-Infinity;994.68;994.68
1020.22;0;999.24;461.34;-Infinity;999.24;999.24
1026.12;2;1007.32;568.68;-Infinity;1007.32;1007.32
1029.03;1;1005.01;372.15;-Infinity;1005.01;1005.01
1040.25;0;1019.53;491.8;-Infinity;1019.53;1019.53
1079.96;2;1059.4;540.17;-Infinity;1059.4;1059.40
1080.43;0;1057.62;431.13;-Infinity;1057.62;1057.62
1089.01;1;1064.09;391.88;-Infinity;1064.09;1064.09
1100.58;0;1079.01;501.43;-Infinity;1079.01;1079.01
1100.62;2;1076.36;439.12;-Infinity;1076.36;1076.36
1109.13;1;1082.52;361.86;-Infinity;1082.52;1082.52
1120.84;0;1096.43;431.41;-Infinity;1096.43;1096.43
1121;2;1099.64;550.94;-Infinity;1099.64;1099.64
1129.71;1;1102.32;352.35;-Infinity;1102.32;1102.32
1143.22;0;1118.14;433.46;-Infinity;1118.14;1118.14
1151.2;2;1126.72;455.82;-Infinity;1126.72;1126.72
1164.91;0;1139.55;424.87;-Infinity;1139.55;1139.55
1194.94;0;1167.79;428.61;-Infinity;1167.79;1167.79
1199.78;1;1170.59;392.05;-Infinity;1170.59;1170.59
1219.65;1;1191.65;432.12;-Infinity;1191.65;1191.65
1229.98;1;1199.54;411.86;-Infinity;1199.54;1199.54
1231.56;2;1199.39;369.47;-Infinity;1199.39;1199.39
1241.76;2;1211.3;410.3;-Infinity;1211.3;1211.30
1255.13;0;1222.77;355.41;-Infinity;1222.77;1222.77
1260.47;1;1229.81;422.14;-Infinity;1229.81;1229.81
1285.37;0;1253.16;422.91;-Infinity;1253.16;1253.16
1290.55;1;1258.71;442.13;-Infinity;1258.71;1258.71
1292.05;2;1260.37;450.34;-Infinity;1260.37;1260.37
1295.41;0;1262.16;355.42;-Infinity;1262.16;1262.16
1302.06;2;1275.24;550.5;-Infinity;1275.24;1275.24
1310.68;1;1276.39;321.87;-Infinity;1276.39;1276.39
1325.56;0;1291.69;345.48;-Infinity;1291.69;1291.69
1361.05;1;1326.17;342.02;-Infinity;1326.17;1326.17
1370.94;1;1338.68;482.24;-Infinity;1338.68;1338.68
1375.69;0;1339.19;335.37;-Infinity;1339.19;1339.19
1382.64;2;1350.2;460.48;-Infinity;1350.2;1350.20
1415.99;0;1381.06;395.72;-Infinity;1381.06;1381.06
1442.93;2;1402.16;291.46;-Infinity;1402.16;1402.16
1446.43;0;1408.68;365.9;-Infinity;1408.68;1408.68
1452.77;2;1420.24;520.32;-Infinity;1420.24;1420.24
1491.12;0;1453;390.5;-Infinity;1453;1453.00
1493.11;2;1458.98;510.57;-Infinity;1458.98;1458.98
1497.7;1;1461.27;468.62;-Infinity;1461.27;1461.27
1507.64;1;1469.6;418.43;-Infinity;1469.6;1469.60
1511.1;0;1472.47;390.22;-Infinity;1472.47;1472.47
1537.58;1;1498.95;428.29;-Infinity;1498.95;1498.95
1551.35;0;1510.34;386.19;-Infinity;1510.34;1510.34
1553.48;2;1517.46;527.13;-Infinity;1517.46;1517.46
1558;1;1519.08;428.24;-Infinity;1519.08;1519.08
1561.42;0;1520.85;418;-Infinity;1520.85;1520.85
1563.53;2;1526.98;483.52;-Infinity;1526.98;1526.98
1573.38;2;1534.83;472.54;-Infinity;1534.83;1534.83
1598.09;1;1556.74;398.24;-Infinity;1556.74;1556.74
1601.62;0;1560.6;406.63;-Infinity;1560.6;1560.60
1618.1;1;1576.53;388.07;-Infinity;1576.53;1576.53
1623.98;2;1585.34;502.87;-Infinity;1585.34;1585.34
1641.75;0;1599.78;386.43;-Infinity;1599.78;1599.78
1648.17;1;1606.73;428.27;-Infinity;1606.73;1606.73
1653.85;2;1612.2;422.07;-Infinity;1612.2;1612.20
1661.8;0;1618.91;366.28;-Infinity;1618.91;1618.91
1673.93;2;1632.27;432.06;-Infinity;1632.27;1632.27
1688.56;1;1646.54;428.05;-Infinity;1646.54;1646.54
1692;0;1649.75;406.59;-Infinity;1649.75;1649.75
1725.92;1;1683.41;435.29;-Infinity;1683.41;1683.41
1742.01;0;1698.31;416.4;-Infinity;1698.31;1698.31
1744.09;2;1701.35;452;-Infinity;1701.35;1701.35
1752.22;0;1706.99;376.49;-Infinity;1706.99;1706.99
1772.16;0;1725.41;356.01;-Infinity;1725.41;1725.41
1774.25;2;1731.19;471.93;-Infinity;1731.19;1731.19
1777.52;1;1734.02;466.79;-Infinity;1734.02;1734.02
1804.34;2;1756.96;361.37;-Infinity;1756.96;1756.96
1812.8;0;1765.08;366.33;-Infinity;1765.08;1765.08
1824.42;2;1778.5;441.69;-Infinity;1778.5;1778.50
1826.83;1;1782.23;465.74;-Infinity;1782.23;1782.23
1847.2;1;1802.08;476.07;-Infinity;1802.08;1802.08
1854.55;2;1806.08;401.53;-Infinity;1806.08;1806.08
1883.19;0;1831.94;371.87;-Infinity;1831.94;1831.94
1885.26;2;1836.33;391.94;-Infinity;1836.33;1836.33
1893.48;0;1844.65;402.26;-Infinity;1844.65;1844.65
1903.58;0;1851.82;352.19;-Infinity;1851.82;1851.82
1917.15;1;1868.07;409.28;-Infinity;1868.07;1868.07
1925.42;2;1873.52;371.89;-Infinity;1873.52;1873.52
1935.17;2;1880.34;361.52;-Infinity;1880.34;1880.34
1945.44;2;1890.79;381.86;-Infinity;1890.79;1890.79
1977.32;1;1928.26;479.58;-Infinity;1928.26;1928.26
1987.3;1;1935.79;449.39;-Infinity;1935.79;1935.79
2010.06;2;1953.65;386.03;-Infinity;1953.65;1953.65
2017.68;1;1965.61;459.61;-Infinity;1965.61;1965.61
2033.54;0;1979.42;472.08;-Infinity;1979.42;1979.42
2053.94;0;1998.66;452.27;-Infinity;1998.66;1998.66
2064.11;0;2007.68;422.32;-Infinity;2007.68;2007.68
2076.37;2;2018.97;422.3;-Infinity;2018.97;2018.97
2104.02;0;2043.17;361.89;-Infinity;2043.17;2043.17
2114.19;0;2054.28;422.15;-Infinity;2054.28;2054.28
2124.23;0;2066.14;462.38;-Infinity;2066.14;2066.14
2147.19;1;2091.46;528.91;-Infinity;2091.46;2091.46
2157.26;1;2102.22;559.03;-Infinity;2102.22;2102.22
2177.22;1;2120.13;528.75;-Infinity;2120.13;2120.13
2184.58;0;2122.51;412.22;-Infinity;2122.51;2122.51
2187.53;1;2128.3;498.75;-Infinity;2128.3;2128.30
2229.86;2;2171.73;555.7;-Infinity;2171.73;2171.73
2240.01;2;2175.15;415.22;-Infinity;2175.15;2175.15
2244.79;0;2183.32;492.47;-Infinity;2183.32;2183.32
2250.64;2;2188.32;476.33;-Infinity;2188.32;2188.32
2260.83;2;2196.2;456.08;-Infinity;2196.2;2196.20
2263.96;1;2203.68;537.9;-Infinity;2203.68;2203.68
2274.55;0;2207.23;391.21;-Infinity;2207.23;2207.23
2278.3;1;2214;500.74;-Infinity;2214;2214.00
2300.91;2;2239.94;556.64;-Infinity;2239.94;2239.94
2304.73;0;2231.99;200.32;-Infinity;2231.99;2231.99
2310.92;2;2244.1;456.07;-Infinity;2244.1;2244.10
2318.54;1;2252.63;491.61;-Infinity;2252.63;2252.63
2345.2;0;2280.49;532.35;-Infinity;2280.49;2280.49
2354.46;2;2287.09;469.16;-Infinity;2287.09;2287.09
2368.47;1;2301.99;521.22;-Infinity;2301.99;2301.99
2375.49;0;2307.9;481.97;-Infinity;2307.9;2307.90
2385.51;0;2313.91;351.68;-Infinity;2313.91;2313.91
2402.71;2;2333.85;477.25;-Infinity;2333.85;2333.85
2452.22;1;2384.03;534.86;-Infinity;2384.03;2384.03
2465.75;0;2393.76;411.77;-Infinity;2393.76;2393.76
2479.77;1;2409.35;502.18;-Infinity;2409.35;2409.35
2485.9;0;2413.9;421.55;-Infinity;2413.9;2413.90
2495.79;0;2428.05;592.06;-Infinity;2428.05;2428.05
