#TimeStamp;TripTime;Type
47;14;O
47;28;O
47;13;O
65;27;O
66;43;O
69;14;O
70;29;O
71;16;O
74;31;O
81;33;O
82;29;O
90;29;O
91;51;O
94;60;O
99;46;O
100;34;O
106;21;O
109;70;O
109;39;O
111;16;O
123;18;O
123;49;O
126;15;O
128;44;O
131;16;O
134;99;O
137;53;O
140;20;O
144;74;O
145;39;O
147;21;O
149;85;O
154;30;O
155;19;O
161;21;O
168;17;O
171;25;O
175;19;O
181;20;O
185;19;O
190;20;O
194;18;O
202;56;O
205;15;O
205;20;O
215;19;O
227;13;O
245;19;O
254;13;O
255;19;O
267;21;O
269;21;O
273;22;O
282;26;O
291;45;O
298;22;O
299;28;O
305;29;O
307;16;O
312;26;O
314;48;O
321;40;O
322;20;O
322;16;O
332;25;O
333;37;O
335;18;O
337;15;O
346;14;O
365;18;O
369;22;O
371;14;O
372;20;O
375;34;O
387;21;O
392;24;O
396;19;O
397;16;O
411;14;O
412;36;O
420;13;O
423;15;O
445;14;O
451;24;O
453;16;O
465;18;O
467;15;O
469;42;O
472;16;O
484;21;O
485;17;O
496;15;O
501;25;O
501;24;O
502;16;O
511;17;O
518;20;O
520;23;O
532;15;O
538;27;O
540;33;O
545;18;O
546;38;O
547;20;O
552;30;O
565;17;O
575;15;O
576;19;O
579;32;O
579;21;O
586;48;O
591;23;O
594;24;O
601;34;O
607;29;O
614;27;O
626;27;O
631;23;O
631;34;O
638;20;O
641;30;O
646;25;O
648;28;O
652;21;O
655;17;O
661;22;O
666;15;O
672;13;O
684;25;O
691;20;O
696;28;O
704;16;O
705;25;O
707;16;O
710;20;O
715;17;O
723;23;O
725;16;O
726;15;O
740;19;O
748;28;O
749;21;O
749;19;O
768;20;O
778;17;O
783;24;O
794;16;O
797;27;O
800;19;O
809;18;O
814;42;O
818;29;O
828;20;O
832;22;O
838;17;O
839;19;O
842;41;O
842;24;O
858;16;O
866;35;O
875;24;O
880;21;O
881;40;O
881;21;O
886;37;O
887;48;O
898;17;O
906;17;O
910;19;O
938;16;O
941;21;O
945;24;O
946;35;O
947;16;O
954;13;O
956;14;O
965;16;O
969;18;O
976;36;O
977;40;O
984;24;O
987;35;O
989;19;O
993;21;O
998;16;O
1000;19;O
1002;22;O
1005;33;O
1009;17;O
1009;20;O
1014;23;O
1019;19;O
1028;17;O
1034;22;O
1041;28;O
1045;23;O
1047;17;O
1053;30;O
1055;24;O
1057;17;O
1062;20;O
1068;15;O
1081;19;O
1087;13;O
1096;13;O
1098;18;O
1102;20;O
1128;20;O
1129;16;O
1137;13;O
1145;18;O
1156;22;O
1160;16;O
1161;30;O
1183;14;O
1186;12;O
1192;37;O
1199;15;O
1208;17;O
1219;15;O
1219;18;O
1222;21;O
1231;52;O
1248;26;O
1252;33;O
1255;24;O
1264;36;O
1277;16;O
1284;68;O
1287;56;O
1291;25;O
1294;32;O
1297;13;O
1305;23;O
1307;22;O
1310;19;O
1311;39;O
1315;58;O
1318;16;O
1324;30;O
1329;14;O
1331;19;O
1339;15;O
1341;25;O
1356;23;O
1360;15;O
1365;98;O
1369;15;O
1370;27;O
1375;23;O
1380;27;O
1397;25;O
1407;44;O
1414;32;O
1424;21;O
1425;23;O
1434;42;O
1436;22;O
1439;17;O
1446;23;O
1452;20;O
1465;22;O
1468;36;O
1475;13;O
1477;23;O
1486;39;O
1491;18;O
1492;20;O
1497;14;O
1499;37;O
1511;16;O
1518;15;O
1521;36;O
1522;16;O
1531;18;O
1533;17;O
1545;21;O
1558;15;O
1561;32;O
1566;28;O
1567;23;O
1568;34;O
1575;22;O
1587;24;O
1590;18;O
1597;35;O
1607;29;O
1607;24;O
1608;34;O
1609;16;O
1614;30;O
1614;47;O
1619;31;O
1629;41;O
1647;23;O
1648;28;O
1652;26;O
1652;29;O
1656;40;O
1661;28;O
1662;16;O
1664;70;O
1673;20;O
1682;14;O
1684;39;O
1692;19;O
1694;27;O
1700;19;O
1705;22;O
1709;16;O
1717;16;O
1720;17;O
1727;45;O
1732;42;O
1733;70;O
1738;27;O
1740;16;O
1743;35;O
1752;14;O
1763;14;O
1763;22;O
1766;37;O
1775;14;O
1776;22;O
1777;33;O
1780;21;O
1786;35;O
1796;15;O
1797;18;O
1806;15;O
1810;16;O
1812;23;O
1817;16;O
1825;21;O
1836;14;O
1841;23;O
1851;36;O
1862;23;O
1863;19;O
1865;16;O
1871;39;O
1878;16;O
1884;37;O
1892;20;O
1903;16;O
1918;15;O
1920;16;O
1934;19;O
1935;56;O
1947;24;O
1950;15;O
1970;26;O
1971;74;O
1979;25;O
1986;22;O
1993;60;O
1997;22;O
2002;17;O
2005;68;O
2006;17;O
2010;63;O
2020;62;O
2021;15;O
2035;27;O
2047;16;O
2047;22;O
2054;18;O
2060;43;O
2071;16;O
2076;55;O
2079;23;O
2082;16;O
2085;30;O
2097;21;O
2102;58;O
2106;16;O
2107;79;O
2115;29;O
2121;31;O
2123;27;O
2133;17;O
2136;31;O
2141;17;O
2142;15;O
2153;37;O
2154;39;O
2159;25;O
2163;22;O
2185;14;O
2188;14;O
2191;55;O
2200;16;O
2211;19;O
2213;31;O
2226;24;O
2227;17;O
2230;16;O
2232;28;O
2237;40;O
2239;15;O
2242;19;O
2249;37;O
2250;16;O
2259;23;O
2260;16;O
2262;16;O
2263;55;O
2273;27;O
2281;15;O
2292;18;O
2297;26;O
2298;22;O
2300;16;O
2315;15;O
2321;19;O
2324;14;O
2329;25;O
2334;97;O
2338;18;O
2344;30;O
2347;37;O
2350;15;O
2361;16;O
2364;33;O
2364;38;O
2376;40;O
2377;31;O
2378;23;O
2388;17;O
2394;19;O
2404;24;O
2405;29;O
2409;52;O
2415;36;O
2419;22;O
2422;31;O
2425;18;O
2435;18;O
2435;16;O
2440;26;O
2441;26;O
2454;50;O
2460;23;O
2462;37;O
2462;24;O
2465;16;O
2469;24;O
2470;22;O
2481;14;O
2482;13;O
2490;13;O
2504;18;O
2514;15;O
2514;19;O
2523;25;O
2526;21;O
2532;20;O
2532;17;O
2543;14;O
2552;12;O
2552;17;O
2559;24;O
2565;20;O
2565;16;O
2575;15;O
2575;19;O
2587;13;O
2590;24;O
2594;14;O
2598;22;O
2612;18;O
2616;19;O
2622;17;O
2628;14;O
2629;22;O
2630;20;O
2634;48;O
2634;17;O
2645;19;O
2646;16;O
2653;33;O
2654;14;O
2663;24;O
2664;28;O
2672;32;O
2675;15;O
2693;13;O
2693;16;O
2701;31;O
2701;47;O
2704;17;O
2705;38;O
2712;22;O
2718;33;O
2718;21;O
2726;16;O
2728;38;O
2730;56;O
2731;24;O
2739;19;O
2746;17;O
2748;18;O
2755;15;O
2759;20;O
2759;22;O
2775;48;O
2782;23;O
2783;33;O
2784;16;O
2786;15;O
2789;31;O
2793;16;O
2794;47;O
2795;14;O
2803;15;O
2811;21;O
2813;36;O
2818;21;O
2827;17;O
2827;13;O
2837;14;O
2842;22;O
2850;29;O
2860;20;O
2869;15;O
2870;21;O
2872;34;O
2879;45;O
2883;29;O
2885;25;O
2915;16;O
2916;18;O
2923;15;O
2927;37;O
2942;14;O
2952;18;O
2956;18;O
2963;15;O
2973;19;O
2989;16;O
2989;31;O
2995;27;O
3003;35;O
3004;16;O
3008;28;O
3016;18;O
3019;21;O
3029;21;O
3032;32;O
3034;24;O
3038;20;O
3045;16;O
3045;17;O
3046;37;O
3048;27;O
3050;29;O
3052;39;O
3062;21;O
3066;18;O
3068;16;O
3070;19;O
3076;14;O
3081;22;O
3084;23;O
3084;15;O
3091;14;O
3103;22;O
3105;16;O
3113;23;O
3126;25;O
3127;14;O
3136;27;O
3147;14;O
3149;19;O
3154;43;O
3161;62;O
3169;20;O
3173;34;O
3178;39;O
3187;17;O
3187;14;O
3189;24;O
3196;13;O
3197;41;O
3198;19;O
3212;33;O
3218;18;O
3226;13;O
3231;22;O
3231;22;O
3249;15;O
3258;14;O
3263;23;O
3271;30;O
3271;21;O
3286;16;O
3288;14;O
3300;20;O
3303;35;O
3305;15;O
3309;28;O
3320;20;O
3326;27;O
3329;15;O
3330;22;O
3334;14;O
3334;24;O
3348;18;O
3348;64;O
3355;35;O
3358;15;O
3361;22;O
