#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
60;42;133;0;55.74;0;55.74;0;0.56
119.97;82;261;0;112.46;0;115.47;0;0.56
179.96;114;418;0;155.15;0;174.36;0;0.59
239.96;158;567;0;192.91;0;233.23;0;0.57
299.81;211;705;0;199.42;0;291.19;0;0.56
360;260;836;0;215.26;0;349.96;0;0.55
419.78;298;939;0;233.12;0;408.47;0;0.57
479.96;298;934;0;232.06;0;466.97;0;0.57
539.92;298;928;0;207.75;0;524.9;0;0.57
599.91;298;924;0;225.61;0;583.7;0;0.58
659.98;298;918;0;213.61;0;641.61;0;0.59
719.71;298;912;0;201.57;0;699.16;0;0.58
779.65;298;907;0;204.86;0;757.13;0;0.59
839.99;298;903;0;217.64;0;815.78;0;0.59
899.8;298;898;0;217.76;0;873.65;0;0.56
959.97;298;892;0;208.98;0;931.47;0;0.58
1019.7;298;886;0;202.91;0;988.83;0;0.59
1079.61;298;884;0;237.63;0;1047.91;0;0.59
1139.96;298;877;0;214.95;0;1105.61;0;0.6
1199.86;298;874;0;237.12;0;1164.27;0;0.64
1259.88;298;871;0;260.52;0;1223.36;0;0.64
1319.93;298;864;0;229.11;0;1281.28;0;0.63
1379.69;298;858;0;213.77;0;1339.18;0;0.63
1439.96;298;854;0;223.1;0;1398.1;0;0.62
1499.86;298;849;0;224.91;0;1456.45;0;0.62
1559.82;298;842;0;198.54;0;1513.64;0;0.62
1619.96;298;839;0;221.39;0;1572.59;0;0.6
1679.99;298;834;0;220.59;0;1630.45;0;0.61
1739.73;298;827;0;206.28;0;1686.99;0;0.62
1799.65;298;822;0;207.93;0;1744.24;0;0.64
1859.98;298;818;0;223.66;0;1802.6;0;0.64
1919.8;298;812;0;218.41;0;1859.58;0;0.65
1979.96;298;808;0;227.63;0;1917.7;0;0.64
2039.82;298;802;0;222;0;1974.94;0;0.62
