#TimeStamp;Runtime;Requests
0.51;0.03;18
2.57;0;1
3.66;0;10
4.68;0;5
6.33;0;4
7.35;0;2
8.37;0;3
9.4;0;2
10.63;0;2
11.69;0;7
12.71;0;2
13.77;0;3
14.94;0;5
15.96;0;2
17.02;0;2
18.11;0;2
19.11;0;5
20.13;0;4
21.15;0;4
22.16;0;2
23.21;0;6
24.21;0;5
25.25;0;4
26.34;0;4
27.34;0;3
28.34;0;4
29.39;0;3
30.43;0;3
31.43;0;2
32.45;0;4
33.48;0;6
34.48;0;3
35.53;0;3
36.56;0;6
37.66;0;3
38.68;0;4
39.73;0;2
40.73;0;2
41.79;0;3
42.81;0;3
43.83;0;6
44.88;0;4
45.88;0;2
47.07;0;4
48.42;0;4
49.46;0;5
50.6;0;1
51.76;0;3
52.77;0;5
53.81;0;3
54.83;0;3
55.86;0;1
56.88;0;2
58.09;0;5
59.13;0;3
60.14;0;2
61.24;0;3
62.32;0;2
63.57;0;3
64.63;0;3
65.66;0;5
66.67;0;1
67.7;0;1
68.86;0;6
69.89;0;2
70.9;0;2
71.93;0;5
73.21;0;1
74.32;0;4
75.65;0;3
76.72;0;6
77.93;0;3
79.12;0;3
80.18;0;3
81.34;0;3
82.38;0;5
83.63;0;1
84.7;0;5
85.74;0;5
86.74;0;1
87.78;0;6
88.78;0;8
89.93;0;1
90.96;0;6
92.24;0;3
93.24;0;8
94.26;0;2
95.28;0;3
96.28;0;3
97.29;0;4
98.3;0;5
99.3;0;2
100.34;0;3
101.34;0;3
102.38;0;2
103.41;0;3
104.43;0;1
105.46;0;7
106.5;0;4
107.5;0;4
108.96;0;1
110.05;0;3
111.05;0;4
112.25;0;1
113.28;0;1
114.29;0;2
115.33;0;1
116.33;0;2
117.43;0;3
119.47;0;1
120.5;0;2
122.14;0;1
123.16;0;2
124.2;0;2
125.52;0;1
126.53;0;2
127.55;0;1
130.22;0;1
131.68;0;1
132.69;0;1
133.72;0;1
134.8;0;2
135.85;0;1
136.86;0;3
137.89;0;1
139.35;0;1
140.41;0;1
141.45;0;1
142.47;0;3
144.34;0;2
145.65;0;1
146.67;0;5
147.69;0;2
149.55;0;1
150.61;0;1
151.82;0;1
152.91;0;2
154;0;2
155.37;0;1
156.5;0;1
157.54;0;2
158.87;0;1
160.32;0;1
161.61;0;1
163.42;0;1
164.46;0;1
165.66;0;2
166.67;0;2
167.75;0;3
168.93;0;1
170.09;0;1
171.12;0;1
172.14;0;3
173.17;0;3
174.32;0;1
176.16;0;1
177.29;0;1
178.41;0;1
179.5;0;1
180.67;0;1
181.74;0;1
182.87;0;1
183.9;0;1
185.89;0;1
187;0;2
188.03;0;1
189.44;0;1
190.59;0;1
191.62;0;2
192.64;0;1
193.72;0;2
195.57;0;1
196.58;0;2
197.85;0;1
198.94;0;1
200.64;0;1
201.7;0;2
202.77;0;2
205.19;0;1
206.19;0;2
207.39;0;1
208.39;0;1
209.39;0;1
210.44;0;3
211.44;0;2
212.44;0;2
213.48;0;3
214.53;0;2
215.53;0;1
216.57;0;2
217.63;0;3
218.66;0;2
219.66;0;2
220.66;0;5
221.66;0;3
222.66;0;4
223.66;0;5
224.71;0;4
225.71;0;5
226.79;0;6
227.83;0;5
228.84;0;2
229.87;0;1
230.88;0;4
231.92;0;2
232.93;0;1
233.95;0;3
234.97;0;3
235.99;0;4
236.99;0;1
238.04;0;3
239.04;0;3
240.2;0;1
241.3;0;4
242.5;0;2
243.5;0;3
244.63;0;1
245.7;0;4
246.7;0;3
247.74;0;1
248.83;0;1
249.87;0;2
250.88;0;4
251.88;0;3
252.92;0;3
253.97;0;2
254.97;0;1
255.97;0;3
256.98;0;3
257.98;0;4
259.07;0;1
260.08;0;1
261.09;0;1
262.13;0;2
263.14;0;3
264.15;0;2
265.47;0;1
266.63;0;2
267.65;0;2
268.83;0;1
269.85;0;1
270.87;0;1
271.9;0;5
272.9;0;3
273.9;0;1
274.9;0;1
275.98;0;1
276.99;0;2
278.03;0;4
280.11;0;2
281.36;0;2
282.73;0;5
283.76;0;1
284.78;0;2
285.88;0;2
286.91;0;2
288.23;0;3
289.23;0;3
290.33;0;1
291.35;0;2
292.39;0;2
293.4;0;1
294.5;0;1
295.52;0;1
296.55;0;1
297.9;0;3
299.02;0;1
300.04;0;1
301.07;0;1
302.15;0;2
303.64;0;1
304.68;0;1
305.91;0;1
307;0;1
308.13;0;3
310.5;0;1
311.64;0;2
312.66;0;2
314.05;0;2
316.54;0;2
317.86;0;1
319.26;0;1
321.51;0;1
322.66;0;4
323.68;0;1
324.71;0;1
325.73;0;1
326.74;0;2
327.87;0;2
329.9;0;1
330.96;0;1
331.98;0;3
336.15;0;1
337.24;0;1
338.65;0;2
339.65;0;2
340.83;0;1
341.88;0;2
343.29;0;1
344.33;0;2
345.33;0;1
346.72;0;1
347.91;0;1
349.09;0;1
350.1;0;1
351.37;0;3
352.39;0;2
353.4;0;1
354.55;0;1
355.67;0;2
356.71;0;2
357.99;0;1
359.12;0;2
361.18;0;1
362.62;0;1
363.67;0;2
366.01;0;1
367.06;0;1
368.38;0;3
370.56;0;1
371.57;0;2
372.6;0;2
373.92;0;1
375.28;0;2
376.41;0;1
377.46;0;1
378.53;0;1
381.17;0;1
382.19;0;3
384.23;0;2
385.27;0;1
386.61;0;1
387.85;0;1
388.86;0;1
391.23;0;1
392.68;0;1
394.36;0;1
396.07;0;1
397.86;0;2
398.92;0;1
400;0;1
401.53;0;1
402.62;0;1
403.66;0;1
404.66;0;1
406.32;0;1
407.58;0;2
408.76;0;3
410.17;0;1
411.76;0;1
413.04;0;1
414.26;0;1
415.5;0;1
418.02;0;1
419.11;0;2
421.78;0;2
422.81;0;1
423.9;0;1
425.03;0;2
428.03;0;1
429.16;0;3
430.25;0;2
431.98;0;1
433.34;0;2
434.38;0;1
435.47;0;1
436.82;0;1
437.88;0;2
438.93;0;2
440;0;1
441;0;2
442.09;0;1
443.37;0;1
444.44;0;1
445.85;0;2
446.85;0;1
447.88;0;1
448.88;0;3
449.91;0;1
451.17;0;1
452.26;0;1
453.39;0;2
454.43;0;2
455.48;0;1
456.62;0;1
457.65;0;2
458.68;0;4
460;0;3
462.04;0;1
463.1;0;2
464.21;0;2
465.23;0;1
466.97;0;1
467.97;0;3
469.01;0;3
470.43;0;2
471.99;0;1
473.07;0;3
474.07;0;1
475.09;0;3
476.12;0;2
477.16;0;3
478.21;0;2
479.22;0;4
480.25;0;2
481.3;0;3
482.54;0;1
483.71;0;1
484.72;0;3
485.72;0;3
486.77;0;1
487.77;0;2
488.81;0;3
490.61;0;1
491.67;0;2
492.9;0;1
493.9;0;2
494.95;0;1
496.06;0;1
497.08;0;4
498.09;0;1
499.12;0;2
500.14;0;2
501.17;0;1
502.41;0;1
503.59;0;1
504.63;0;2
505.64;0;3
506.68;0;1
507.68;0;2
508.76;0;2
509.77;0;1
510.8;0;1
511.81;0;2
512.85;0;1
513.86;0;1
515.11;0;1
516.14;0;4
517.15;0;1
518.19;0;2
519.28;0;2
520.7;0;1
521.98;0;1
523.32;0;1
524.61;0;1
525.95;0;1
527.49;0;1
528.7;0;1
529.73;0;1
530.78;0;1
531.79;0;2
532.82;0;1
533.86;0;1
534.87;0;1
537.54;0;1
538.54;0;2
539.58;0;1
541.04;0;1
542.45;0;3
543.63;0;1
544.91;0;1
546.18;0;1
547.58;0;2
549.17;0;2
550.3;0;1
551.31;0;4
552.86;0;1
554.8;0;1
556.36;0;1
557.81;0;1
558.96;0;1
560;0;1
561.15;0;1
562.56;0;1
564.47;0;1
566.28;0;1
567.36;0;1
568.96;0;1
570.2;0;1
571.38;0;1
573.26;0;1
574.39;0;1
575.47;0;1
576.51;0;2
578.44;0;1
579.49;0;2
580.58;0;2
581.58;0;3
583.25;0;1
584.25;0;1
585.42;0;2
586.42;0;3
587.42;0;1
588.91;0;1
590;0;2
591.39;0;1
592.55;0;2
594.54;0;1
595.55;0;2
596.79;0;1
597.79;0;2
598.96;0;1
599.96;0;3
601.34;0;1
605.74;0;1
606.83;0;1
607.92;0;1
609.33;0;2
610.42;0;2
611.42;0;1
612.42;0;1
613.46;0;1
614.55;0;1
615.88;0;1
617.02;0;2
618.34;0;3
619.34;0;1
620.42;0;1
621.61;0;2
625.93;0;1
627.11;0;2
629.24;0;1
630.39;0;3
632.43;0;1
633.68;0;1
635.89;0;1
636.97;0;1
639.25;0;1
640.41;0;4
641.41;0;1
642.46;0;1
643.5;0;2
644.5;0;1
645.59;0;3
646.59;0;2
649.05;0;1
650.09;0;4
651.51;0;1
652.73;0;1
653.76;0;2
654.76;0;1
655.81;0;5
656.81;0;2
658.98;0;1
660;0;4
661.22;0;1
662.46;0;2
663.56;0;2
664.61;0;2
665.65;0;1
667.02;0;1
668.39;0;3
669.39;0;2
670.4;0;2
672.29;0;1
673.89;0;2
674.92;0;1
676.01;0;2
679.33;0;1
680.38;0;1
681.45;0;2
682.68;0;1
683.69;0;1
684.72;0;1
685.88;0;2
690.52;0;1
691.9;0;2
693.9;0;1
694.99;0;3
696.02;0;2
697.03;0;1
699.66;0;1
700.69;0;3
701.69;0;2
703.4;0;1
704.45;0;2
705.52;0;2
706.56;0;1
707.83;0;1
709.23;0;1
710.31;0;1
711.32;0;4
712.36;0;1
713.37;0;1
714.44;0;1
715.46;0;1
716.46;0;3
717.5;0;1
718.59;0;1
719.9;0;2
720.95;0;3
721.96;0;4
724.07;0;2
725.65;0;1
726.69;0;1
727.7;0;2
728.7;0;1
729.7;0;1
730.7;0;2
731.72;0;2
732.9;0;1
733.99;0;1
735.36;0;2
736.42;0;2
737.65;0;1
738.71;0;1
739.74;0;1
740.98;0;1
742.02;0;2
743.02;0;1
744.57;0;1
745.6;0;3
747.24;0;1
748.62;0;1
749.71;0;2
750.83;0;1
752.08;0;1
753.09;0;2
754.11;0;1
755.14;0;2
756.29;0;1
757.31;0;2
758.55;0;1
759.76;0;1
761.07;0;2
762.15;0;1
763.19;0;1
764.2;0;2
765.23;0;1
766.34;0;1
769.9;0;1
770.91;0;2
772.03;0;1
773.4;0;1
774.45;0;2
775.53;0;1
776.62;0;2
778.66;0;2
779.67;0;1
780.76;0;1
781.89;0;2
784.08;0;1
785.22;0;4
787.31;0;1
788.34;0;1
789.35;0;1
790.5;0;2
791.81;0;2
793.86;0;1
795.09;0;4
796.37;0;2
797.47;0;2
799.04;0;1
800.1;0;2
801.12;0;3
802.97;0;1
804.42;0;1
805.45;0;1
806.46;0;2
807.49;0;2
809.07;0;1
810.07;0;1
811.12;0;2
813.97;0;1
815;0;2
816.02;0;1
817.03;0;1
818.55;0;1
819.7;0;2
821.06;0;3
822.61;0;1
824.65;0;1
825.87;0;2
826.96;0;1
827.98;0;1
829.42;0;1
830.58;0;1
831.98;0;1
832.99;0;2
834.63;0;1
835.66;0;2
836.75;0;1
837.78;0;1
839.37;0;1
840.84;0;1
841.87;0;1
843.29;0;1
844.35;0;1
845.68;0;1
846.76;0;1
847.79;0;1
848.81;0;1
849.91;0;3
850.92;0;1
853.18;0;1
854.43;0;1
855.46;0;2
856.48;0;1
857.58;0;1
859.14;0;1
860.39;0;1
861.63;0;3
863.98;0;1
865.34;0;3
866.46;0;1
868.51;0;1
869.55;0;5
870.63;0;1
872.01;0;3
873.01;0;3
874.13;0;2
875.42;0;2
876.46;0;1
877.55;0;1
878.55;0;1
879.6;0;2
880.92;0;2
883.05;0;1
884.06;0;2
885.15;0;2
887.2;0;1
888.44;0;1
889.51;0;1
890.64;0;1
891.73;0;1
892.81;0;1
894.23;0;1
895.31;0;2
897.23;0;1
899.6;0;1
900.64;0;2
901.65;0;3
902.69;0;1
903.69;0;1
904.78;0;1
905.79;0;2
909.29;0;1
910.38;0;1
911.56;0;1
914.73;0;1
915.82;0;1
919.46;0;2
920.64;0;1
921.96;0;1
924.3;0;1
925.39;0;1
926.81;0;1
927.95;0;1
929.08;0;1
930.1;0;1
931.31;0;2
933.66;0;1
935.03;0;2
936.12;0;1
938.99;0;1
940.02;0;2
941.11;0;1
942.35;0;1
943.77;0;1
944.86;0;2
945.87;0;2
947.94;0;1
950.11;0;1
951.15;0;2
953.03;0;1
954.7;0;1
955.84;0;1
956.99;0;1
959.87;0;1
960.88;0;2
963.12;0;1
964.92;0;1
965.96;0;2
970.13;0;1
971.41;0;1
972.5;0;1
974.76;0;1
975.79;0;1
978.18;0;1
980.42;0;1
981.61;0;1
982.77;0;1
984.85;0;1
985.94;0;1
990.5;0;1
991.56;0;1
994.11;0;1
995.48;0;1
997.07;0;1
999.92;0;1
1000.99;0;1
1002.01;0;2
1004.76;0;1
1005.84;0;3
1008.06;0;1
1010.14;0;1
1011.51;0;1
1014.93;0;1
1016.02;0;2
1020.42;0;1
1021.52;0;2
1025.26;0;2
1026.26;0;1
1027.4;0;1
1028.8;0;1
1030.34;0;1
1031.34;0;1
1032.38;0;1
1033.38;0;1
1034.39;0;1
1035.46;0;1
1036.46;0;1
1037.51;0;1
1040.56;0;1
1041.9;0;1
1044.43;0;1
1045.63;0;2
1046.72;0;1
1047.83;0;2
1050.24;0;1
1051.96;0;1
1053.28;0;1
1054.28;0;2
1055.68;0;1
1056.8;0;1
1059.63;0;1
1060.8;0;1
1062.01;0;2
1063.01;0;2
1065.86;0;1
1067.22;0;1
1068.3;0;1
1069.75;0;1
1070.85;0;2
1071.94;0;2
1072.97;0;2
1074.1;0;1
1075.34;0;1
1076.43;0;1
1077.56;0;1
1078.57;0;2
1079.6;0;1
1080.61;0;2
1081.64;0;2
1082.65;0;2
1083.74;0;1
1084.79;0;1
1085.91;0;1
1087.1;0;1
1088.36;0;2
1089.37;0;1
1090.86;0;1
1091.95;0;1
1093.16;0;2
1095.45;0;1
1096.47;0;1
1097.49;0;2
1098.5;0;1
1099.53;0;2
1100.58;0;1
1101.58;0;2
1102.62;0;3
1103.66;0;1
1104.75;0;1
1105.79;0;2
1107.04;0;2
1108.26;0;3
1109.66;0;2
1111.2;0;2
1112.45;0;1
1113.5;0;3
1114.59;0;1
1115.64;0;2
1116.72;0;3
1117.84;0;1
1118.93;0;1
1119.96;0;2
1121.02;0;1
1122.05;0;3
1123.06;0;4
1125.46;0;1
1126.85;0;4
1127.86;0;1
1128.89;0;1
1129.91;0;1
1130.93;0;3
1132.02;0;2
1133.19;0;5
1134.3;0;1
1135.61;0;2
1136.64;0;2
1137.66;0;3
1138.69;0;1
1139.74;0;3
1140.82;0;1
1141.83;0;2
1142.87;0;3
1143.87;0;2
1144.91;0;1
1145.96;0;1
1147;0;1
1148.28;0;1
1149.43;0;2
1150.57;0;1
1151.6;0;3
1152.62;0;2
1153.96;0;2
1155;0;1
1156;0;4
1157.04;0;1
1158.05;0;2
1159.12;0;1
1161.25;0;1
1162.26;0;2
1163.3;0;1
1164.93;0;2
1166.17;0;1
1167.18;0;2
1168.43;0;1
1169.47;0;1
1170.6;0;2
1172.68;0;1
1173.72;0;1
1176.14;0;1
1177.26;0;1
1178.52;0;2
1179.68;0;1
1181.05;0;3
1182.1;0;1
1183.15;0;1
1185.89;0;2
1187.93;0;1
1188.94;0;1
1190.4;0;1
1191.4;0;2
1192.65;0;1
1195.69;0;1
1196.98;0;1
1198.07;0;2
1200.53;0;1
1202.48;0;1
1203.53;0;1
1204.62;0;1
1205.71;0;1
1206.74;0;2
1208.83;0;1
1210.24;0;1
1211.24;0;2
1212.24;0;1
1213.5;0;1
1214.54;0;1
1216.08;0;2
1217.09;0;1
1220.46;0;1
1221.58;0;1
1223.08;0;1
1224.25;0;1
1225.29;0;1
1226.51;0;1
1227.92;0;1
1230.81;0;1
1231.83;0;1
1232.85;0;1
1235.02;0;1
1236.12;0;1
1237.13;0;1
1243.47;0;2
1246.26;0;1
1248.84;0;1
1249.93;0;1
1251.76;0;1
1253.47;0;1
1254.57;0;1
1256.58;0;1
1258.3;0;1
1259.6;0;1
1260.6;0;1
1261.65;0;2
1263.49;0;1
1264.85;0;1
1266.2;0;1
1267.82;0;1
1268.86;0;2
1271.53;0;1
1272.98;0;1
1273.99;0;1
1276.57;0;1
1277.57;0;2
1278.57;0;2
1280.78;0;1
1281.79;0;1
1283.41;0;2
1284.41;0;2
1285.5;0;1
1286.88;0;1
1287.92;0;2
1289.01;0;2
1290.05;0;1
1291.09;0;2
1292.09;0;1
1293.11;0;1
1294.14;0;4
1295.18;0;3
1296.18;0;1
1297.27;0;2
1298.66;0;1
1299.81;0;2
1300.82;0;3
1302.87;0;1
1303.91;0;2
1305.33;0;1
1306.75;0;2
1307.84;0;1
1308.91;0;2
1309.93;0;2
1310.96;0;3
1311.97;0;1
1313;0;1
1314.1;0;2
1315.12;0;2
1316.14;0;1
1317.18;0;2
1318.18;0;1
1319.22;0;1
1320.23;0;2
1321.23;0;2
1322.27;0;1
1323.27;0;2
1324.35;0;3
1325.36;0;3
1326.41;0;1
1327.41;0;3
1328.41;0;4
1329.45;0;2
1330.5;0;3
1331.5;0;2
1332.58;0;3
1333.58;0;4
1334.58;0;2
1335.58;0;2
1336.76;0;3
1338.85;0;1
1339.85;0;2
1340.9;0;1
1341.9;0;2
1342.98;0;1
1344.03;0;3
1345.14;0;1
1346.71;0;1
1347.74;0;1
1349.97;0;1
1352.16;0;1
1354.05;0;1
