#TimeStamp;DistanceTraveled
59.91;698.92
119.88;568.47
180;380.18
239.89;355.37
299.99;413.46
360;340.71
419.97;346.73
479.99;426.84
539.63;474.84
599.96;302.07
659.89;266.02
719.94;340.99
779.71;369.98
839.92;444.11
899.98;479.04
959.96;283.53
1019.73;216.46
1079.78;329.63
1139.83;479.79
1199.98;397.67
1259.98;274.93
1319.89;260.11
1379.9;211.61
1439.87;285.73
1499.88;341.19
1559.79;354.98
1619.77;436.88
1679.99;374.84
1739.92;387.12
1799.8;428.2
1859.96;353.74
1919.9;254.35
1979.83;289.53
2039.84;355.7
2099.59;320.72
2159.78;398.44
2219.93;315.24
2279.91;344.04
2339.61;369.78
2399.77;336.7
2459.97;313.76
2519.95;432.7
2579.99;417.91
2639.92;365.54
2699.99;373.62
2759.97;409.29
2819.95;353.87
2879.92;423.48
2939.98;410.71
2999.86;279.96
3059.91;263.64
3119.84;328.96
3179.97;275.68
3239.97;317.49
3299.98;284.8
3359.88;197.93
3419.81;279.89
3479.88;309.61
3539.97;332.84
3599.95;347.93
3659.89;361.74
3719.7;398.86
3779.87;349.48
3839.95;337.47
3899.9;287.32
3959.96;306.01
4019.98;290.41
4079.98;448.14
4139.95;442.18
4199.65;286.65
4259.99;231
4319.8;322.33
4379.6;375.9
4439.66;361.65
4499.71;322.56
4559.79;321.69
4619.67;242.22
4679.86;421.71
4739.99;403.91
4799.97;450.3
4859.8;499.53
4919.77;383.57
4979.99;210.64
5039.72;222.88
5099.93;313.96
5159.94;264.59
5219.98;390.78
5279.99;405.7
5339.95;393.64
5400;480.66
5459.75;347.12
5519.83;431.18
5579.99;444.23
5639.98;306.26
5699.7;344.93
5759.68;458.22
5819.62;391.34
5879.88;295.34
5939.68;338.56
5999.63;330.21
6059.76;482.29
6119.81;386.73
6179.9;172.38
6239.98;249.37
6299.8;383.81
6359.76;347.35
6419.79;226.51
6479.98;326.19
6539.9;386.57
6599.88;460.27
6659.96;485.92
6719.99;442.67
6779.95;304.67
6839.83;391.38
6899.92;319.86
6959.88;321.77
7019.99;253.32
7079.96;339.84
7139.9;321.11
7199.72;385.31
7259.96;426.1
7319.97;479.39
7379.73;472.04
7439.96;382.28
7499.97;375.02
7559.86;317.42
7619.69;384.9
7679.99;389.58
7740;341.74
7799.67;291.41
7859.95;328.85
7919.91;308.71
7979.92;465.39
8040;514.4
8099.75;487.85
8159.98;438.25
8219.98;356.96
8279.98;386.76
8340;451.29
8399.72;364.32
8459.96;345.86
8519.93;413.06
8579.97;421.34
8640;380.35
8699.85;390.61
8759.88;369.37
8819.92;467.25
8879.98;444.3
8940;461.96
8999.88;353.06
9060;238.24
9119.97;254.84
9179.89;253.31
9239.82;486.88
9299.87;353.82
9359.59;245.87
9419.97;300.18
9479.83;292.91
9539.98;374.08
9599.89;413.18
9659.75;357.61
9720;303.28
9779.84;295.6
9839.99;462.84
9899.91;416.39
9959.99;504.62
10019.93;481.48
10079.96;357.2
10139.96;239.83
10199.84;364.03
10259.72;481.03
10319.75;400.23
10379.81;287.81
10439.99;371.72
10499.98;373.52
10559.9;383.74
10620;389.59
10679.96;439.21
10739.81;505.81
10799.94;556.44
10859.99;451.18
10919.83;295.98
10979.88;277.41
11039.62;366.01
11099.95;372.34
11159.8;372.05
11219.99;397.87
11279.72;404.88
11339.96;385.19
11399.89;269.58
11459.81;323.97
11519.96;398.12
11579.76;457.37
11639.95;464.71
11699.97;404.49
11759.89;467.01
11819.9;422.84
11879.99;313.34
11939.97;368.7
11999.93;407.16
12059.77;475.95
12119.78;386.45
12179.87;314.71
12240;286.77
12299.98;567.46
12359.93;311.24
12419.68;5.65
12480;0
12540;0
12600;0
12660;0
12720;0
12779.99;0
12839.99;0
12899.99;0
12959.99;0
13019.99;0
13079.99;0
13139.99;0
13199.99;0
13259.99;0
13319.99;0
13379.99;0
13439.99;0
13499.98;0
13559.98;0
13619.98;0
13679.98;0
13739.98;0
13799.98;0
13859.98;0
13919.98;0
13979.98;0
14039.98;0
14099.98;0
14159.97;0
14219.97;0
14279.97;0
14339.97;0
14399.97;0
14459.97;0
14519.97;0
14579.97;0
14639.97;0
14699.97;0
14759.97;0
14819.97;0
14879.96;0
14939.96;0
14999.96;0
15059.96;0
15119.96;0
15179.96;0
15239.96;0
15299.96;0
15359.96;0
15419.96;0
15479.96;0
15539.96;0
15600;0
15660;0
15720;0
15780;0
15840;0
15899.95;0
15959.99;0
16019.99;0
16079.99;0
16139.99;0
16199.99;0
16259.99;0
16319.94;0
16379.99;0
16439.99;0
16499.99;0
16559.99;0
16619.98;0
16679.98;0
16739.94;0
16799.98;0
16859.98;0
16919.98;0
16979.98;0
17039.98;0
17099.98;0
17159.93;0
17219.98;0
17279.98;0
17339.97;0
17399.97;0
17459.97;0
17519.97;0
17579.93;0
17639.97;0
17699.97;0
17759.97;0
17819.97;0
17879.97;0
17939.97;0
17999.92;0
18059.96;0
18119.96;0
18179.96;0
18239.96;0
18299.96;0
18359.96;0
18419.91;0
18479.96;0
18539.96;0
18599.96;0
18659.96;0
18719.95;0
18779.95;0
18839.91;0
18899.95;0
18959.95;0
19019.95;0
19079.95;0
19139.95;0
19199.95;0
19259.9;0
19319.95;0
19379.95;0
19439.94;0
19499.94;0
19559.94;0
19619.94;0
19679.9;0
19739.94;0
19799.94;0
19859.94;0
19919.94;0
19979.94;0
20039.94;0
20099.89;0
20159.93;0
20219.93;0
20279.93;0
20339.93;0
20399.93;0
20459.93;0
20519.88;0
20579.93;0
20639.93;0
20699.93;0
20759.93;0
20819.92;0
20879.92;0
20939.88;0
20999.92;0
21059.92;0
21119.92;0
21179.92;0
21239.92;0
21299.92;0
21359.87;0
21419.92;0
21479.92;0
21539.91;0
21599.91;0
21659.91;0
21719.91;0
21779.87;0
21839.91;0
21899.91;0
21959.91;0
22019.91;0
22079.91;0
22139.91;0
22199.86;0
22259.9;0
22319.9;0
22379.9;0
22439.9;0
22499.9;0
22559.9;0
22619.85;0
22679.9;0
22739.9;0
22799.9;0
22859.9;0
22919.89;0
22979.89;0
23039.85;0
23099.89;0
23159.89;0
23219.89;0
23279.89;0
23339.89;0
23399.89;0
23459.84;0
23519.89;0
23579.88;0
23639.88;0
23699.88;0
23759.88;0
23819.88;0
23879.84;0
23939.88;0
23999.88;0
24059.88;0
24119.88;0
24179.88;0
24239.87;0
24299.83;0
24359.87;0
24419.87;0
24479.87;0
24539.87;0
24599.87;0
24659.87;0
24719.82;0
24779.87;0
24839.87;0
24899.87;0
24959.86;0
25019.86;0
25079.86;0
25139.82;0
25199.86;0
25259.86;0
25319.86;0
25379.86;0
25439.86;0
25499.86;0
25559.81;0
25619.86;0
25679.85;0
25739.85;0
25799.85;0
25859.85;0
25919.85;0
25979.81;0
26039.85;0
26099.85;0
26159.85;0
26219.85;0
26279.85;0
26339.84;0
26399.8;0
26459.84;0
26519.84;0
26579.84;0
26639.84;0
26699.84;0
26759.84;0
26819.79;0
26879.84;0
26939.84;0
26999.84;0
27059.83;0
27119.83;0
27179.83;0
27239.79;0
27299.83;0
27359.83;0
27419.83;0
27479.83;0
27539.83;0
27599.83;0
27659.78;0
27719.83;0
27779.82;0
27839.82;0
27899.82;0
27959.82;0
28019.82;0
28079.78;0
28139.82;0
28199.82;0
28259.82;0
28319.82;0
28379.82;0
28439.81;0
28499.77;0
28559.81;0
28619.81;0
28679.81;0
28739.81;0
28799.81;0
28859.81;0
28919.76;0
28979.81;0
29039.81;0
29099.81;0
