#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;3;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
59.94;0;0;0;3;0/59.94;0/59.94,1/59.94,2/59.94;0/0;0/59.94,1/59.94,2/59.94;0/0;0/0,1/0,2/0;0/0;0/6,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0
119.85;0;3;0;3;0/119.85;0/86.35,1/119.85,2/119.85;0/0;0/119.85,1/119.85,2/119.85;0/0;0/0,1/0,2/0;0/0;0/2,1/3,2/0;0/0;0/0,1/0,2/0;0/0;0/3,1/0,2/0;0/0;0/4,1/0,2/0
179.91;0;6;0;3;0/179.91;0/120.69,1/160.19,2/170;0/0;0/179.91,1/179.91,2/179.91;0/0;0/0,1/0,2/0;0/0;0/0,1/1,2/3;0/0;0/0,1/0,2/0;0/0;0/5,1/1,2/0;0/0;0/6,1/2,2/1
239.93;0;10;0;3;0/239.93;0/180.71,1/210.37,2/200.25;0/0;0/239.93,1/239.93,2/239.93;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/5,1/2,2/3;0/0;0/6,1/3,2/4
299.98;0;10;0;3;0/299.98;0/240.76,1/270.42,2/260.3;0/0;0/299.98,1/299.98,2/299.98;0/0;0/0,1/0,2/0;0/0;0/4,1/3,2/0;0/0;0/0,1/0,2/0;0/0;0/5,1/2,2/3;0/0;0/6,1/3,2/4
359.99;0;16;0;3;0/359.99;0/261.58,1/319.47,2/320.31;0/0;0/359.99,1/359.99,2/359.99;0/0;0/0,1/0,2/0;0/0;0/0,1/1,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/4,2/3;0/0;0/10,1/5,2/4
420;0;17;0;3;0/420;0/321.59,1/360.8,2/380.32;0/0;0/420,1/420,2/420;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
479.98;0;17;0;3;0/479.98;0/381.57,1/420.77,2/440.3;0/0;0/479.98,1/479.98,2/479.98;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
539.96;0;17;0;3;0/539.96;0/441.56,1/480.76,2/500.29;0/0;0/539.96,1/539.96,2/539.96;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/0,1/0,2/0;0/0;0/9,1/5,2/3;0/0;0/10,1/6,2/4
