#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.94;1;18;0;0;0;0;0;0;0;0;0
1199.97;1;18;0;0;0;0;0;0;0;0;0
1799.68;0.99;18;0;0;0;0;0;0;0;0;0
2399.78;0.99;18;0;0;0;0;0;0;0;0;0
2999.92;0.99;18;0;0;0;0;0;0;0;0;0
3599.73;0.99;18;0;0;0;0;0;0;0;0;0
4199.87;0.98;18;0;0;0;0;0;0;0;0;0
4799.85;0.98;18;0;0;0;0;0;0;0;0;0
5399.87;0.98;18;0;0;0;0;0;0;0;0;0
5999.96;0.98;18;0;0;0;0;0;0;0;0;0
6599.96;0.97;18;0;0;0;0;0;0;0;0;0
7199.99;0.97;18;0;0;0;0;0;0;0;0;0
7799.93;0.97;18;0;0;0;0;0;0;0;0;0
8399.76;0.97;18;0;0;0;0;0;0;0;0;0
8999.96;0.96;18;0;0;0;0;0;0;0;0;0
9599.65;0.96;18;0;0;0;0;0;0;0;0;0
10199.76;0.96;18;0;0;0;0;0;0;0;0;0
10799.73;0.96;18;0;0;0;0;0;0;0;0;0
11399.73;0.96;18;0;0;0;0;0;0;0;0;0
11999.73;0.96;18;0;0;0;0;0;0;0;0;0
12599.73;0.96;18;0;0;0;0;0;0;0;0;0
13199.73;0.96;18;0;0;0;0;0;0;0;0;0
13799.73;0.96;18;0;0;0;0;0;0;0;0;0
14399.73;0.96;18;0;0;0;0;0;0;0;0;0
14999.73;0.96;18;0;0;0;0;0;0;0;0;0
15599.73;0.96;18;0;0;0;0;0;0;0;0;0
16199.73;0.96;18;0;0;0;0;0;0;0;0;0
16799.73;0.96;18;0;0;0;0;0;0;0;0;0
17399.73;0.96;18;0;0;0;0;0;0;0;0;0
17999.73;0.96;18;0;0;0;0;0;0;0;0;0
18599.73;0.96;18;0;0;0;0;0;0;0;0;0
19199.73;0.96;18;0;0;0;0;0;0;0;0;0
19799.73;0.96;18;0;0;0;0;0;0;0;0;0
20399.73;0.96;18;0;0;0;0;0;0;0;0;0
20999.73;0.96;18;0;0;0;0;0;0;0;0;0
21599.73;0.96;18;0;0;0;0;0;0;0;0;0
22199.73;0.96;18;0;0;0;0;0;0;0;0;0
22799.73;0.96;18;0;0;0;0;0;0;0;0;0
23399.73;0.96;18;0;0;0;0;0;0;0;0;0
23999.73;0.96;18;0;0;0;0;0;0;0;0;0
24599.73;0.96;18;0;0;0;0;0;0;0;0;0
25199.73;0.96;18;0;0;0;0;0;0;0;0;0
25799.73;0.96;18;0;0;0;0;0;0;0;0;0
26399.73;0.96;18;0;0;0;0;0;0;0;0;0
26999.73;0.96;18;0;0;0;0;0;0;0;0;0
27599.73;0.96;18;0;0;0;0;0;0;0;0;0
28199.73;0.96;18;0;0;0;0;0;0;0;0;0
28799.73;0.96;18;0;0;0;0;0;0;0;0;0
29399.73;0.96;18;0;0;0;0;0;0;0;0;0
29999.73;0.96;18;0;0;0;0;0;0;0;0;0
