#TimeStamp;Runtime;Requests
0.54;0.03;6
4.1;0;1
6;0;1
7.28;0;3
8.67;0;2
9.95;0;1
11.5;0;1
13.17;0;1
14.84;0;1
15.85;0;1
16.91;0;1
18.09;0;1
22.43;0;1
23.76;0;1
24.92;0;2
26.26;0;1
27.44;0;2
28.46;0;1
30.93;0;1
31.96;0;1
32.97;0;1
34.13;0;1
35.13;0;2
36.17;0;1
37.26;0;1
38.54;0;2
39.63;0;1
40.77;0;1
42;0;1
43.06;0;2
46.08;0;1
47.11;0;1
48.29;0;1
49.55;0;1
50.83;0;1
51.94;0;1
53.79;0;1
55;0;1
56.15;0;1
57.4;0;1
58.61;0;1
60.97;0;1
62.07;0;1
63.24;0;3
65.71;0;1
66.72;0;2
68.01;0;1
69.21;0;3
73.38;0;1
74.76;0;1
76.71;0;1
78.93;0;1
80.98;0;1
82.07;0;1
83.24;0;1
86.52;0;1
87.68;0;2
88.68;0;1
91.02;0;1
92.24;0;1
93.24;0;1
94.51;0;1
96.89;0;1
97.96;0;1
104.8;0;1
107.13;0;1
108.89;0;1
112.63;0;1
113.89;0;1
117.13;0;1
118.13;0;1
119.4;0;1
122.06;0;1
124.1;0;1
125.31;0;1
126.89;0;2
131.06;0;3
133.23;0;2
134.32;0;1
136.36;0;1
137.61;0;2
139.03;0;1
141.23;0;1
142.4;0;1
143.66;0;2
145.27;0;1
146.38;0;2
147.52;0;1
150.55;0;1
151.69;0;1
153.38;0;1
154.4;0;2
156.65;0;1
157.8;0;2
162.64;0;1
163.73;0;1
164.85;0;1
166.4;0;1
167.51;0;1
170.35;0;1
171.75;0;1
173.02;0;1
174.32;0;1
176.52;0;1
177.55;0;2
180.42;0;1
181.51;0;2
183.98;0;1
186.6;0;1
187.73;0;1
190.81;0;1
197.24;0;1
198.33;0;1
202.47;0;1
203.83;0;1
207.32;0;1
208.39;0;1
209.73;0;2
212.15;0;1
213.9;0;1
216.85;0;1
217.88;0;2
219.4;0;1
221.69;0;1
224.72;0;1
227.31;0;1
228.48;0;1
229.88;0;1
230.97;0;1
231.97;0;1
233.16;0;1
237.42;0;1
238.51;0;1
241.33;0;1
242.68;0;1
243.83;0;1
246.5;0;1
247.69;0;1
248.96;0;1
250.11;0;1
251.86;0;1
252.98;0;1
254.74;0;1
258.32;0;1
259.35;0;1
260.68;0;1
263.82;0;1
264.85;0;1
267.76;0;1
268.83;0;2
270.34;0;1
272.28;0;1
273.44;0;1
274.62;0;1
276.11;0;1
277.65;0;1
278.73;0;1
281.56;0;1
282.73;0;1
