#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.91;0;0;0;2;0/59.91;0/59.91,1/59.91;0/0;0/59.91,1/59.91;0/0;0/34,1/42;0/0;0/40,1/42;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.98;0;3;0;2;0/119.98;0/80.43,1/98.28;0/0;0/119.98,1/119.98;0/0;0/33,1/37;0/0;0/35,1/39;0/0;0/0,1/0;0/0;0/3,1/0;0/0;0/5,1/3
179.96;0;9;0;2;0/179.96;0/81.84,1/114.54;0/0;0/179.96,1/179.96;0/0;0/33,1/36;0/0;0/36,1/38;0/0;0/0,1/0;0/0;0/6,1/3;0/0;0/11,1/7
240;0;15;0;2;0/240;0/82.34,1/119.83;0/0;0/240,1/240;0/0;0/31,1/39;0/0;0/34,1/41;0/0;0/0,1/0;0/0;0/9,1/6;0/0;0/16,1/13
299.99;0;20;0;2;0/299.99;0/87.89,1/120.73;0/0;0/299.99,1/299.99;0/0;0/33,1/33;0/0;0/34,1/37;0/0;0/0,1/0;0/0;0/12,1/8;0/0;0/22,1/19
359.94;0;27;0;2;0/359.94;0/99.97,1/134;0/0;0/359.94,1/359.94;0/0;0/32,1/36;0/0;0/35,1/39;0/0;0/0,1/0;0/0;0/15,1/12;0/0;0/27,1/23
419.9;0;31;0;2;0/419.9;0/101.22,1/150;0/0;0/419.9,1/419.9;0/0;0/28,1/39;0/0;0/32,1/40;0/0;0/0,1/0;0/0;0/16,1/15;0/0;0/33,1/28
479.78;0;37;0;2;0/479.78;0/104.11,1/152.74;0/0;0/479.78,1/479.78;0/0;0/40,1/35;0/0;0/41,1/39;0/0;0/0,1/0;0/0;0/20,1/17;0/0;0/39,1/34
539.91;0;43;0;2;0/539.91;0/105.79,1/153.85;0/0;0/539.91,1/539.91;0/0;0/36,1/33;0/0;0/37,1/36;0/0;0/0,1/0;0/0;0/23,1/20;0/0;0/45,1/40
599.68;0;51;0;2;0/599.68;0/119.46,1/158.46;0/0;0/599.68,1/599.68;0/0;0/34,1/37;0/0;0/37,1/39;0/0;0/0,1/0;0/0;0/26,1/25;0/0;0/49,1/45
659.92;0;60;0;2;0/659.92;0/130.73,1/172.05;0/0;0/659.92,1/659.92;0/0;0/32,1/35;0/0;0/35,1/37;0/0;0/0,1/0;0/0;0/31,1/29;0/0;0/54,1/50
719.8;0;68;0;2;0/719.8;0/131.76,1/186.93;0/0;0/719.8,1/719.8;0/0;0/35,1/27;0/0;0/35,1/32;0/0;0/0,1/0;0/0;0/35,1/33;0/0;0/60,1/55
779.85;0;73;0;2;0/779.85;0/169.13,1/188.29;0/0;0/779.85,1/779.85;0/0;0/33,1/26;0/0;0/35,1/29;0/0;0/0,1/0;0/0;0/37,1/36;0/0;0/63,1/61
839.93;0;76;0;2;0/839.93;0/190.45,1/189.56;0/0;0/839.93,1/839.93;0/0;0/31,1/22;0/0;0/32,1/26;0/0;0/0,1/0;0/0;0/39,1/37;0/0;0/66,1/67
899.99;0;84;0;2;0/899.99;0/203.97,1/191.58;0/0;0/899.99,1/899.99;0/0;0/33,1/27;0/0;0/36,1/29;0/0;0/0,1/0;0/0;0/42,1/42;0/0;0/71,1/73
959.92;0;91;0;2;0/959.92;0/205.27,1/210.64;0/0;0/959.92,1/959.92;0/0;0/28,1/30;0/0;0/33,1/31;0/0;0/0,1/0;0/0;0/45,1/46;0/0;0/77,1/77
1019.81;0;96;0;2;0/1019.81;0/206.77,1/231.45;0/0;0/1019.81,1/1019.81;0/0;0/27,1/27;0/0;0/30,1/30;0/0;0/0,1/0;0/0;0/49,1/47;0/0;0/83,1/81
1079.59;0;102;0;2;0/1079.59;0/214.71,1/233.13;0/0;0/1079.59,1/1079.59;0/0;0/34,1/24;0/0;0/36,1/27;0/0;0/0,1/0;0/0;0/52,1/50;0/0;0/88,1/87
1139.89;0;108;0;2;0/1139.89;0/236.39,1/235.15;0/0;0/1139.89,1/1139.89;0/0;0/30,1/31;0/0;0/32,1/34;0/0;0/0,1/0;0/0;0/55,1/53;0/0;0/92,1/93
1199.99;0;112;0;2;0/1199.99;0/237.77,1/248.13;0/0;0/1199.99,1/1199.99;0/0;0/24,1/29;0/0;0/29,1/30;0/0;0/0,1/0;0/0;0/56,1/56;0/0;0/98,1/97
1259.71;0;114;0;2;0/1259.71;0/238.36,1/297.89;0/0;0/1259.71,1/1259.71;0/0;0/21,1/34;0/0;0/26,1/35;0/0;0/0,1/0;0/0;0/57,1/57;0/0;0/104,1/98
1319.92;0;117;0;2;0/1319.92;0/239.71,1/343.7;0/0;0/1319.92,1/1319.92;0/0;0/22,1/30;0/0;0/25,1/33;0/0;0/0,1/0;0/0;0/59,1/58;0/0;0/110,1/100
1379.96;0;124;0;2;0/1379.96;0/249.03,1/344.69;0/0;0/1379.96,1/1379.96;0/0;0/26,1/28;0/0;0/27,1/33;0/0;0/0,1/0;0/0;0/63,1/61;0/0;0/115,1/106
1439.72;0;129;0;2;0/1439.72;0/259.43,1/346.94;0/0;0/1439.72,1/1439.72;0/0;0/30,1/30;0/0;0/30,1/34;0/0;0/0,1/0;0/0;0/66,1/63;0/0;0/121,1/112
1499.99;0;135;0;2;0/1499.99;0/271.58,1/349;0/0;0/1499.99,1/1499.99;0/0;0/29,1/33;0/0;0/32,1/34;0/0;0/0,1/0;0/0;0/68,1/67;0/0;0/125,1/118
1559.75;0;140;0;2;0/1559.75;0/281.64,1/369.22;0/0;0/1559.75,1/1559.75;0/0;0/27,1/33;0/0;0/30,1/35;0/0;0/0,1/0;0/0;0/70,1/70;0/0;0/130,1/122
1619.99;0;147;0;2;0/1619.99;0/283.78,1/370.43;0/0;0/1619.99,1/1619.99;0/0;0/24,1/30;0/0;0/27,1/32;0/0;0/0,1/0;0/0;0/74,1/73;0/0;0/136,1/128
1679.65;0;155;0;2;0/1679.65;0/285.03,1/389.22;0/0;0/1679.65,1/1679.65;0/0;0/28,1/31;0/0;0/31,1/31;0/0;0/0,1/0;0/0;0/78,1/77;0/0;0/142,1/132
1739.85;0;158;0;2;0/1739.85;0/286.6,1/424.12;0/0;0/1739.85,1/1739.85;0/0;0/27,1/33;0/0;0/31,1/33;0/0;0/0,1/0;0/0;0/80,1/78;0/0;0/148,1/134
1799.97;0;161;0;2;0/1799.97;0/287.97,1/469.21;0/0;0/1799.97,1/1799.97;0/0;0/31,1/27;0/0;0/33,1/31;0/0;0/0,1/0;0/0;0/82,1/79;0/0;0/154,1/136
1859.89;0;166;0;2;0/1859.89;0/299.74,1/469.98;0/0;0/1859.89,1/1859.89;0/0;0/34,1/20;0/0;0/35,1/25;0/0;0/0,1/0;0/0;0/85,1/81;0/0;0/159,1/142
1919.95;0;170;0;2;0/1919.95;0/328.06,1/471.88;0/0;0/1919.95,1/1919.95;0/0;0/38,1/30;0/0;0/39,1/34;0/0;0/0,1/0;0/0;0/86,1/84;0/0;0/162,1/148
1979.69;0;176;0;2;0/1979.69;0/368.03,1/473.49;0/0;0/1979.69,1/1979.69;0/0;0/33,1/32;0/0;0/37,1/34;0/0;0/0,1/0;0/0;0/88,1/88;0/0;0/164,1/154
2039.86;0;184;0;2;0/2039.86;0/389.11,1/490.38;0/0;0/2039.86,1/2039.86;0/0;0/34,1/34;0/0;0/36,1/37;0/0;0/0,1/0;0/0;0/92,1/92;0/0;0/168,1/158
2099.58;0;187;0;2;0/2099.58;0/409.63,1/491.99;0/0;0/2099.58,1/2099.58;0/0;0/34,1/28;0/0;0/35,1/33;0/0;0/0,1/0;0/0;0/94,1/93;0/0;0/172,1/164
2159.63;0;193;0;2;0/2159.63;0/451,1/493.38;0/0;0/2159.63,1/2159.63;0/0;0/29,1/34;0/0;0/33,1/36;0/0;0/0,1/0;0/0;0/96,1/97;0/0;0/174,1/170
2219.96;0;198;0;2;0/2219.96;0/452.73,1/511.2;0/0;0/2219.96,1/2219.96;0/0;0/28,1/36;0/0;0/33,1/37;0/0;0/0,1/0;0/0;0/98,1/100;0/0;0/180,1/174
2279.58;0;201;0;2;0/2279.58;0/454.6,1/560.86;0/0;0/2279.58,1/2279.58;0/0;0/32,1/34;0/0;0/36,1/36;0/0;0/0,1/0;0/0;0/100,1/101;0/0;0/186,1/175
2339.78;0;205;0;2;0/2339.78;0/456.78,1/567.99;0/0;0/2339.78,1/2339.78;0/0;0/34,1/30;0/0;0/37,1/33;0/0;0/0,1/0;0/0;0/102,1/103;0/0;0/192,1/181
2399.87;0;212;0;2;0/2399.87;0/458.26,1/569.27;0/0;0/2399.87,1/2399.87;0/0;0/33,1/27;0/0;0/34,1/30;0/0;0/0,1/0;0/0;0/106,1/106;0/0;0/198,1/187
2459.84;0;214;0;2;0/2459.84;0/505.56,1/571.12;0/0;0/2459.84,1/2459.84;0/0;0/41,1/26;0/0;0/42,1/30;0/0;0/0,1/0;0/0;0/106,1/108;0/0;0/199,1/193
2519.92;0;220;0;2;0/2519.92;0/527.19,1/572.27;0/0;0/2519.92,1/2519.92;0/0;0/39,1/29;0/0;0/42,1/30;0/0;0/0,1/0;0/0;0/108,1/112;0/0;0/203,1/199
2579.86;0;223;0;2;0/2579.86;0/547.33,1/574.26;0/0;0/2579.86,1/2579.86;0/0;0/42,1/31;0/0;0/44,1/34;0/0;0/0,1/0;0/0;0/110,1/113;0/0;0/207,1/205
2639.71;0;226;0;2;0/2639.71;0/558.36,1/576.09;0/0;0/2639.71,1/2639.71;0/0;0/45,1/27;0/0;0/46,1/31;0/0;0/0,1/0;0/0;0/112,1/114;0/0;0/212,1/211
