#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.92;1;18;0;0;0;0;0;0;0;0;0
1199.99;0.99;18;0;0;0;0;0;0;0;0;0
1799.8;0.99;18;0;0;0;0;0;0;0;0;0
2399.94;0.98;18;0;0;0;0;0;0;0;0;0
2999.89;0.98;18;0;0;0;0;0;0;0;0;0
3599.69;0.98;18;0;0;0;0;0;0;0;0;0
4199.71;0.97;18;0;0;0;0;0;0;0;0;0
4799.98;0.97;18;0;0;0;0;0;0;0;0;0
5399.73;0.97;18;0;0;0;0;0;0;0;0;0
5999.89;0.96;18;0;0;0;0;0;0;0;0;0
6599.9;0.96;18;0;0;0;0;0;0;0;0;0
7199.98;0.96;18;0;0;0;0;0;0;0;0;0
7799.88;0.96;18;0;0;0;0;0;0;0;0;0
8399.95;0.96;18;0;0;0;0;0;0;0;0;0
8999.85;0.96;18;0;0;0;0;0;0;0;0;0
9599.66;0.96;18;0;0;0;0;0;0;0;0;0
10199.83;0.96;18;0;0;0;0;0;0;0;0;0
10799.65;0.96;18;0;0;0;0;0;0;0;0;0
11399.82;0.96;18;0;0;0;0;0;0;0;0;0
11999.63;0.96;18;0;0;0;0;0;0;0;0;0
12599.96;0.96;18;0;0;0;0;0;0;0;0;0
13199.61;0.96;18;0;0;0;0;0;0;0;0;0
13799.98;0.96;18;0;0;0;0;0;0;0;0;0
14400;0.96;18;0;0;0;0;0;0;0;0;0
14999.96;0.96;18;0;0;0;0;0;0;0;0;0
15599.97;0.96;18;0;0;0;0;0;0;0;0;0
16199.78;0.96;18;0;0;0;0;0;0;0;0;0
16799.94;0.96;18;0;0;0;0;0;0;0;0;0
17399.75;0.96;18;0;0;0;0;0;0;0;0;0
17999.92;0.96;18;0;0;0;0;0;0;0;0;0
18599.74;0.96;18;0;0;0;0;0;0;0;0;0
19199.98;0.96;18;0;0;0;0;0;0;0;0;0
19799.73;0.96;18;0;0;0;0;0;0;0;0;0
20399.99;0.96;18;0;0;0;0;0;0;0;0;0
20999.7;0.96;18;0;0;0;0;0;0;0;0;0
21599.96;0.96;18;0;0;0;0;0;0;0;0;0
22199.67;0.96;18;0;0;0;0;0;0;0;0;0
22799.9;0.96;18;0;0;0;0;0;0;0;0;0
23399.65;0.96;18;0;0;0;0;0;0;0;0;0
23999.89;0.96;18;0;0;0;0;0;0;0;0;0
24599.64;0.96;18;0;0;0;0;0;0;0;0;0
25199.86;0.96;18;0;0;0;0;0;0;0;0;0
25800;0.96;18;0;0;0;0;0;0;0;0;0
26399.83;0.96;18;0;0;0;0;0;0;0;0;0
26999.97;0.96;18;0;0;0;0;0;0;0;0;0
27599.82;0.96;18;0;0;0;0;0;0;0;0;0
28200;0.96;18;0;0;0;0;0;0;0;0;0
28799.79;0.96;18;0;0;0;0;0;0;0;0;0
29399.96;0.96;18;0;0;0;0;0;0;0;0;0
29999.76;0.96;18;0;0;0;0;0;0;0;0;0
