#TimeStamp;BotsQueueing;TaskBotCounts
0;0;None/18,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/0
59.95;1;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
119.92;10;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/0
179.75;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
239.99;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
299.95;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
359.87;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
420;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
479.92;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
539.98;13;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
599.89;9;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
659.71;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
719.58;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
779.88;12;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
839.84;8;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
899.76;7;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
959.79;8;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1019.96;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1079.93;13;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
1140;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1199.96;9;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1259.82;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1319.62;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1379.97;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1439.99;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1500;7;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
1559.99;9;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
1619.99;7;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1679.7;11;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
1739.89;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1799.99;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1859.98;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
1919.98;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
1979.84;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2039.99;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2099.82;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2159.67;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2219.87;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2279.74;11;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/0
2339.94;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2399.97;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
2459.99;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2519.96;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2579.96;11;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
2639.74;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2699.99;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2759.92;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2819.93;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
2879.95;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
2939.74;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
2999.89;11;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
3059.92;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3120;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3179.77;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3239.8;8;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/0
3299.74;6;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/0
3359.92;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3419.96;9;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
3479.88;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3539.66;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
3599.59;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3659.66;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3719.97;9;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
3779.6;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3839.99;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
3899.79;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
3959.92;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
4019.94;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4079.87;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4139.98;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4199.95;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4259.71;10;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
4319.86;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
4379.9;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
4439.64;10;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
4499.8;9;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4559.97;4;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
4620;5;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4679.98;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4739.96;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4799.69;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4859.86;10;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
4919.86;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
4979.96;10;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
5039.94;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5099.89;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
5159.94;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5220;10;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/0
5279.87;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5339.98;10;None/0,ParkPod/3,RepositionPod/0,Insert/0,Extract/15,Rest/0
5399.95;6;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
5459.9;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5519.95;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5579.69;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
5639.78;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5699.94;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5759.79;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5819.98;12;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
5879.96;10;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5939.93;13;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
5999.67;11;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
6059.99;12;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
6119.85;11;None/0,ParkPod/1,RepositionPod/0,Insert/0,Extract/17,Rest/0
6179.99;12;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/16,Rest/0
6239.77;6;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/18,Rest/0
6300;2;None/0,ParkPod/11,RepositionPod/0,Insert/0,Extract/3,Rest/4
6359.78;0;None/0,ParkPod/2,RepositionPod/0,Insert/0,Extract/0,Rest/16
6419.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6479.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6539.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6599.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6659.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6719.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6779.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6839.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6899.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
6959.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7019.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7079.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7139.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7199.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7259.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7319.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7379.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7439.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7499.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7559.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7619.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7679.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7739.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7799.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7859.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7919.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
7979.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8039.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8099.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8159.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8219.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8279.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8339.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8399.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8459.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8519.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8579.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8639.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8699.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8759.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8819.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8879.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8939.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
8999.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9059.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9119.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9179.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9239.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9299.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9359.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9419.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9479.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9539.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9599.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9659.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9719.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9779.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9839.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9899.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
9959.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10019.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10079.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10139.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10199.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10259.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10319.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10379.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10439.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10499.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
10559.94;0;None/0,ParkPod/0,RepositionPod/0,Insert/0,Extract/0,Rest/18
