#TimeStamp;Bot;Pod;OutputStation
57.42;17;3;2
63.76;13;318;1
67.41;17;3;2
68.72;3;75;0
73.6;13;318;1
77.42;17;3;2
78.71;10;275;0
83.81;13;318;1
87.43;7;165;2
90.88;8;383;0
93.82;1;153;1
97.46;16;193;2
101;8;383;0
103.83;3;75;1
107.38;16;193;2
111.06;6;99;0
113.87;15;201;1
117.48;16;193;2
121.11;12;130;0
124;0;152;1
127.49;5;101;2
131.06;12;130;0
133.74;0;152;1
137.54;14;376;2
141.08;12;130;0
143.82;2;291;1
147.52;14;376;2
151.02;12;130;0
154.11;17;3;1
157.42;10;275;2
161.1;11;332;0
164.01;17;3;1
167.52;13;318;2
171.11;11;332;0
174.14;4;103;1
177.61;0;152;2
181.1;1;153;0
184.2;4;103;1
187.66;2;291;2
191.13;1;153;0
194.39;16;193;1
200.84;9;209;0
204.34;5;101;1
211.17;7;165;0
214.52;14;376;1
221.32;15;201;0
224.56;12;130;1
231.24;17;3;0
231.36;9;209;2
234.53;10;275;1
241.17;17;3;0
244.61;8;346;1
248.4;12;130;2
251.29;17;3;0
254.66;11;332;1
259.75;10;275;2
261.32;13;318;0
264.49;11;332;1
269.58;10;275;2
271.35;0;152;0
274.69;1;153;1
279.75;10;275;2
281.38;4;103;0
284.7;1;153;1
289.7;8;346;2
291.46;2;291;0
294.55;7;165;1
299.8;11;332;2
301.47;2;291;0
304.76;9;209;1
309.85;13;318;2
311.14;2;291;0
314.57;9;209;1
321.48;16;193;0
324.77;9;209;1
331.52;16;193;0
334.62;15;201;1
338.76;2;291;2
341.42;5;101;0
344.67;15;201;1
349.66;9;209;2
351.44;14;376;0
354.66;17;3;1
359.58;9;209;2
361.6;14;376;0
364.82;12;130;1
369.8;16;193;2
372.02;14;376;0
374.89;0;152;1
379.74;16;193;2
382.01;14;376;0
384.92;10;275;1
389.82;15;201;2
391.86;6;149;0
394.98;4;103;1
399.63;15;201;2
402.08;3;192;0
404.91;8;346;1
409.81;15;201;2
412.16;1;153;0
414.74;8;346;1
419.59;5;101;2
422.34;7;165;0
425.22;11;332;1
429.86;5;101;2
432.53;2;291;0
435.26;16;193;1
440.04;0;152;2
442.64;17;3;0
445.3;16;193;1
449.87;4;103;2
452.49;12;130;0
455.21;6;149;1
460.09;3;192;2
462.51;13;381;0
465.09;14;376;1
470.15;1;153;2
472.73;10;275;0
475.35;15;201;1
480;16;193;2
482.75;10;275;0
485.01;7;165;1
490.15;6;149;2
492.56;9;209;0
495.13;7;165;1
500;14;376;2
502.82;9;209;0
505.23;7;165;1
510.32;13;381;2
513.16;11;332;0
515.36;7;165;1
520.04;13;381;2
523.05;4;103;0
525.4;7;165;1
530.31;13;381;2
533.01;3;192;0
535.41;2;291;1
540.02;13;381;2
543.28;3;192;0
545.45;0;152;1
550.2;15;201;2
553.39;3;192;0
555.47;0;152;1
560.35;10;275;2
563.4;16;193;0
565.49;0;152;1
570.08;5;284;2
573.44;6;149;0
575.44;0;152;1
580.4;5;284;2
583.53;6;149;0
585.3;17;3;1
590.8;8;45;2
593.44;14;376;0
595.42;12;130;1
600.88;7;165;2
603.58;15;201;0
605.43;12;130;1
610.8;2;291;2
613.56;10;275;0
615.52;1;153;1
620.92;0;152;2
623.64;10;275;0
625.56;9;209;1
630.97;6;149;2
633.67;10;275;0
635.93;9;209;1
643.04;14;376;2
643.71;17;3;0
645.61;11;332;1
653.09;14;376;2
653.74;5;284;0
655.98;13;381;1
663.13;15;201;2
663.79;12;130;0
666.18;16;193;1
673.17;9;209;2
673.84;1;153;0
675.82;16;193;1
683.54;10;275;2
683.88;7;165;0
686.17;8;45;1
693.92;0;152;0
695.34;11;332;2
696.2;4;334;1
704;0;152;0
705.82;5;284;2
706.25;4;334;1
714.11;16;193;0
715.53;5;284;2
