#TimeStamp;Runtime;Requests
0.88;0.03;6
2.93;0;2
4.02;0;2
5.76;0;1
6.81;0;1
9.64;0;1
11.2;0;1
12.27;0;1
13.57;0;1
14.65;0;1
15.74;0;2
16.89;0;1
18.56;0;1
19.65;0;1
20.72;0;1
21.81;0;2
22.82;0;1
24.23;0;1
25.35;0;1
28.39;0;1
30.17;0;1
31.48;0;1
32.89;0;1
35.26;0;1
36.31;0;2
37.51;0;1
38.6;0;1
39.62;0;1
40.77;0;3
42.24;0;1
43.62;0;1
44.69;0;2
45.78;0;1
47.33;0;1
48.86;0;1
50.21;0;1
51.3;0;1
55.05;0;1
64.27;0;1
65.32;0;1
67.54;0;1
68.61;0;1
70.09;0;1
71.45;0;3
73.09;0;1
75.45;0;1
76.95;0;1
79.38;0;1
80.45;0;1
81.7;0;1
82.74;0;1
83.91;0;1
86.9;0;1
91.9;0;1
93.9;0;1
95.07;0;1
97.12;0;1
99.79;0;1
101.9;0;1
103.92;0;1
105.21;0;1
106.74;0;1
109.63;0;1
112.18;0;1
113.98;0;2
115.54;0;1
119.49;0;1
122.3;0;1
123.76;0;1
124.99;0;1
132.6;0;1
134.81;0;1
140.31;0;1
142.04;0;1
144.63;0;1
145.82;0;1
146.88;0;1
149.29;0;1
152.03;0;1
154.81;0;1
156.71;0;1
157.8;0;1
160.72;0;1
162.64;0;1
164.59;0;1
165.93;0;1
167;0;1
168.09;0;1
169.09;0;1
172.27;0;1
174.86;0;1
175.97;0;1
177.1;0;1
180.36;0;1
182.28;0;1
183.94;0;1
185.03;0;1
186.28;0;1
192.28;0;1
195.21;0;1
200.71;0;1
202.02;0;1
204.65;0;1
206.21;0;1
212.43;0;1
215.24;0;1
217.26;0;1
222.99;0;1
224.1;0;1
225.65;0;1
227.82;0;1
232.94;0;1
235.45;0;1
236.8;0;1
239.24;0;1
241.91;0;1
243;0;1
244.8;0;1
246.1;0;1
247.79;0;1
248.88;0;1
251.61;0;1
255.2;0;1
256.29;0;1
257.47;0;1
259.52;0;1
260.71;0;1
262.19;0;1
264.86;0;1
265.92;0;2
267.73;0;1
269.55;0;1
274.54;0;1
276.34;0;1
280.43;0;1
281.52;0;1
282.71;0;1
284.39;0;1
285.56;0;2
286.61;0;1
288.23;0;1
289.37;0;1
290.78;0;1
291.83;0;1
292.95;0;2
294.15;0;1
296.03;0;1
297.24;0;3
300;0;1
302.74;0;2
304.17;0;1
305.74;0;1
306.96;0;1
308.24;0;1
316.08;0;1
317.1;0;1
322.6;0;1
326.08;0;1
327.17;0;1
328.52;0;1
330.91;0;1
332.47;0;1
333.54;0;2
336.16;0;1
337.71;0;1
340.58;0;1
