#TimeStamp;MemoryUsage;RealTime;OverallControllerTimes
0;38.66;0.09;PP/0,TA/0,IS/0,PS/0,RB/0,OB/0.01,RP/0
59.97;39.94;0.29;PP/0.04,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
119.99;40.01;0.33;PP/0.05,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
179.86;40.02;0.35;PP/0.06,TA/0.04,IS/0,PS/0,RB/0,OB/0.02,RP/0
239.86;40.03;0.38;PP/0.06,TA/0.04,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
299.97;40.52;0.42;PP/0.06,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
359.94;40.52;0.44;PP/0.07,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
419.95;40.52;0.46;PP/0.07,TA/0.05,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
479.98;40.34;0.49;PP/0.08,TA/0.06,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
539.85;40.43;0.53;PP/0.08,TA/0.07,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
599.95;40.46;0.58;PP/0.09,TA/0.09,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
659.82;40.5;0.62;PP/0.1,TA/0.11,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
719.88;40.66;0.67;PP/0.12,TA/0.12,IS/0.01,PS/0,RB/0.01,OB/0.02,RP/0
779.88;40.66;0.68;PP/0.12,TA/0.12,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
839.69;40.82;0.71;PP/0.12,TA/0.13,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
899.74;40.57;0.73;PP/0.13,TA/0.13,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
959.78;40.57;0.75;PP/0.14,TA/0.13,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1019.82;40.57;0.77;PP/0.14,TA/0.13,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1079.83;40.57;0.78;PP/0.14,TA/0.13,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1139.97;40.7;0.8;PP/0.15,TA/0.13,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1199.99;40.97;0.83;PP/0.15,TA/0.14,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1259.98;40.68;0.88;PP/0.16,TA/0.19,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1319.86;40.68;0.93;PP/0.16,TA/0.23,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1379.82;40.72;0.98;PP/0.16,TA/0.27,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1439.66;40.76;1.03;PP/0.16,TA/0.32,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1499.62;40.8;1.08;PP/0.16,TA/0.36,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1559.88;40.84;1.12;PP/0.16,TA/0.4,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1619.83;40.88;1.17;PP/0.16,TA/0.44,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1679.8;40.92;1.22;PP/0.16,TA/0.48,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1739.99;40.97;1.26;PP/0.16,TA/0.53,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1799.6;41.01;1.31;PP/0.16,TA/0.57,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1859.98;40.74;1.36;PP/0.16,TA/0.62,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1919.82;40.78;1.41;PP/0.16,TA/0.66,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
1979.78;40.83;1.46;PP/0.16,TA/0.7,IS/0.02,PS/0,RB/0.01,OB/0.02,RP/0
