#TimeStamp;InventoryLevel;ContainedSKUCount;InvCombinedTotal;InvCombinedRank;InvCombinedAvgRank;InvSpeedTotal;InvSpeedRank;InvSpeedAvgRank;InvUtilityTotal;InvUtilityRank;InvUtilityAvgRank
0;1;18;0;0;0;0;0;0;0;0;0
599.83;1;18;0;0;0;0;0;0;0;0;0
1199.81;0.99;18;0;0;0;0;0;0;0;0;0
1799.62;0.99;18;0;0;0;0;0;0;0;0;0
2399.62;0.99;18;0;0;0;0;0;0;0;0;0
2999.62;0.99;18;0;0;0;0;0;0;0;0;0
3599.62;0.99;18;0;0;0;0;0;0;0;0;0
4199.62;0.99;18;0;0;0;0;0;0;0;0;0
4799.62;0.99;18;0;0;0;0;0;0;0;0;0
5399.62;0.99;18;0;0;0;0;0;0;0;0;0
5999.62;0.99;18;0;0;0;0;0;0;0;0;0
6599.62;0.99;18;0;0;0;0;0;0;0;0;0
7199.62;0.99;18;0;0;0;0;0;0;0;0;0
