#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;0;2;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
59.64;0;0;0;2;0/59.64;0/59.64,1/59.64;0/0;0/59.64,1/59.64;0/0;0/18,1/11;0/0;0/22,1/13;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0
119.91;0;4;0;2;0/119.91;0/82.76,1/88.43;0/0;0/119.91,1/119.91;0/0;0/26,1/19;0/0;0/28,1/22;0/0;0/0,1/0;0/0;0/3,1/1;0/0;0/4,1/4
179.72;0;9;0;2;0/179.72;0/83.76,1/90.48;0/0;0/179.72,1/179.72;0/0;0/33,1/23;0/0;0/35,1/26;0/0;0/0,1/0;0/0;0/5,1/4;0/0;0/10,1/10
239.98;0;16;0;2;0/239.98;0/89.91,1/92.42;0/0;0/239.98,1/239.98;0/0;0/38,1/37;0/0;0/39,1/40;0/0;0/0,1/0;0/0;0/9,1/7;0/0;0/16,1/16
299.95;0;21;0;2;0/299.95;0/112.92,1/93.69;0/0;0/299.95,1/299.95;0/0;0/38,1/35;0/0;0/40,1/38;0/0;0/0,1/0;0/0;0/11,1/10;0/0;0/19,1/22
359.6;0;27;0;2;0/359.6;0/118.16,1/95.16;0/0;0/359.6,1/359.6;0/0;0/36,1/43;0/0;0/39,1/45;0/0;0/0,1/0;0/0;0/14,1/13;0/0;0/25,1/27
419.82;0;30;0;2;0/419.82;0/119.35,1/115.81;0/0;0/419.82,1/419.82;0/0;0/33,1/45;0/0;0/37,1/47;0/0;0/0,1/0;0/0;0/15,1/15;0/0;0/31,1/31
479.97;0;37;0;2;0/479.97;0/120.92,1/141;0/0;0/479.97,1/479.97;0/0;0/38,1/41;0/0;0/38,1/47;0/0;0/0,1/0;0/0;0/20,1/17;0/0;0/37,1/35
539.95;0;42;0;2;0/539.95;0/144.43,1/141.79;0/0;0/539.95,1/539.95;0/0;0/36,1/40;0/0;0/37,1/44;0/0;0/0,1/0;0/0;0/22,1/20;0/0;0/41,1/41
599.94;0;45;0;2;0/599.94;0/147.25,1/143.27;0/0;0/599.94,1/599.94;0/0;0/35,1/38;0/0;0/37,1/41;0/0;0/0,1/0;0/0;0/24,1/21;0/0;0/47,1/47
659.73;0;52;0;2;0/659.73;0/154.02,1/156.68;0/0;0/659.73,1/659.73;0/0;0/33,1/40;0/0;0/35,1/43;0/0;0/0,1/0;0/0;0/27,1/25;0/0;0/52,1/52
719.76;0;60;0;2;0/719.76;0/169.48,1/162.62;0/0;0/719.76,1/719.76;0/0;0/29,1/35;0/0;0/31,1/38;0/0;0/0,1/0;0/0;0/31,1/29;0/0;0/56,1/57
779.68;0;65;0;2;0/779.68;0/196.7,1/164.4;0/0;0/779.68,1/779.68;0/0;0/25,1/29;0/0;0/27,1/32;0/0;0/0,1/0;0/0;0/33,1/32;0/0;0/60,1/63
839.86;0;69;0;2;0/839.86;0/220.72,1/165.4;0/0;0/839.86,1/839.86;0/0;0/23,1/21;0/0;0/24,1/26;0/0;0/0,1/0;0/0;0/36,1/33;0/0;0/63,1/69
899.99;0;78;0;2;0/899.99;0/240.88,1/171.86;0/0;0/899.99,1/899.99;0/0;0/16,1/19;0/0;0/20,1/20;0/0;0/0,1/0;0/0;0/39,1/39;0/0;0/67,1/75
959.65;0;83;0;2;0/959.65;0/241.96,1/178.02;0/0;0/959.65,1/959.65;0/0;0/8,1/15;0/0;0/14,1/15;0/0;0/0,1/0;0/0;0/41,1/42;0/0;0/73,1/80
1019.98;0;88;0;2;0/1019.98;0/243.93,1/198.41;0/0;0/1019.98,1/1019.98;0/0;0/5,1/8;0/0;0/8,1/11;0/0;0/0,1/0;0/0;0/45,1/43;0/0;0/79,1/84
1079.69;0;92;0;2;0/1079.69;0/246.13,1/200.17;0/0;0/1079.69,1/1079.69;0/0;0/1,1/2;0/0;0/2,1/5;0/0;0/0,1/0;0/0;0/47,1/45;0/0;0/85,1/90
1139.86;0;97;0;2;0/1139.86;0/284.62,1/216.52;0/0;0/1139.86,1/1139.86;0/0;0/0,1/0;0/0;0/0,1/1;0/0;0/0,1/0;0/0;0/49,1/48;0/0;0/87,1/94
1199.64;0;98;0;2;0/1199.64;0/344.41,1/266.55;0/0;0/1199.64,1/1199.64;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1259.98;0;98;0;2;0/1259.98;0/404.74,1/326.88;0/0;0/1259.98,1/1259.98;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1319.71;0;98;0;2;0/1319.71;0/464.48,1/386.62;0/0;0/1319.71,1/1319.71;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1379.65;0;98;0;2;0/1379.65;0/524.41,1/446.56;0/0;0/1379.65,1/1379.65;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1439.66;0;98;0;2;0/1439.66;0/584.43,1/506.57;0/0;0/1439.66,1/1439.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1499.66;0;98;0;2;0/1499.66;0/644.43,1/566.57;0/0;0/1499.66,1/1499.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1559.66;0;98;0;2;0/1559.66;0/704.43,1/626.57;0/0;0/1559.66,1/1559.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1619.66;0;98;0;2;0/1619.66;0/764.43,1/686.57;0/0;0/1619.66,1/1619.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1679.66;0;98;0;2;0/1679.66;0/824.43,1/746.57;0/0;0/1679.66,1/1679.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1739.66;0;98;0;2;0/1739.66;0/884.43,1/806.57;0/0;0/1739.66,1/1739.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1799.66;0;98;0;2;0/1799.66;0/944.43,1/866.57;0/0;0/1799.66,1/1799.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1859.66;0;98;0;2;0/1859.66;0/1004.43,1/926.57;0/0;0/1859.66,1/1859.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1919.66;0;98;0;2;0/1919.66;0/1064.43,1/986.57;0/0;0/1919.66,1/1919.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
1979.66;0;98;0;2;0/1979.66;0/1124.43,1/1046.57;0/0;0/1979.66,1/1979.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2039.66;0;98;0;2;0/2039.66;0/1184.43,1/1106.57;0/0;0/2039.66,1/2039.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2099.66;0;98;0;2;0/2099.66;0/1244.43,1/1166.57;0/0;0/2099.66,1/2099.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2159.66;0;98;0;2;0/2159.66;0/1304.43,1/1226.57;0/0;0/2159.66,1/2159.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2219.66;0;98;0;2;0/2219.66;0/1364.43,1/1286.57;0/0;0/2219.66,1/2219.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2279.66;0;98;0;2;0/2279.66;0/1424.43,1/1346.57;0/0;0/2279.66,1/2279.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2339.66;0;98;0;2;0/2339.66;0/1484.43,1/1406.57;0/0;0/2339.66,1/2339.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2399.66;0;98;0;2;0/2399.66;0/1544.43,1/1466.57;0/0;0/2399.66,1/2399.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2459.66;0;98;0;2;0/2459.66;0/1604.43,1/1526.57;0/0;0/2459.66,1/2459.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2519.66;0;98;0;2;0/2519.66;0/1664.43,1/1586.57;0/0;0/2519.66,1/2519.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2579.66;0;98;0;2;0/2579.66;0/1724.43,1/1646.57;0/0;0/2579.66,1/2579.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2639.66;0;98;0;2;0/2639.66;0/1784.43,1/1706.57;0/0;0/2639.66,1/2639.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2699.66;0;98;0;2;0/2699.66;0/1844.43,1/1766.57;0/0;0/2699.66,1/2699.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2759.66;0;98;0;2;0/2759.66;0/1904.43,1/1826.57;0/0;0/2759.66,1/2759.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2819.66;0;98;0;2;0/2819.66;0/1964.43,1/1886.57;0/0;0/2819.66,1/2819.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2879.66;0;98;0;2;0/2879.66;0/2024.43,1/1946.57;0/0;0/2879.66,1/2879.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2939.66;0;98;0;2;0/2939.66;0/2084.43,1/2006.57;0/0;0/2939.66,1/2939.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
2999.66;0;98;0;2;0/2999.66;0/2144.43,1/2066.57;0/0;0/2999.66,1/2999.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
3059.66;0;98;0;2;0/3059.66;0/2204.43,1/2126.57;0/0;0/3059.66,1/3059.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
3119.66;0;98;0;2;0/3119.66;0/2264.43,1/2186.57;0/0;0/3119.66,1/3119.66;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/0,1/0;0/0;0/49,1/49;0/0;0/87,1/95
