#TimeStamp;TripTime;Type
65;37;O
72;36;O
80;47;O
81;44;O
88;42;O
101;15;O
104;28;O
109;66;O
118;17;O
132;26;O
136;15;O
153;17;O
156;15;O
162;30;O
180;24;O
202;26;O
210;14;O
221;19;O
230;38;O
230;14;O
246;15;O
247;35;O
260;18;O
281;40;O
285;29;O
296;14;O
307;45;O
308;28;O
318;16;O
328;15;O
338;15;O
362;15;O
379;16;O
382;15;O
399;16;O
410;16;O
432;15;O
434;48;O
445;17;O
455;16;O
456;15;O
485;17;O
485;27;O
494;16;O
501;13;O
522;14;O
542;14;O
558;27;O
573;15;O
614;15;O
627;14;O
639;20;O
648;19;O
653;19;O
655;16;O
667;19;O
671;60;O
676;17;O
683;55;O
686;17;O
697;21;O
704;18;O
712;16;O
728;14;O
738;15;O
745;34;O
750;16;O
760;14;O
774;18;O
782;16;O
794;14;O
805;14;O
823;17;O
825;55;O
848;14;O
851;15;O
860;60;O
863;17;O
874;18;O
881;15;O
892;31;O
898;15;O
901;14;O
909;32;O
926;14;O
928;15;O
934;31;O
939;17;O
953;16;O
970;13;O
978;14;O
1008;14;O
1019;14;O
1029;14;O
1032;15;O
1049;14;O
1051;14;O
1073;28;O
1120;13;O
1173;32;O
