#TimeStamp;Bot;Pod;OutputStation
59;11;9;0
63.18;4;205;1
72.66;3;82;0
73.33;4;205;1
82.69;3;82;0
82.98;0;284;1
92.67;3;82;0
93.1;0;284;1
102.5;2;219;0
103.36;9;169;1
112.73;2;219;0
113.44;9;169;1
122.56;2;219;0
123.19;9;169;1
132.71;8;222;0
133.43;11;9;1
142.61;8;222;0
143.46;11;9;1
152.37;8;222;0
153.19;3;82;1
162.46;6;144;0
163.51;3;82;1
172.76;5;301;0
173.62;2;219;1
182.49;5;301;0
183.71;2;219;1
192.8;7;156;0
193.74;2;219;1
202.55;7;156;0
203.79;8;222;1
212.78;1;212;0
214.06;6;144;1
222.85;1;212;0
224.09;5;301;1
232.56;1;212;0
233.86;7;156;1
242.76;10;225;0
244.13;7;156;1
252.93;0;284;0
262.61;0;284;0
266.82;10;225;1
272.78;4;224;0
276.91;10;225;1
282.98;3;82;0
286.78;10;225;1
293.16;3;82;0
296.78;10;225;1
303.24;3;82;0
306.82;1;212;1
313.13;3;82;0
317.11;0;284;1
323.01;3;82;0
327.22;0;284;1
333.17;3;82;0
337.17;4;224;1
343.17;3;82;0
353.07;3;82;0
363.27;3;82;0
372.97;9;15;0
383.32;9;15;0
387.2;3;82;1
393.57;8;222;0
397.25;3;82;1
403.54;2;219;0
408;9;15;1
413.72;11;74;0
417.81;9;15;1
423.79;11;74;0
427.81;9;15;1
433.67;6;144;0
438.12;8;222;1
443.88;5;301;0
448.18;2;219;1
454.16;7;156;0
458.31;2;219;1
464.13;10;225;0
468.17;11;74;1
474.22;1;212;0
478.35;11;74;1
484.28;1;212;0
488.3;11;74;1
493.99;4;224;0
498;7;156;1
504.33;0;298;0
508.15;7;156;1
514.52;3;82;0
517.98;10;225;1
524.89;3;82;0
527.98;10;225;1
534.85;3;82;0
538.35;1;212;1
544.88;9;15;0
548.4;0;298;1
554.9;8;222;0
558.58;4;224;1
564.87;8;222;0
568.84;5;153;1
574.92;2;219;0
579.26;5;153;1
584.97;2;219;0
589.27;3;82;1
594.93;6;50;0
599.45;3;82;1
605.01;6;50;0
609.61;3;82;1
614.68;11;74;0
619.47;9;15;1
625.04;7;156;0
629.68;9;15;1
635.08;1;212;0
640;9;15;1
644.88;1;212;0
649.79;8;222;1
655.01;0;298;0
660;2;219;1
665.1;4;224;0
670.03;6;50;1
675.15;4;224;0
680.1;11;74;1
685.26;5;153;0
690.27;11;74;1
695.3;10;24;0
700.04;7;156;1
705.72;10;24;0
710.33;1;212;1
715.96;10;24;0
720.33;1;212;1
725.84;10;24;0
730.18;0;298;1
736;3;82;0
740.37;0;298;1
745.97;8;222;0
750.36;0;298;1
756.04;8;222;0
760.27;0;298;1
766.06;2;219;0
770.22;4;224;1
776.04;2;219;0
780.23;4;224;1
786.04;2;219;0
790.16;5;153;1
795.93;6;50;0
800.37;9;60;1
805.8;11;74;0
810.46;9;60;1
816.1;7;156;0
820.79;9;60;1
826.15;1;212;0
830.88;9;60;1
836.14;1;212;0
840.8;9;60;1
846.02;1;212;0
850.9;10;24;1
856.09;1;212;0
861.05;10;24;1
866.18;0;298;0
871.3;10;24;1
876.32;4;224;0
881.47;10;24;1
886.46;5;153;0
891.59;3;82;1
896.5;9;60;0
901.87;3;82;1
910.05;10;24;0
911.71;8;222;1
921.51;2;219;1
929.83;3;82;0
931.53;6;50;1
940;3;82;0
941.95;11;74;1
949.97;3;82;0
951.98;7;156;1
960.05;8;222;0
962.37;1;212;1
970.03;6;50;0
972.4;0;298;1
982.43;4;224;1
984.27;11;74;0
992.48;5;153;1
1002.53;9;60;1
1012.65;10;24;1
1022.53;2;168;1
