#TimeStamp;BacklogBundleCount;BacklogOrderCount;BundleThroughputAgeAvg;OrderThroughputAgeAvg;BundleTurnoverAgeAvg;OrderTurnoverAgeAvg;BundleFrequencyAvg;OrderFrequencyAvg
0;0;0;0;0;0;0;0;0
59.85;4;0;0;30.04;0;30.04;0;0.54
119.77;6;0;0;57.61;0;57.62;0;0.51
179.95;6;0;0;86.1;0;86.11;0;0.58
239.92;10;5;0;98.72;0;100.4;0;0.55
299.73;13;5;0;114.83;0;125.37;0;0.52
359.7;14;7;0;164.46;0;179.75;0;0.5
419.76;16;10;0;175.53;0;210.61;0;0.49
479.59;16;10;0;235.37;0;270.45;0;0.49
539.77;16;7;0;249.15;0;306.93;0;0.5
599.93;16;5;0;274.1;0;349.56;0;0.51
659.83;16;3;0;297.01;0;395.85;0;0.49
719.96;16;0;0;280.8;0;425.72;0;0.53
779.64;16;0;0;295.61;0;469.36;0;0.54
839.97;16;0;0;324.07;0;516.04;0;0.53
899.79;16;0;0;360.3;0;566.05;0;0.51
959.87;16;0;0;427.86;0;632.19;0;0.5
1019.8;16;0;0;489.87;0;688.44;0;0.61
1079.76;16;0;0;0;0;0;0;0
1139.96;16;0;0;0;0;0;0;0
1199.98;16;0;0;0;0;0;0;0
1260;16;0;0;0;0;0;0;0
1319.98;16;0;0;0;0;0;0;0
1379.96;16;0;0;0;0;0;0;0
1439.98;16;0;0;0;0;0;0;0
1499.63;16;0;0;0;0;0;0;0
1559.98;16;0;0;0;0;0;0;0
1619.99;16;0;0;0;0;0;0;0
1679.64;16;0;0;0;0;0;0;0
1739.98;16;0;0;0;0;0;0;0
1799.96;16;0;0;0;0;0;0;0
1859.93;16;0;0;0;0;0;0;0
1919.91;16;0;0;0;0;0;0;0
1979.89;16;0;0;0;0;0;0;0
2039.91;16;0;0;0;0;0;0;0
2099.9;16;0;0;0;0;0;0;0
2159.97;16;0;0;0;0;0;0;0
2219.99;16;0;0;0;0;0;0;0
2279.96;16;0;0;0;0;0;0;0
2339.98;16;0;0;0;0;0;0;0
2399.96;16;0;0;0;0;0;0;0
2459.97;16;0;0;0;0;0;0;0
2520;16;0;0;0;0;0;0;0
2579.98;16;0;0;0;0;0;0;0
2640;16;0;0;0;0;0;0;0
2699.98;16;0;0;0;0;0;0;0
2759.63;16;0;0;0;0;0;0;0
2819.97;16;0;0;0;0;0;0;0
2879.99;16;0;0;0;0;0;0;0
2939.64;16;0;0;0;0;0;0;0
2999.98;16;0;0;0;0;0;0;0
3059.96;16;0;0;0;0;0;0;0
3119.93;16;0;0;0;0;0;0;0
3179.91;16;0;0;0;0;0;0;0
3239.89;16;0;0;0;0;0;0;0
3299.91;16;0;0;0;0;0;0;0
3359.89;16;0;0;0;0;0;0;0
3419.97;16;0;0;0;0;0;0;0
3479.99;16;0;0;0;0;0;0;0
3539.96;16;0;0;0;0;0;0;0
3599.98;16;0;0;0;0;0;0;0
3659.96;16;0;0;0;0;0;0;0
3719.97;16;0;0;0;0;0;0;0
3780;16;0;0;0;0;0;0;0
3839.98;16;0;0;0;0;0;0;0
3900;16;0;0;0;0;0;0;0
3959.98;16;0;0;0;0;0;0;0
4019.63;16;0;0;0;0;0;0;0
4079.97;16;0;0;0;0;0;0;0
4139.99;16;0;0;0;0;0;0;0
4199.64;16;0;0;0;0;0;0;0
4259.98;16;0;0;0;0;0;0;0
4319.96;16;0;0;0;0;0;0;0
4379.93;16;0;0;0;0;0;0;0
4439.91;16;0;0;0;0;0;0;0
4499.89;16;0;0;0;0;0;0;0
4559.91;16;0;0;0;0;0;0;0
4619.89;16;0;0;0;0;0;0;0
4679.97;16;0;0;0;0;0;0;0
4739.99;16;0;0;0;0;0;0;0
4799.96;16;0;0;0;0;0;0;0
4859.98;16;0;0;0;0;0;0;0
4919.96;16;0;0;0;0;0;0;0
4979.97;16;0;0;0;0;0;0;0
5040;16;0;0;0;0;0;0;0
5099.98;16;0;0;0;0;0;0;0
5160;16;0;0;0;0;0;0;0
5219.98;16;0;0;0;0;0;0;0
5279.63;16;0;0;0;0;0;0;0
5339.97;16;0;0;0;0;0;0;0
5399.99;16;0;0;0;0;0;0;0
5459.64;16;0;0;0;0;0;0;0
5519.98;16;0;0;0;0;0;0;0
5579.96;16;0;0;0;0;0;0;0
5639.93;16;0;0;0;0;0;0;0
5699.91;16;0;0;0;0;0;0;0
5759.89;16;0;0;0;0;0;0;0
5819.91;16;0;0;0;0;0;0;0
5879.89;16;0;0;0;0;0;0;0
5939.97;16;0;0;0;0;0;0;0
5999.99;16;0;0;0;0;0;0;0
6059.96;16;0;0;0;0;0;0;0
6119.98;16;0;0;0;0;0;0;0
6179.96;16;0;0;0;0;0;0;0
6239.97;16;0;0;0;0;0;0;0
6300;16;0;0;0;0;0;0;0
6359.98;16;0;0;0;0;0;0;0
6420;16;0;0;0;0;0;0;0
6479.98;16;0;0;0;0;0;0;0
6539.63;16;0;0;0;0;0;0;0
6599.97;16;0;0;0;0;0;0;0
6659.99;16;0;0;0;0;0;0;0
6719.64;16;0;0;0;0;0;0;0
6779.98;16;0;0;0;0;0;0;0
6839.96;16;0;0;0;0;0;0;0
6899.93;16;0;0;0;0;0;0;0
6959.91;16;0;0;0;0;0;0;0
7019.89;16;0;0;0;0;0;0;0
7079.91;16;0;0;0;0;0;0;0
7139.89;16;0;0;0;0;0;0;0
7199.97;16;0;0;0;0;0;0;0
