#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness;TimeQueueing;DistanceTraveled
105.85;1;99.11;99.11;-Infinity;99.11;99.11
146.16;1;121.24;121.2;-Infinity;121.24;121.24
148.63;0;142.42;142.42;-Infinity;142.42;142.42
226.49;1;192.36;192.36;-Infinity;192.36;192.36
236.67;1;195.65;195.65;-Infinity;195.65;195.65
238.71;0;215.91;215.91;-Infinity;215.91;215.91
248.89;0;216.45;216.45;-Infinity;216.45;216.45
256.82;1;175.96;175.92;-Infinity;175.96;175.96
279.28;0;238.51;238.51;-Infinity;238.51;238.51
287.27;1;182.69;182.66;-Infinity;182.69;182.69
294.12;0;234.9;234.87;-Infinity;234.9;234.90
357.12;1;247.74;247.74;-Infinity;247.74;247.74
367.51;1;278.5;278.5;-Infinity;278.5;278.50
376.87;0;289.19;289.19;-Infinity;289.19;289.19
388.18;0;294.46;294.46;-Infinity;294.46;294.46
418.34;0;312.74;312.74;-Infinity;312.74;312.74
491.4;0;365.56;365.56;-Infinity;365.56;365.56
497.55;1;375.84;375.82;-Infinity;375.84;375.84
527.14;0;371.6;371.6;-Infinity;371.6;371.60
547.97;1;413.01;413.01;-Infinity;413.01;413.01
598.33;1;431.94;431.94;-Infinity;431.94;431.94
638.47;1;456.57;456.57;-Infinity;456.57;456.57
648.88;1;431.04;431.03;-Infinity;431.04;431.04
668.89;1;475.95;475.95;-Infinity;475.95;475.95
679.01;1;446.5;391.63;-Infinity;446.5;446.50
682.02;0;504.73;504.73;-Infinity;504.73;504.73
691.85;0;499.64;499.62;-Infinity;499.64;499.64
699.08;1;481.21;472.5;-Infinity;481.21;481.21
732.04;0;515.56;515.56;-Infinity;515.56;515.56
742.1;0;519.11;503.3;-Infinity;519.11;519.11
749.12;1;527.97;512.29;-Infinity;527.97;527.97
759.28;1;531.38;502.37;-Infinity;531.38;531.38
789.48;1;545.91;432.01;-Infinity;545.91;545.91
809.65;1;554.52;442.1;-Infinity;554.52;554.52
822.4;0;595.17;573.33;-Infinity;595.17;595.17
862.64;0;590.74;474.19;-Infinity;590.74;590.74
869.82;1;506.96;231.31;-Infinity;506.96;506.96
890.55;1;566.86;392.91;-Infinity;566.86;566.86
893.05;0;663.68;613.67;-Infinity;663.68;663.68
920.6;1;560.56;372.56;-Infinity;560.56;560.56
930.77;1;568.7;332.39;-Infinity;568.7;568.70
960.71;1;597.09;311.78;-Infinity;597.09;597.09
963.54;0;726.44;669.38;-Infinity;726.44;726.44
983.64;0;721.4;606.67;-Infinity;721.4;721.40
991.19;1;615.2;322.11;-Infinity;615.2;615.20
1012.72;1;628.01;333.56;-Infinity;628.01;628.01
1023.55;0;707.38;532.09;-Infinity;707.38;707.38
1033.63;0;746.14;615.01;-Infinity;746.14;746.14
1063.85;0;673.88;381.75;-Infinity;673.88;673.88
1074.05;0;742.25;546.51;-Infinity;742.25;742.25
